0.19113788580498237 0.06399647037123735 , 0.6120800048766328 0.8030812074549777 , 0.5164871672217086 0.14748680798165636 
0.1826239953903627 0.06329074853295195 , 0.6155629487119346 0.8018651340317271 , 0.5215181138010265 0.14940860324319233 
0.1748822355536063 0.06287939405718321 , 0.6189465537871435 0.8003135920638641 , 0.5258762685625741 0.15137149968682406 
0.16787144719157274 0.0627484368638751 , 0.622230016094202 0.7984262362606587 , 0.529603594617549 0.1533898126833376 
0.16155807338638745 0.06288652259445213 , 0.6254122601295303 0.7962022312396276 , 0.532734724387406 0.15547573197379164 
0.15591472927663416 0.06328442895267002 , 0.6284919254513636 0.7936402471271361 , 0.5352984031753261 0.1576398097280653 
0.15091914645100538 0.06393471376222665 , 0.631467350795212 0.7907384521634964 , 0.5373185606571064 0.15989131988214844 
0.14655338556167688 0.06483145661787594 , 0.6343365552439622 0.7874945022147043 , 0.5388151170976847 0.16223852697529126 
0.1428032458924952 0.06597006908377161 , 0.6370972159322118 0.7839055270773196 , 0.5398045960786167 0.16468888964678025 
0.1396578233106562 0.06734715672553769 , 0.6397466417165145 0.7799681134451316 , 0.540300592876153 0.1672492156372022 
0.1371091831340054 0.06896042175246815 , 0.6422817421674989 0.7756782843883933 , 0.5403141326018194 0.16992577966701006 
0.13515212479023567 0.07080859879927404 , 0.6446989911367428 0.7710314751808623 , 0.5398539419763452 0.17272441182773507 
0.13378402246375493 0.07289141906019916 , 0.6469943840191544 0.7660225052994227 , 0.5389266514204143 0.1756505614482495 
0.133004731318074 0.07520960002248452 , 0.6491633876670879 0.7606455464193269 , 0.5375369389181618 0.17870933936606 
0.13281655306813112 0.07776485971201146 , 0.6512008817106727 0.754894086240124 , 0.5356876231245199 0.181905539855736 
0.13322425815994163 0.08055995586661985 , 0.6531010897936718 0.7487608880101957 , 0.5333797099497104 0.18524364193105589 
0.13423516497325155 0.08359875196258394 , 0.6548574989382322 0.7422379456814985 , 0.53061239399184 0.18872778816378902 
0.13585927961845765 0.08688631370397543 , 0.6564627648968939 0.7353164347347084 , 0.5273830133879722 0.19236173736918755 
0.13810950336894715 0.0904290416357671 , 0.6579086009276595 0.7279866588882803 , 0.5236869536067172 0.19614878528382396 
0.14100191891626673 0.09423484821273255 , 0.6591856469302753 0.7202379931705488 , 0.5195174920567818 0.20009164442459001 
0.1445561719245936 0.09831339131102762 , 0.6602833153048784 0.7120588242299477 , 0.5148655706738517 0.20419227026689604 
0.148795971446115 0.1026763813606321 , 0.6611896092409434 0.7034364893362903 , 0.5097194772162653 0.20845161511094892 
0.15374974260619947 0.1073379868798652 , 0.6618909084325649 0.6943572163542152 , 0.5040644068645593 0.2128692825737909 
0.1594514790585097 0.11231537463983786 , 0.662371716489255 0.6848060681356343 , 0.49788186235555904 0.2174430430323992 
0.1659418633798195 0.11762943839155657 , 0.6626143636586143 0.6747668963857291 , 0.4911488308648899 0.22216815103058568 
0.17326975457652818 0.12330579825026548 , 0.6625986580625439 0.6642223122163415 , 0.48383664526425163 0.22703637534126425 
0.18149418934144934 0.12937619899336586 , 0.6623014787554423 0.6531536833909052 , 0.475909389806432 0.2320346034236002 
0.19068711771853616 0.13588051372279047 , 0.6616963050035056 0.6415411716492292 , 0.46732163518128184 0.2371428004358516 
0.20093721083868366 0.1428696966784646 , 0.6607526789665057 0.6293638271316229 , 0.45801516809813425 0.24233096199778378 
0.21235526374467126 0.1504102799526401 , 0.6594356044211893 0.6165997597314411 , 0.447914189737463 0.24755444612379007 
0.22508200183414795 0.15859148736755585 , 0.6577048934223573 0.6032264065467787 , 0.4369181626468184 0.25274659189353677 
0.2392994874413336 0.16753699096850627 , 0.6555144864382134 0.5892209044924038 , 0.4248910840237765 0.2578065903469613 
0.255247574451918 0.177425296435414 , 0.6528117873139464 0.5745605446114397 , 0.41164569613745916 0.26257864476101767 
0.2732453712553081 0.1885267660825747 , 0.6495370606793021 0.559223201985832 , 0.3969226259687133 0.2668145177394647 
0.29370547454190177 0.20127215837493478 , 0.6456228947590276 0.5431874424264912 , 0.38037668860239404 0.2701048850064454 
0.3170573127191481 0.21636383328677977 , 0.6409935021907203 0.5264315716956968 , 0.36165424299345494 0.27176908082539486 
0.34315657789429943 0.23477353196190562 , 0.6355627737545907 0.5089299469050697 , 0.3409857062544332 0.2708610069408961 
0.36949002810626513 0.2565735590034092 , 0.6292272568268367 0.4906434234344067 , 0.32098777297022146 0.2673475033700554 
0.3928798442150098 0.2796341034462961 , 0.621845955899644 0.4715038532236091 , 0.3049792577886694 0.2634265291379662 
0.41335892901948806 0.3026366427314812 , 0.6132064102026196 0.4514052380481915 , 0.2931397186812156 0.26052260502819874 
0.4320403687383483 0.3254165131201133 , 0.6029767938115815 0.4302054339515268 , 0.28468789535339334 0.25894253873623135 
0.45009608750370367 0.34816016819787965 , 0.590623921163864 0.40774924686838565 , 0.2789850492357555 0.2586550707416062 
0.46880061367261444 0.37101414397311905 , 0.575288456873929 0.3839918980902617 , 0.27561598735677967 0.2595584437444908 
0.489558144728118 0.39351628579469894 , 0.5558114789524777 0.359505236940965 , 0.27433543422272744 0.26154296307220765 
0.5126587890369132 0.4136047150165787 , 0.5320105028474502 0.33645786529057375 , 0.27503576601895974 0.2645019055007191 
0.5357875464660159 0.4294304654470364 , 0.5061715378935 0.3167978185300608 , 0.2777459735438073 0.2683362018307744 
0.5573116053006246 0.4416516240419881 , 0.4797577772772053 0.2999560696397283 , 0.28263567532549333 0.27295679212615515 
0.576990103072119 0.4513674589041601 , 0.4526898332085727 0.28493630331110315 , 0.2900251216226316 0.27826072359260834 
0.5949833526548245 0.4593203747734392 , 0.4243040559201023 0.2711790782013109 , 0.3004176493283965 0.28406503283312157 
0.6114905831014689 0.4659635658538668 , 0.3937172570338446 0.25866274368197056 , 0.3144972177680098 0.2899381762720343 
0.6266736609027359 0.47157603571498824 , 0.36031958026271715 0.2481780201246123 , 0.3327118167378702 0.29481042996827106 
