0.6738086239783754 0.6129119751853149 , 0.43569012816694497 0.5241449617744477 , 0.5005653022209964 0.8165584067974865 
0.6671699142169564 0.6156556266351743 , 0.4490846711199783 0.519925868669685 , 0.4938094690293821 0.8180338484523898 
0.6585140571631122 0.618721578921734 , 0.4638841127003756 0.5171927303161965 , 0.487665884502829 0.8177010345193186 
0.6476989784541142 0.6219640600766039 , 0.48014438068088283 0.5161209210544155 , 0.4822206952313198 0.8155303626262296 
0.6345440948205499 0.6251841708527426 , 0.4979429918288722 0.5169685073474171 , 0.47757696771689473 0.8114626655570893 
0.6188454459736557 0.6280904042761121 , 0.5173583988406628 0.5201228887213883 , 0.4738602095519983 0.8054020507597486 
0.6004414850046232 0.6302425607273 , 0.5383976327643438 0.5261686408870557 , 0.4712249365973497 0.7972041421428933 
0.5794238168218646 0.6310202239869239 , 0.5607795735786102 0.5359372556877602 , 0.4698606639658419 0.7866578640825649 
0.556613191206936 0.6298417953136491 , 0.5834586593812923 0.5503129086996184 , 0.46999220377808854 0.7734606397439815 
0.5338454627004083 0.6270186775855234 , 0.6043522310564386 0.5694012953583606 , 0.4718663606094698 0.7571953708133651 
0.5127806130367079 0.624276166023157 , 0.6215541429235639 0.5920115731022721 , 0.47572929840604505 0.7373276046318199 
0.4938731921178787 0.6236126100484078 , 0.634395222115336 0.6167666872675642 , 0.48179564013310205 0.713236046441277 
0.47720553164396357 0.6264726725396143 , 0.6427677755480244 0.6427523690466311 , 0.49009074717432877 0.6843903021710037 
0.46362142031249104 0.6332393734720837 , 0.6465490775988437 0.669150137960209 , 0.499893556454982 0.6512258323249565 
0.4548581542455693 0.6418177857729769 , 0.6458155230773625 0.6948529384069548 , 0.5093903770433851 0.6169446195773174 
0.4512817445446716 0.6493114446535254 , 0.6412240317153327 0.718864658764152 , 0.5175582781063125 0.5854392403395717 
0.451998462713656 0.6548664081835451 , 0.6335969755887758 0.7407795984176481 , 0.524468616063885 0.5579693371560559 
0.45619568664951526 0.6586765038886465 , 0.6235244756406625 0.7605296356636391 , 0.530343892076139 0.5344092042049635 
0.46332811243999544 0.6611606127670554 , 0.6113740516409618 0.7780964818367737 , 0.5353618902853594 0.51435824915342 
0.47300422328428576 0.6627613113369911 , 0.5973979168110382 0.7934041348964624 , 0.5396619142709927 0.4974498975237954 
0.4848788188755395 0.6639145492319606 , 0.5818240107274154 0.8062997878108134 , 0.5433612247633617 0.48340100671447506 
0.4985729624244281 0.6650403727640597 , 0.5649255483417711 0.8165734823003657 , 0.5465655436001174 0.4720014886928236 
0.5136206714435995 0.6665149725211721 , 0.5470688163982557 0.8240060330368959 , 0.5493745665244615 0.46309433819918117 
0.5294555437269796 0.6686193331773741 , 0.5287251956815873 0.8284383439652815 , 0.5518833149577498 0.4565576666145937 
0.545451173662228 0.671485705857062 , 0.5104328074585739 0.8298378895593582 , 0.5541800732455149 0.452291748340829 
0.5610028005593702 0.6750772571527063 , 0.49271878530082436 0.8283260050992834 , 0.5563424685061221 0.45021208150525954 
0.5756067172585878 0.6792177373722375 , 0.4760234800527021 0.8241496122672936 , 0.5584338570550268 0.4502479941177182 
0.5888983544586252 0.683651349832249 , 0.46066412133462425 0.8176190699045105 , 0.5605015785730673 0.4523449240204898 
0.600644807605141 0.6880989851340636 , 0.446842004644202 0.8090481554192175 , 0.5625772421169736 0.4564682032039682 
0.6107124502190107 0.6922921451880519 , 0.43467339963837237 0.7987161685763257 , 0.5646782045089336 0.4626070299928718 
0.6190303408585903 0.6959846653477574 , 0.4242244779206604 0.7868522701634595 , 0.5668092355870659 0.4707784082460325 
0.6255595296780526 0.6989498623209832 , 0.4155408642711574 0.7736339316234617 , 0.5689636604171066 0.4810315498128044 
0.6302698910137642 0.7009697628246211 , 0.4086705666187185 0.759192015858728 , 0.571123596733834 0.4934535650739002 
0.6331221912123034 0.7018196493027603 , 0.4036827295925517 0.7436182875211657 , 0.5732591335614615 0.5081774069333234 
0.6340517142791056 0.70124805242262 , 0.4006857783446789 0.72697424891989 , 0.5753265617425322 0.5253930424147394 
0.6329487102974468 0.698949921773252 , 0.39984877854241374 0.7093031506054284 , 0.577266565526456 0.5453622713785692 
0.6296284984485704 0.6945296293564667 , 0.4014294500840942 0.6906513956118147 , 0.579006105833652 0.5684343187889682 
0.623779101462507 0.6874583235647145 , 0.4058083765403052 0.6711139566878787 , 0.5804765763635044 0.5950430635046563 
0.6148757893076673 0.6771012421806647 , 0.41351024754208965 0.6509305308285668 , 0.5816780175165597 0.6255835707480181 
0.6021784241007173 0.6633253983555724 , 0.4251385186448115 0.630642704325716 , 0.5827471116207877 0.6596472410759612 
0.5856196155553864 0.648828115147226 , 0.44113212559631254 0.6111593963043287 , 0.5833123132146176 0.6936278323056948 
0.5663960334781606 0.6370845799282575 , 0.4616116674042363 0.5934830957470504 , 0.5820563534839197 0.7230476680819417 
0.5448136385279987 0.6277520009101448 , 0.4865540904804909 0.5786106060455682 , 0.5786963253578269 0.7472527368015365 
0.5211358923264624 0.6188942624299085 , 0.5153337757772184 0.5678691121670926 , 0.5735943862626357 0.7668519691602484 
0.4978632769688398 0.608739372696323 , 0.5449995249813945 0.562350707387694 , 0.5672012524160822 0.7825252636732326 
0.478052069995967 0.5977125495552121 , 0.5720850413537798 0.5610617220894876 , 0.5599269430165698 0.7948410721125498 
0.4621448422694936 0.5869128567130436 , 0.595818003486218 0.5624679407344328 , 0.5521012086106049 0.8042345463097731 
0.44955970232374454 0.5769059306500994 , 0.6165334826680374 0.5656784842365945 , 0.5439708693745345 0.8110309288705556 
0.43969970163636096 0.567916972322452 , 0.6346453895195237 0.5702241110485431 , 0.5357189632104319 0.8154742603862545 
0.4321132919946719 0.5600337411754607 , 0.6504663351905946 0.5758330093188763 , 0.5274844271810499 0.8177485932629126 
0.4264744130848544 0.5532944402352319 , 0.6642127953680386 0.5823285477400407 , 0.5193768459134235 0.8179923557819769 
0.4225470239745977 0.5477232696869849 , 0.6760302980117372 0.5895841174325915 , 0.5114867323799815 0.8163079566376731 
0.42015847487855934 0.5433458341983504 , 0.6860128936595233 0.5975013887414208 , 0.5038926858282338 0.8127681208174784 
0.41918176036079224 0.540196950509071 , 0.6942157679366083 0.6059985348475521 , 0.4966665260689159 0.8074198584006265 
0.41952395902048595 0.5383258761706149 , 0.7006629335188941 0.6150029170825764 , 0.48987716182693647 0.8002865505040584 
0.42111873290389595 0.5378012755025062 , 0.7053516240053525 0.6244457536745511 , 0.4835936974570681 0.7913683145801923 
0.42392150293942715 0.5387173718683285 , 0.7082544316780434 0.6342574772896 , 0.47788811974884593 0.7806404945993212 
0.4279064065982992 0.5412027026026897 , 0.7093198297960358 0.6443629346814802 , 0.4728378179719814 0.7680497064730798 
0.4330643557953928 0.5454334460484793 , 0.7084715080368464 0.6546756967395753 , 0.4685281905340771 0.7535062009691951 
0.4394013419909025 0.5516545098548242 , 0.705606907194601 0.6650906862513508 , 0.4650558051808129 0.7368701476510747 
0.44693504257198147 0.5602135116322416 , 0.7005954843918508 0.6754741899355644 , 0.46253352740248416 0.7179276421894438 
0.4556836497789393 0.571613437994243 , 0.693277616076126 0.6856502801828112 , 0.4611027885112511 0.6963516255801957 
0.4656254887119677 0.5865698650675407 , 0.6834655786393552 0.6953832671532763 , 0.46097298701499356 0.6716622115364328 
0.4765564246258076 0.6058746298498908 , 0.6709479213444759 0.7043585866910668 , 0.462559708396033 0.6433821272162923 
0.48777777341877643 0.6288949917539349 , 0.6554944062013456 0.7121730102620444 , 0.4667918747461945 0.6125473417412706 
0.4988582900768959 0.6513104710463622 , 0.6368457795447325 0.7183556412576416 , 0.4743599847446881 0.5839492314532461 
0.5108703259208023 0.6712008997640958 , 0.6146720111513705 0.7223891988631601 , 0.4845217172941438 0.560025245129994 
0.5250304546645281 0.6893458053052596 , 0.5885397892162961 0.7236728400780664 , 0.49649381048549235 0.5405966983739239 
0.5420983371642092 0.706832318776844 , 0.5582460130949737 0.7215824369990353 , 0.5097197041071336 0.5252005879813705 
0.5603213359834527 0.7237286423506514 , 0.526024448998605 0.7164077843315021 , 0.5237182693842588 0.5134789170750963 
0.5753827341227536 0.7384036946935418 , 0.49666496059850196 0.7100959450687854 , 0.5380163596450609 0.5051157039949226 
0.5866707659786987 0.7504198506005274 , 0.4711896049672498 0.703415490639936 , 0.552203683420368 0.49978000251678634 
0.594959182351669 0.7600398664424781 , 0.4491221999506192 0.6964296019475495 , 0.5659826720640283 0.49714587536722216 
0.600921897556352 0.7675385126231435 , 0.4299848752293992 0.689152987507874 , 0.5791572815805653 0.49692384362623226 
0.6050255600170453 0.773108455755553 , 0.4134361169217573 0.6816317672146799 , 0.5916023774275139 0.498875120787017 
0.6075930886545758 0.7768714969038522 , 0.3992346412106887 0.6739310697890188 , 0.603236324501052 0.502812777064379 
0.6088564875805362 0.7788954719188818 , 0.387206349996934 0.6661223330455784 , 0.6140012167888463 0.5085975387927898 
0.6089904110198627 0.7792052539042198 , 0.3772243695049465 0.6582773047976705 , 0.6238492738415073 0.5161327850553598 
0.6081336951369911 0.7777883080433022 , 0.36919738921613066 0.6504662332966443 , 0.6327329700131947 0.5253608024173035 
0.6064045706402366 0.7745960249993462 , 0.3630627891267087 0.6427581645755001 , 0.6405966945993712 0.5362611541824038 
0.6039134682843577 0.7695414956320515 , 0.35878269691665077 0.6352222568260603 , 0.647367889165308 0.5488515912991383 
0.6007767820939296 0.762493936657795 , 0.35634206570974714 0.6279296197394509 , 0.6529452065626398 0.5631917873600042 
0.5971358275772974 0.7532701175699903 , 0.3557483844823633 0.6209554765303311 , 0.6571798423066558 0.5793897496569287 
0.5931881215278059 0.7416252907348236 , 0.35703295182158995 0.6143815381577755 , 0.6598429810169207 0.5976085148646509 
0.5892439601234589 0.7272559425043265 , 0.3602538527488158 0.6082983825193178 , 0.6605662414940419 0.6180610187336059 
0.5858260851931159 0.7098655095083808 , 0.36550080102265975 0.6028072184740676 , 0.658737168150541 0.6409426157748017 
0.5837836989439112 0.6894723656002617 , 0.372901323587926 0.5980194312215836 , 0.6533790318344794 0.6661235469354048 
0.5840481216685252 0.6672754948057121 , 0.3826248034157605 0.5940512194723578 , 0.643391129282031 0.6922886294791801 
0.5863165174699051 0.6460115647670771 , 0.3948758610330865 0.5910151251385725 , 0.6288716758633252 0.7165886538516004 
0.5888114109504746 0.6274943355135812 , 0.4098801640169372 0.5890253486467348 , 0.6113724793989049 0.7370956595969338 
0.5900013647584921 0.6117958486146778 , 0.4278885868077091 0.5882177710805975 , 0.5921741028001156 0.7536017240619746 
0.5889399174254852 0.5984774889489743 , 0.44919659964865216 0.5887570313145501 , 0.5719275372921794 0.7663808234937254 
0.5849121917985884 0.5871927594356393 , 0.4741566472029892 0.5908055860343956 , 0.5509952153647392 0.775616998287215 
0.5772174834741142 0.5778864995784333 , 0.503133143211883 0.5943955645338594 , 0.5297134276803197 0.7813332796449571 
0.5653963554651977 0.5710518900259365 , 0.536126254251807 0.5990676778912346 , 0.5085414446493121 0.7834957758400788 
0.5508417513735759 0.5679543446024362 , 0.5711584694725762 0.6034560019934727 , 0.48806383352016464 0.782204997161341 
0.5374692441477715 0.5691352070039091 , 0.603810291574691 0.606684664215009 , 0.4687845186438541 0.7777954725383319 
0.5269451334794436 0.5736887152106256 , 0.6321462227079222 0.6092652957742118 , 0.4509726981789509 0.7706613327724126 
0.5189771576556625 0.5808533569868172 , 0.65632768381482 0.6116729012285097 , 0.4347592128958342 0.7610890855419231 
0.512914217018859 0.5902493742682567 , 0.676887455943766 0.6141250151994173 , 0.4202623814036917 0.749240954289576 
0.5081045704634253 0.6017054742912321 , 0.6942965062141985 0.616715771464099 , 0.407662977688693 0.735194098001919 
