0.4467892627438489 0.8412316124899399 , 0.15148364432067118 0.4566635671306465 , 0.1445756788714041 0.1060519710093335 
0.4481973984809503 0.8309959596708655 , 0.15016655443777077 0.45867296487494497 , 0.1444846330172031 0.11427822608410952 
0.4492851239562663 0.8202902476584361 , 0.14909472941359003 0.46025771539740334 , 0.14446873256606782 0.12339918757408058 
0.45003272950446804 0.809103240510537 , 0.1482848591859844 0.46139322587217785 , 0.14453099724547167 0.13345068424720524 
0.45041883366812446 0.7974224111699889 , 0.14775424500886747 0.4620476690232633 , 0.14467550725893222 0.1444770704366679 
0.45042010067206095 0.7852336906259852 , 0.14752084629030907 0.46218034207616426 , 0.14490763897355413 0.15653311792777053 
0.4500108902967337 0.772521158414068 , 0.14760329298398517 0.4617393531111308 , 0.14523440265520526 0.1696866391047212 
0.4491628187492863 0.7592666563929165 , 0.14802083256680626 0.46065830870117813 , 0.14566493461983154 0.18402218553582536 
0.44784419994964403 0.7454493010837769 , 0.14879315239238364 0.45885147216051053 , 0.14621123359389646 0.19964637738563257 
0.4460193222795489 0.7310448605837143 , 0.14993996076673635 0.45620650537984697 , 0.14688930288963892 0.21669578466635878 
0.44364749245583696 0.7160249493773547 , 0.15148008647652234 0.4525732757004933 , 0.14772100700356486 0.23534892555207199 
0.4406817383056143 0.7003559779937203 , 0.15342957219833225 0.44774610371267787 , 0.14873727543197757 0.25584506892352193 
0.4370669902650654 0.6839977768223204 , 0.15579753156334086 0.4414351127830664 , 0.14998406410751788 0.2785142610245333 
0.43273742247357627 0.6669018076245588 , 0.1585766448592233 0.43322138937894644 , 0.1515345186031246 0.3038239536264149 
0.4276123434322857 0.6490089350050361 , 0.16171985199829592 0.4225044232349752 , 0.15351639050534258 0.3324337923899088 
0.42158936183394724 0.6302470526435399 , 0.16508280604811879 0.4085852925086598 , 0.15617641805385818 0.36511480547772035 
0.4145319751102186 0.6105301562529687 , 0.16834649397321527 0.3918483845453586 , 0.15997011685249032 0.40156860983159276 
0.40624622678567285 0.5897642166983535 , 0.17139686692250433 0.37659654667891607 , 0.16520549222774703 0.4375863872526505 
0.39644760161490594 0.5678666874413127 , 0.17470211697624846 0.36570367362694345 , 0.1716988673447698 0.4703767895616639 
0.3847350800584537 0.5448040425754206 , 0.17860922597041598 0.35889778834951164 , 0.1795042799070545 0.5002453197049879 
0.3705892422534876 0.5206634899486949 , 0.18333615469246745 0.35553871973307755 , 0.18892318898996913 0.5277449409481476 
0.3534471548516346 0.4957533510556223 , 0.18909636516752798 0.35520666882945723 , 0.2003050659167616 0.5529871307448405 
0.33291416450598205 0.470617115355362 , 0.19617437370655724 0.35772379564324064 , 0.21376004772338483 0.5756062396313174 
0.3089577228038735 0.44573112794602004 , 0.20499976990826208 0.36314772310933513 , 0.22889109322378853 0.5950682995745649 
0.28168623125159764 0.42100737093194296 , 0.21623536294999623 0.37179053100542203 , 0.24492699173433022 0.611149248692555 
0.25102860380551834 0.3958407148937014 , 0.2306634625014348 0.38405904438658234 , 0.2611565196289709 0.6240473913496364 
0.21855788735966858 0.3710591411470019 , 0.24713996379794173 0.3987521573287407 , 0.27715073477831376 0.6341358521541774 
0.18862632745881244 0.3496061180622766 , 0.26149970573573705 0.41260267454420446 , 0.29272255274137454 0.6417383580234389 
0.16171796206972042 0.3313508154221644 , 0.27333235510321646 0.4255325477664217 , 0.30779826876298716 0.647063787441334 
0.13713053997431968 0.3154597795388445 , 0.28338507796593965 0.438261346007863 , 0.3223329679956647 0.6502260250832126 
0.11430259870377388 0.30133599070786327 , 0.2922682636485926 0.45134486877447094 , 0.33627772358355756 0.6512662911475858 
0.09285589229057134 0.2885866430388702 , 0.30042891228165874 0.46519626157208965 , 0.349563781363694 0.6501642460189602 
0.0725308825641504 0.27694408095526674 , 0.30822916507102516 0.4801629135778205 , 0.3620885383007485 0.6468401560968329 
0.0531420594152108 0.2662172332273622 , 0.3160109829142829 0.49657902456878084 , 0.3736955436064303 0.6411508928337771 
