0.05465052527803793 0.25521469443765377 , 0.1157322517463778 0.33361293355901367 , 0.809765105538371 0.06797711654051586 
0.0677741898256478 0.25137099652116307 , 0.11133123119739254 0.34698189460088447 , 0.8010424615397463 0.058451853415135736 
0.08248913011966662 0.25061731481969307 , 0.10566357245850165 0.3571504796929498 , 0.7919951799846184 0.04903695002454048 
0.09809184850869801 0.253104966243788 , 0.0994371909486371 0.36395836563594197 , 0.7826188431054516 0.03974141265745334 
0.1139154057699847 0.2588673909063869 , 0.09332431077186129 0.3673621954270681 , 0.7729081660209407 0.030575158203728282 
0.12930467127973158 0.26784566419579786 , 0.08798593325769435 0.3674096800534693 , 0.7628572780253607 0.02154940028791611 
0.14358954041794808 0.2798799256911285 , 0.08409809840414816 0.36424795198908316 , 0.7524602437406904 0.012676866856971603 
0.15607092399027794 0.29466794487364506 , 0.08236522110997803 0.3581650436915024 , 0.7417117374625307 0.003971755972035763 
0.16604051710808318 0.3116937571983899 , 0.08349966517059199 0.3496616159526796 , 0.7306077002841115 -0.004550628613886177 
0.1728645464695784 0.33014634999521036 , 0.08813761501272263 0.33953290905854355 , 0.7191457210804856 -0.012874514516570595 
0.17615072315248614 0.3488893156870738 , 0.09667228191947491 0.32889977127051157 , 0.7073248774908256 -0.020984342420402077 
0.17594861948875656 0.3665757388865817 , 0.10905429992786198 0.31909411550847283 , 0.6951449631461681 -0.02886510985787119 
0.17283538956359318 0.3819304211558768 , 0.12470709488370786 0.3113763834564673 , 0.6826053981154856 -0.03650206007516074 
0.1677777479706978 0.3940419152510598 , 0.1426657360905589 0.30664258386571835 , 0.66970439850153 -0.04387975457959481 
0.16186739491855412 0.40247073616449985 , 0.16184161789260157 0.30531495302384337 , 0.656438869751631 -0.050980944651159904 
0.15611450047615402 0.4071696452689931 , 0.1812282891297415 0.3074208323677198 , 0.6428050929568911 -0.05778573309952954 
0.15136666775402807 0.4083425021459657 , 0.19998126872190441 0.3127335798476257 , 0.6287999460868542 -0.06427133745640803 
0.14831282463322837 0.4063326786191512 , 0.21741279440831704 0.32088461141831304 , 0.6144222635212413 -0.07041254550028091 
0.14751772792621765 0.40156223422251985 , 0.232956242335355 0.33142526946502976 , 0.599673912301214 -0.07618275915036632 
0.14945584238667697 0.3945119000868233 , 0.24613181605438536 0.3438481734153084 , 0.5845602241217244 -0.08155532896494837 
0.1545307967258548 0.3857284574907143 , 0.2565274837473774 0.3575810092900471 , 0.5690896020895545 -0.08650472224357808 
