0.30623564797856406 0.3857747760111966 , 0.8732414771963868 0.26590540745887137 , 0.7427507010170911 0.7148278993073911 
0.30077414081645665 0.3928759489272166 , 0.8802031961158872 0.2591597749983942 , 0.741250489259698 0.7144723588518482 
0.2958352832274377 0.4001047904909339 , 0.8867799296754458 0.2528707113505058 , 0.7396126132891584 0.7135325809360193 
0.2914110453363752 0.4074569136458963 , 0.892983074416978 0.24702679806300612 , 0.7378337064386887 0.7120243710685566 
0.28749564873718225 0.4149285185794043 , 0.8988223940165971 0.24161821160863012 , 0.7359097834382624 0.7099613525894246 
0.2840854314427847 0.42251625740363424 , 0.9043061571504367 0.23663656587954773 , 0.7338362375988203 0.7073552594942771 
0.28117875396789466 0.4302171169070396 , 0.9094412505391202 0.23207478134405182 , 0.7316078216850269 0.7042161845263677 
0.2787759423250005 0.43802831258260905 , 0.9142332697492218 0.22792697620228883 , 0.7292186141178194 0.7005527939925612 
0.2768792650183718 0.44594718817998663 , 0.9186865899567155 0.22418837578195633 , 0.7266619712169545 0.6963725188155161 
0.27549294224053156 0.45397111556904995 , 0.9228044184725996 0.22085523709330565 , 0.7239304654789106 0.6916817301151035 
0.2746231864493111 0.4620973898248975 , 0.9265888304338653 0.21792478596393167 , 0.7210158093088653 0.6864859069886299 
0.27427827435903285 0.4703231141818732 , 0.930040788691956 0.21539516453043225 , 0.7179087631410528 0.6807898040651535 
0.27446865112965085 0.4786450688508961 , 0.9331601485941291 0.21326538709703985 , 0.7145990264682617 0.6745976268295231 
0.27520706817596663 0.4870595566066207 , 0.9359456480555441 0.21153530249248292 , 0.7110751099605308 0.6679132236783554 
0.27650875650994206 0.4955622164475733 , 0.9383948830672685 0.21020556106974142 , 0.7073241866148311 0.6607403052601443 
0.27839163779424253 0.5041477943904491 , 0.9405042685878536 0.20927758439673397 , 0.7033319198099455 0.6530827039902759 
0.28087657517927084 0.5128098574093488 , 0.9422689846417021 0.20875353547179093 , 0.6990822663710687 0.6449446898963193 
0.28398766526881813 0.5215404324508007 , 0.9436829074260009 0.20863628695493014 , 0.6945572534972225 0.6363313633717281 
0.28775257079506866 0.5303295470755411 , 0.9447385253565359 0.2089293844228169 , 0.6897367300404371 0.627249151279101 
0.29220289010630207 0.5391646412972132 , 0.9454268403316557 0.20963700102537344 , 0.6845980957540838 0.6177064404548723 
0.29737455330282603 0.5480298113320862 , 0.945737255164299 0.21076387915457553 , 0.6791160177249166 0.6077143922907973 
0.3033082241141255 0.5569048351328597 , 0.9456574492630857 0.21231525387481237 , 0.6732621528148304 0.5972879937697869 
0.3100496688263199 0.5657639171053336 , 0.9451732464134466 0.21429675201926246 , 0.6670049109522751 0.586447413652863 
0.3176500249776793 0.5745740767072736 , 0.9442684811256216 0.21671426025458848 , 0.6603093200887407 0.575219745815597 
