0.14373502694650608 0.8002134975957961 , 0.24508761994478745 0.05113155530062985 , 0.9068901660853939 0.6293310158588168 
0.14253470033036494 0.8086349798752084 , 0.2404569366339516 0.03490148778034831 , 0.9127211760123709 0.637139601099686 
0.14150759212266792 0.8168632140958174 , 0.2358958840855103 0.01891100638456064 , 0.9183093367685092 0.6449018482748646 
0.1406489250224134 0.8249077883348446 , 0.23140150270190232 0.0031483012279590293 , 0.9236623852523717 0.6526199791924391 
0.1399544299338039 0.8327774143198351 , 0.2269710175175101 -0.012397432585826929 , 0.9287873655253734 0.6602960870212344 
0.13942028270252166 0.8404800363869871 , 0.22260182769787631 -0.027736111983496764 , 0.9336907025762894 0.6679321443517522 
0.13904305169888043 0.8480229235455911 , 0.21829149554883195 -0.042876865964782684 , 0.938378265728975 0.6755300111744341 
0.1388196540794144 0.8554127477316289 , 0.21403773553461308 -0.057828121580255104 , 0.9428554233626598 0.6830914426038688 
0.13874731905782484 0.862655650693741 , 0.20983840361127912 -0.07259767818530202 , 0.9471270903075834 0.6906180962468037 
0.1388235568879983 0.8697573014623099 , 0.2056914870549379 -0.08719277186549626 , 0.9511977690337511 0.6981115391584289 
0.13904613254165835 0.8767229459703166 , 0.20159509488115257 -0.1016201315775663 , 0.9550715855538764 0.7055732543624922 
0.1394130432760175 0.8835574500958809 , 0.19754744889783468 -0.1158860282719018 , 0.9587523208028351 0.7130046469312633 
0.13992249945019708 0.8902653371611178 , 0.19354687539925303 -0.12999631804040188 , 0.9622434381272372 0.7204070496345265 
0.1405729080758038 0.8968508207353493 , 0.18959179748707516 -0.1439564801550441 , 0.9655481074138084 0.7277817281749372 
0.1413628586860397 0.9033178334417578 , 0.18568072799129653 -0.15777165071834934 , 0.968669226299351 0.735129886031834 
0.14229111118576013 0.9096700523469128 , 0.18181226295660236 -0.17144665252970473 , 0.9716094388343248 0.7424526689380344 
0.1433565854069244 0.9159109214159101 , 0.1779850756561898 -0.18498602167570893 , 0.9743711519135732 0.7497511690150412 
0.1445583521435864 0.9220436714372829 , 0.1741979110940287 -0.19839403127400201 , 0.9769565497390722 0.7570264285919615 
0.1458956254807165 0.9280713377576375 , 0.17044958095706236 -0.21167471273506278 , 0.9793676065389084 0.7642794437326675 
0.14736775626383414 0.9339967761132378 , 0.16673895898033694 -0.22483187485255385 , 0.9816060977325162 0.7715111674945583 
0.14897422658326934 0.9398226768022445 , 0.1630649766900976 -0.23786912098788077 , 0.9836736097033203 0.7787225129408785 
0.1507146451691007 0.9455515774052347 , 0.15942661949222262 -0.250789864577043 , 0.9855715483153639 0.7859143559270505 
0.15258874361140473 0.9511858742315804 , 0.1558229230758111 -0.2635973431562718 , 0.9873011462894713 0.7930875376799336 
0.15459637333615117 0.9567278326441374 , 0.1522529701041749 -0.27629463107630503 , 0.9888634695363611 0.8002428671874098 
0.15673750328049613 0.9621795963935996 , 0.14871588716784198 -0.2888846510525883 , 0.990259422528349 0.8073811234142307 
0.15901221822283612 0.9675431960760971 , 0.14521084197641165 -0.3013701846795198 , 0.9914897527774393 0.8145030573586647 
0.16142071773318578 0.9728205568125815 , 0.14173704076818958 -0.31375388202050597 , 0.9925550544753118 0.8216093939631663 
0.16396331571854822 0.9780135052357917 , 0.1382937259184613 -0.32603827037160926 , 0.9934557713396776 0.8287008338910594 
0.16664044054622934 0.9831237758597388 , 0.13488017372903746 -0.3382257622845627 , 0.9941921987014203 0.8357780551800656 
0.16945263573573566 0.9881530168973978 , 0.13149569238332298 -0.3503186629245917 , 0.9947644848576285 0.8428417147824355 
0.17240056121718933 0.9931027955843793 , 0.12813962005263774 -0.36231917682956 , 0.9951726317068601 0.8498924500004222 
0.17548499516127608 0.997974603059584 , 0.12481132314085172 -0.37422941412923066 , 0.9954164946745594 0.8569308798248881 
0.17870683639278015 1.0027698588480378 , 0.12151019465560867 -0.3860513962767242 , 0.9954957819282984 0.8639576061839278 
0.18206710740691825 1.0074899149861354 , 0.11823565269550519 -0.3977870613384178 , 0.9954100528742638 0.8709732151075238 
0.18556695801512585 1.012136059825266 , 0.11498713904357967 -0.40943826888343454 , 0.9951587159179817 0.8779782778134099 
0.18920766965484392 1.016709521546169 , 0.11176411785835537 -0.42100680450941247 , 0.9947410254634879 0.8849733517184847 
0.1929906604063853 1.0212114714132947 , 0.10856607445448553 -0.4324943840373372 , 0.9941560781158163 0.8919589813792836 
0.19691749076932877 1.025643026795868 , 0.10539251416577175 -0.44390265740478635 , 0.9934028080415866 0.8989356993641594 
0.20098987026132586 1.030005253980229 , 0.10224296128398018 -0.45523321228390895 , 0.9924799814313812 0.905904027058921 
0.2052096649139751 1.03429917079632 , 0.09911695806746833 -0.46648757744779445 , 0.9913861899952437 0.9128644754067154 
0.20957890575383156 1.0385257490798947 , 0.09601406381416676 -0.47766722590652516 , 0.9901198434086889 0.9198175455818716 
0.21409979837205018 1.0426859169911207 , 0.09293385399393887 -0.4887735778321137 , 0.9886791606106982 0.9267637295962341 
0.21877473370405465 1.0467805612097674 , 0.0898759194357752 -0.49980800328967173 , 0.9870621598368573 0.9337035108351454 
0.2236063001615268 1.0508105290271097 , 0.0868398655656691 -0.5107718247905036 , 0.9852666472494912 0.940637364518635 
0.22859729728359204 1.054776630355108 , 0.08382531169137443 -0.5216663196813506 , 0.9832902040017206 0.9475657580814836 
0.23375075110316063 1.0586796396743923 , 0.08083189033056538 -0.5324927223826951 , 0.9811301715429611 0.9544891514635439 
0.23906993145900107 1.0625202979441788 , 0.07785924657920737 -0.5432522264878674 , 0.9787836349384786 0.9614079972989297 
0.24455837152555862 1.0662993144996207 , 0.07490703751720995 -0.5539459867336426 , 0.9762474039339185 0.9683227409892629 
0.2502198898824115 1.0700173689653973 , 0.0719749316486695 -0.5645751208520791 , 0.9735179914456061 0.9752338206419227 
0.2560586155056429 1.0736751132188276 , 0.06906260837422379 -0.5751407113125067 , 0.9705915890968204 0.98214166684892 
0.2620790161369283 1.0772731734417622 , 0.0661697574932352 -0.5856438069618127 , 0.9674640393465236 0.9890467022752915 
0.26828593057618455 1.0808121523083933 , 0.06329607873369479 -0.5960854245704962 , 0.9641308036668077 0.9959493410173438 
0.27468460555458535 1.084292631366497 , 0.060441281307898775 -0.6064665502913476 , 0.9605869261142029 1.0028499876800916 
0.2812807379823465 1.0877151736832777 , 0.05760508349209255 -0.6167881410370613 , 0.956826991502248 1.0097490361090244 
0.2880805235374566 1.0910803268449958 , 0.054787212228407045 -0.6270511257825931 , 0.9528450772108233 1.0166468676928382 
0.29509071277747323 1.094388626423399 , 0.05198740274752863 -0.6372564067976303 , 0.9486346974516852 1.023543849129472 
0.30231867622998915 1.0976406000537495 , 0.04920539821064784 -0.6474048608141418 , 0.94418873853605 1.030440329515633 
0.30977248026646814 1.1008367723118095 , 0.046440949369324885 -0.6574973401336222 , 0.9394993833408939 1.0373366365770533 
0.3174609760134799 1.1039776706347075 , 0.04369381424199112 -0.6675346736783199 , 0.9345580227212159 1.044233071798853 
0.3253939041388848 1.1070638326090756 , 0.040963757805875745 -0.6775176679904639 , 0.9293551510319263 1.0511299041366289 
0.333582019115543 1.1100958150579183 , 0.03825055170320636 -0.6874471081832513 , 0.9238802421579375 1.0580273618805733 
0.3420372375783704 1.1130742055081317 , 0.03555397396057936 -0.6973237588471486 , 0.9181216014377371 1.0649256220942573 
0.3507728167473549 1.1159996368325815 , 0.0328738087204311 -0.7071483649148784 , 0.9120661875089009 1.0718247968375374 
0.35980357072749725 1.1188728061632773 , 0.03020984598356205 -0.7169216524883186 , 0.9056993962656276 1.0787249150802818 
0.3691461350193765 1.1216944996104228 , 0.027561881361670808 -0.726644329630435 , 0.8990047965956395 1.0856258987752527 
0.3788192930839785 1.1244656249668006 , 0.024929715838840072 -0.7363170871252994 , 0.8919638040538682 1.0925275309137392 
0.38884438376243363 1.127187255541816 , 0.022313155540876928 -0.7459405992092291 , 0.8845552736733763 1.0994294124226534 
0.39924581546675597 1.1298606897413086 , 0.019712011511337862 -0.7555155242761182 , 0.876754985998593 1.1063309032900501 
0.41005172345406704 1.1324875333020106 , 0.01712609949295296 -0.7650425055601455 , 0.8685349900296668 1.1132310410133754 
0.4212948219838136 1.1350698147456846 , 0.01455523971298692 -0.774522171799242 , 0.8598627512798863 1.1201284258087978 
0.433013526720918 1.1376101506023193 , 0.011999256670809798 -0.7839551378830364 , 0.8507000295849592 1.1270210560359575 
0.4452534594370888 1.1401119870377967 , 0.009457978925555109 -0.7933420054894996 , 0.841001374614043 1.1339060872069433 
0.45806950564323373 1.1425799620912704 , 0.006931238881148251 -0.8026833637152734 , 0.8307120684523049 1.1407794703792433 
0.4715286918890178 1.1450204645032764 , 0.004418872565076645 -0.8119797897058082 , 0.8197652485225925 1.1476353939577724 
0.4857143116993692 1.1474425250973452 , 0.0019207193958406961 -0.821231849293162 , 0.808077781881477 1.1544653929510573 
0.5007320109661827 1.1498592956085854 , -0.0005633780683018076 -0.8304400976519609 , 0.795544180078806 1.1612568707986162 
0.516719045698427 1.152290619414851 , -0.003033574410622573 -0.8396050799882039 , 0.7820273416888824 1.1679905293285933 
0.5338588292481905 1.154767757596609 , -0.0054900216855722755 -0.8487273322823662 , 0.7673440054140687 1.1746356434409975 
0.5524044542012179 1.1573426817819423 , -0.00793286982837497 -0.8578073821196119 , 0.751241228603844 1.1811407690929099 
0.5727169765331627 1.1601078629071586 , -0.01036226720311149 -0.86684574965947 , 0.7333581036466358 1.1874139555075516 
0.5953221222010393 1.1632422707588537 , -0.01277836140759589 -0.8758429488309376 , 0.7131690521832436 1.193276746827324 
0.620940263117438 1.167125078705766 , -0.01518130059833236 -0.8847994888891466 , 0.6899538504575813 1.1983504789386206 
0.6500475496134461 1.172568824982446 , -0.01757123596795679 -0.8937158764703038 , 0.6632364993311975 1.201823120243098 
0.6802869097182069 1.1805179142693738 , -0.019948326695325584 -0.9025926175845286 , 0.6353742299538055 1.202750772070395 
0.7073104132804134 1.190036108917357 , -0.0223127465172173 -0.911430215146917 , 0.6107151462134908 1.2020701749848002 
0.7307732540559474 1.1999780435974594 , -0.024664681898014188 -0.9202291605396993 , 0.5896042408187536 1.20092718569748 
0.7515030977067539 1.2099197694198145 , -0.027004325058213256 -0.9289899300880089 , 0.571214040328146 1.1997462294234345 
0.7701764334805757 1.2197277350513875 , -0.029331869507687812 -0.9377129852652182 , 0.5548682490037988 1.1986613189690707 
0.7872527668680751 1.2293624225636566 , -0.03164750765156615 -0.946398773683791 , 0.5401075537601777 1.1977124198753746 
0.8030455514082637 1.2388162990292118 , -0.03395142945452774 -0.9550477301109676 , 0.5266186910229507 1.196907499836996 
0.8177760132402461 1.2480931957274504 , -0.03624382165740705 -0.9636602773716987 , 0.5141806213938476 1.1962431503994886 
0.8316059778008699 1.2572008395816567 , -0.038524867305124326 -0.9722368271318271 , 0.502631702480941 1.1957120563054107 
0.8446576492147891 1.2661479734163748 , -0.040794745462811935 -0.9807777805786214 , 0.4918499092247094 1.195305875917487 
0.8570258546219609 1.274943219556035 , -0.04305363105210721 -0.9892835290171273 , 0.48174058940683284 1.1950163782163326 
0.8687858909802567 1.2835946489382513 , -0.0453016947673997 -0.9977544543977844 , 0.47222861676382955 1.1948358742147733 
0.8799987272034959 1.2921096468188056 , -0.04753910304690942 -1.0061909297874996 , 0.4632531888201 1.194757351723934 
0.890714561445706 1.3004949040896825 , -0.049766018082179356 -1.014593319793696 , 0.4547642696131599 1.1947744844592536 
0.9009753216997557 1.3087564596829269 , -0.05198259785485805 -1.0229619809488015 , 0.44672008913178896 1.1948815900211147 
0.910816467075497 1.3168997608284685 , -0.05418899619300843 -1.031297262061091 , 0.43908534209419803 1.1950735699878625 
0.9202683136837706 1.3249297263620134 , -0.05638536284139303 -1.0395995045366266 , 0.43182986213430896 1.1953458469298532 
0.9293570294844868 1.3328508067380316 , -0.058571843541690066 -1.0478690426761406 , 0.42492762703388975 1.195694304693349 
