0.9015380057159867 0.45021254989513304 , 0.16047143764496896 0.0284407348411736 , 0.09564173266828391 0.9777678407700119 
0.8951618839108706 0.44875296913249463 , 0.157464655926483 0.029312261769821452 , 0.10502463619188598 0.9783558946040024 
0.8885772120034138 0.4472866859979556 , 0.15457011156791478 0.03035973039804127 , 0.11450385245791098 0.9787747091103216 
0.8817811086610358 0.44581564963208464 , 0.15179045740909597 0.03158413191003409 , 0.12407960995910775 0.9790213439641998 
0.874770502500341 0.4443419099183533 , 0.14912847795673684 0.03298655248454505 , 0.13375219557216161 0.9790926631034201 
0.8675421236357688 0.44286762796095036 , 0.14658709851455637 0.03456817914213291 , 0.1435219538789144 0.9789853184032352 
0.8600924946011305 0.44139508758914003 , 0.14416939527688058 0.0363303062008928 , 0.15338928615122852 0.9786957317162857 
0.8524179206310845 0.43992670800888845 , 0.1418786064965158 0.03827434242185339 , 0.16335464890163928 0.9782200750755766 
0.8445144792957262 0.438465057735476 , 0.13971814485505762 0.04040181893834918 , 0.17341855187845565 0.9775542488324932 
0.836378009490321 0.43701286995461863 , 0.1376916111841021 0.042714398079265185 , 0.1835815553548163 0.9766938574724345 
0.8280040997945908 0.43557305947394787 , 0.1358028097096892 0.045213883214723076 , 0.19384426652495948 0.9756341828176475 
0.8193880762329389 0.4341487414410486 , 0.13405576502047692 0.047902229775231384 , 0.20420733477582362 0.9743701542900385 
0.8105249894899107 0.43274325201782127 , 0.13245474099352808 0.050781557622441485 , 0.2146714455458006 0.9728963158660557 
0.801409601665746 0.4313601712124706 , 0.1310042619513322 0.053854164982560335 , 0.22523731241216116 0.9712067893112876 
0.7920363726972715 0.4300033480780262 , 0.12970913637118886 0.05712254419359961 , 0.23590566696077903 0.9692952332346927 
0.7823994466223356 0.4286769284871249 , 0.1285744835251161 0.060589399566822355 , 0.24667724588178755 0.9671547974523712 
0.7724926379349352 0.42738538568263307 , 0.12760576349723082 0.064257667723345 , 0.25755277459707326 0.9647780721003404 
0.7623094183673461 0.4261335537763971 , 0.12680881110888279 0.06813054084193006 , 0.2685329465530104 0.9621570308879913 
0.7518429045501038 0.4249266643150244 , 0.12618987438325954 0.07221149334756612 , 0.27961839709587594 0.959282967843728 
0.741085847146679 0.4237703859391255 , 0.125755658305254 0.07650431268774208 , 0.2908096705773063 0.956146426879451 
0.7300306222441905 0.4226708670121694 , 0.12551337478492022 0.08101313499135608 , 0.30210717900012857 0.9527371235027932 
0.7186692260120895 0.42163478086009754 , 0.12547079992135288 0.08574248659326775 , 0.31351115009579683 0.9490438580529533 
0.7069932739248717 0.4206693729045812 , 0.12563633989807563 0.09069733264813637 , 0.32502156220629186 0.9450544199536011 
0.6949940061881881 0.4197825084363308 , 0.12601910713378364 0.09588313436739904 , 0.33663806270726737 0.9407554827025888 
0.6826623014111155 0.41898271898220596 , 0.12662900868037336 0.10130591681633559 , 0.3483598659377502 0.9361324897077771 
0.6699887010214807 0.41827924406104977 , 0.12747684932591563 0.10697234973637898 , 0.36018562568184276 0.9311695317088898 
0.656963447397093 0.417682063444378 , 0.12857445245342075 0.11288984455622199 , 0.37211327617872525 0.9258492175057186 
0.643576539119238 0.41720191262656625 , 0.12993480246713046 0.11906667168754033 , 0.38413983444287053 0.920152541192212 
0.6298178070204227 0.41685027077533676 , 0.13157221358140125 0.12551210345843658 , 0.39626115542741497 0.9140587512725453 
0.615677014568932 0.41663930559120205 , 0.1335025310482476 0.1322365897521389 , 0.40847163041205925 0.9075452301629777 
0.6011439852170872 0.4165817527555615 , 0.1357433725827836 0.1392519757844119 , 0.420763818229368 0.9005873969663453 
0.5862087569930524 0.4166906983762442 , 0.13831441997787977 0.14657177476098815 , 0.43312799905830657 0.8931586523690863 
0.5708617598171287 0.4169792203392217 , 0.14123777388881167 0.15421151284781281 , 0.44555164232329836 0.8852303923192841 
0.5550940022331171 0.41745982802436593 , 0.14453838881503572 0.16218917064693902 , 0.45801878498108595 0.8767721268350137 
0.5388972392765943 0.4181436188638466 , 0.14824461084404547 0.17052575528466338 , 0.4705093259085991 0.8677517513578087 
0.5222640692056961 0.4190390445246165 , 0.15238884838582278 0.17924605204638713 , 0.48299825843772 0.858136028935315 
0.5051878705813894 0.4201501495229027 , 0.15700841683943714 0.18837962716571763 , 0.4954548886084124 0.8478913488176983 
0.48766244006159737 0.42147411180151123 , 0.16214661321464993 0.19796218891212622 , 0.5078421227529917 0.8369848247926812 
0.46968112521175526 0.4229978783879244 , 0.16785409795216366 0.2080374713754705 , 0.5201159528653201 0.8253857757429238 
0.4512351716093143 0.4246936445961273 , 0.17419069052281413 0.2186599004270522 , 0.5322253138971106 0.8130675804831392 
0.4323109364470325 0.4265128509957013 , 0.18122772356598266 0.22989846448727375 , 0.5441125160162239 0.8000098100233437 
0.4128855962500386 0.42837820856038633 , 0.1890511410843372 0.24184250239706506 , 0.5557144386948633 0.7862004145488674 
0.3929210606931247 0.4301728704975166 , 0.197765535547368 0.25461065238148384 , 0.5669645797887464 0.7716376026273183 
0.3723561530556598 0.4317249696141864 , 0.20749916050218759 0.2683652085705194 , 0.5777958624713917 0.756330947321613 
0.35109822638241034 0.4327838394762623 , 0.21840911475151828 0.2833360303754084 , 0.5881438348953104 0.7403012556546481 
0.3290191588367497 0.4329807433801035 , 0.2306823969670243 0.2998614900478313 , 0.597949620225465 0.723578892078384 
0.30597487578415156 0.4317631720037441 , 0.24451452443430582 0.3184574190200187 , 0.6071617758107817 0.706200534482556 
0.28192296319785054 0.42830774561491 , 0.2599920915976727 0.33990871042075527 , 0.6157361212337158 0.6882046694706536 
0.25739116251146704 0.4215964772982019 , 0.27662756157729695 0.3651981949972835 , 0.6236324519404751 0.6696264532108335 
0.2344715534764231 0.41157581559818984 , 0.2923728678028943 0.39435194025846876 , 0.6308067547499218 0.6504933696496603 
0.2155563823598256 0.40070015509613116 , 0.30489534421005576 0.4248947201786413 , 0.6371994494593578 0.6308262502315465 
0.20052946968909857 0.39097565567688636 , 0.3143922527820951 0.4547945674150209 , 0.6427294535580456 0.6106509024144117 
0.1884095257173554 0.3828584475505799 , 0.3219410195904679 0.4835499042149994 , 0.647300630721416 0.5900127737407397 
0.17843367276947494 0.37625534479369266 , 0.32840221705090755 0.5111789871845096 , 0.6508152862088568 0.5689867935281168 
0.17010785380258417 0.370971459840444 , 0.33435216329484435 0.5377699140174391 , 0.6531911589318108 0.5476797516484359 
