0.815468923747032 0.3433603444694552 , 0.01634860321288223 0.4181265890687432 , 0.18696175428915218 0.359538796718158 
0.8124632607415575 0.3351894625262388 , 0.01860652447322489 0.40810395873579225 , 0.18770949603428402 0.37773230899432536 
0.80905953524029 0.3270493225328761 , 0.02317006647353391 0.39768066088255355 , 0.1865496795352426 0.3962957468409268 
0.8052556695496134 0.3189503564001009 , 0.030214092147999586 0.38722362320160664 , 0.18330951955145344 0.4148517506546489 
0.8010508388377308 0.3109026032891652 , 0.039839117615447936 0.3771892423531737 , 0.1778893247958877 0.43293388461401755 
0.796445066479935 0.3029152759390414 , 0.05202355462905144 0.3681066968516761 , 0.17031066014007995 0.450003757465639 
0.7914385401665979 0.2949964971471911 , 0.06658083499219972 0.3605315279565168 , 0.1607599060902688 0.4654977051526485 
0.7860307540453771 0.2871533027250899 , 0.08314364014860551 0.3549713124231858 , 0.1496048870550838 0.4789011151080807 
0.7802196447161599 0.27939194281310803 , 0.10119372985463582 0.35180443352452473 , 0.13736590667827073 0.4898293539187236 
0.774000895193702 0.2717184349943435 , 0.12013418815977855 0.3512248015881173 , 0.12464419789558595 0.49808249367389557 
0.7673675273583555 0.2641392684841612 , 0.13937609517411767 0.35323419691555347 , 0.11203565871659339 0.5036522648566417 
0.760309824023513 0.25666214897865597 , 0.15840675637793666 0.3576771451772884 , 0.1000627008476168 0.506686436100412 
0.7528155591758062 0.24929669634226737 , 0.17682354443965204 0.3642950545797701 , 0.08914017763360818 0.5074339793343189 
0.7448704861208932 0.24205503511317636 , 0.19433718656945564 0.37277749587506553 , 0.07957160855871759 0.5061931992681145 
0.7364590267826472 0.23495223405704266 , 0.21075712773888838 0.382799804658965 , 0.0715631267275309 0.5032736915403486 
0.7275651021356961 0.22800655638321896 , 0.22597041779887256 0.39404598121118345 , 0.06524376131449777 0.4989731926619539 
0.718173033093759 0.22123948679482014 , 0.23992093776104328 0.4062203392660877 , 0.060685310394264114 0.4935659041954485 
0.7082684241803565 0.21467551526292902 , 0.25259184239830434 0.4190520018618945 , 0.05791901467040554 0.48729821313153276 
0.6978389277717744 0.2083416848495312 , 0.2639918470273109 0.43229542307804286 , 0.05694850644998115 0.4803886223287822 
0.6868747854301299 0.2022669491589492 , 0.27414502096932014 0.44572895685327957 , 0.05775947484961638 0.47302982424412754 
0.6753690619079797 0.19648142454980905 , 0.2830834723626964 0.45915258209894755 , 0.06032674697839035 0.46539172360759967 
0.6633175259403045 0.1910156507784395 , 0.29084231534489 0.4723852996912912 , 0.06461943996387198 0.4576247797866255 
0.6507181805695297 0.1858999819621341 , 0.2974564001903404 0.48526237949151135 , 0.07060470048919637 0.4498633688027108 
0.6375704904498702 0.18116421616571843 , 0.30295838460231717 0.49763247088841556 , 0.07825040619687904 0.4422290432022222 
0.6238743820274487 0.1768375438504466 , 0.30737781470478376 0.5093545270378705 , 0.08752708451683394 0.4348336593680391 
0.6096290992533269 0.1729488657150617 , 0.3107409727338512 0.5202944777265645 , 0.09840920926188827 0.42778238681473 
0.5948319854159008 0.1695275123262859 , 0.3130713434980637 0.5303215835407693 , 0.11087595233510185 0.421176634389301 
0.5794772399187064 0.1666044012884775 , 0.31439066132023313 0.5393043965310573 , 0.1249113800101268 0.41511693243682135 
0.5635546800431239 0.1642136985279211 , 0.31472063416935075 0.547106236700748 , 0.1405039670365916 0.4097057950276871 
0.5470485377802465 0.16239511237902682 , 0.3140856214572458 0.5535800815478501 , 0.15764512201157396 0.4050505363294793 
0.5299363645298352 0.16119704561933754 , 0.3125168000971257 0.5585627918221453 , 0.1763261166221054 0.4012658928148734 
0.5121882462666291 0.16068095979818228 , 0.3100587389324976 0.5618687388954776 , 0.19653229604993963 0.39847603156269634 
