0.48888283459850057 0.4361285541346598 , 0.08804297622222479 0.48611856327202074 , 0.7150871097801009 0.3174077154851691 
0.49765039582735654 0.4329341832777606 , 0.08264738213186774 0.4835024890493639 , 0.711715142641602 0.32321816056472513 
0.5071064073288929 0.42918283885146696 , 0.07799624628731025 0.48076618833538104 , 0.7069102669846231 0.3297058057050017 
0.5174366241570478 0.42481062086678756 , 0.07406096401397752 0.4779169190263795 , 0.7005153324298009 0.3369272929986826 
0.528882506667787 0.41973616031641503 , 0.07081663802999222 0.47496085754964473 , 0.6923137759030471 0.3449578150257899 
0.541771491900356 0.4138546955649761 , 0.06824168716176907 0.47190335728814103 , 0.6819997415387012 0.35389678003873254 
0.5565635378999262 0.40703483443095795 , 0.06631764095636605 0.4687491985706462 , 0.669131741744534 0.36387079989024557 
0.5739021174713873 0.3991399589210371 , 0.06502917536022447 0.46550286400306307 , 0.6530816277692144 0.3750120099677495 
0.5945041781975019 0.39018855517929396 , 0.06436454239557332 0.4621688895215819 , 0.633144200007751 0.3872973881909738 
0.6179100680264562 0.38104740233110895 , 0.06431674132413127 0.45875235660500846 , 0.6097861112502386 0.3998550739557322 
0.6402498860818286 0.3737169547876626 , 0.06488570393148249 0.455259438206077 , 0.586877330587515 0.41067843989811004 
0.6591598103853843 0.3686071974391312 , 0.06607935907407228 0.45169736261919957 , 0.5667737511413695 0.4193502728335189 
0.6747926423767187 0.3651889718458422 , 0.06791189106812905 0.4480740089419681 , 0.5493083871559784 0.42639185210403935 
0.6876940024323441 0.36301382695996914 , 0.07040213505212096 0.44439779341844726 , 0.533916783116361 0.4322432125134332 
0.698308814848841 0.3617897063484104 , 0.07357284878562068 0.44067773625065865 , 0.5201312569663645 0.43718739029278053 
0.7069577690667057 0.36132589971630646 , 0.07745053596209456 0.4369236010122818 , 0.507604615572026 0.44140533216326133 
0.7138705526657235 0.3614924708241002 , 0.08206561075195322 0.43314608114294023 , 0.4960767571831495 0.44501628092480916 
0.7192140912725964 0.3621968586229553 , 0.08745281935520667 0.4293570379131214 , 0.4853460099730232 0.4481009363557729 
0.7231114858355115 0.3633704562205025 , 0.09365190201474677 0.42556980725476234 , 0.47524953275056786 0.45071456941658483 
0.7256542858442987 0.3649606196137242 , 0.10070852116655046 0.42179960370101144 , 0.465650113589977 0.45289460957711397 
0.7269105015655317 0.36692568709637613 , 0.10867551793948892 0.4180640641465402 , 0.4564269010958055 0.4546650816489333 
0.7269299139060368 0.3692317273533966 , 0.11761460179702383 0.4143839968092886 , 0.44746840489776557 0.4560391087291644 
0.7257476316587622 0.3718503135075938 , 0.12759863728654483 0.41078443836601486 , 0.4386666516555191 0.457020081018241 
0.7233864701564795 0.3747569199694276 , 0.13871478151536146 0.40729618694763325 , 0.4299116689289852 0.45760172597478876 
0.7198584976957246 0.3779296980713311 , 0.1510688677737092 0.4039580943552287 , 0.4210855551313923 0.4577670404652898 
0.7151659531206462 0.3813484725008887 , 0.16479165948232755 0.4008206164077329 , 0.4120553079978524 0.457485743983228 
0.7093016392502541 0.3849938463510118 , 0.1800479653373834 0.3979515408507431 , 0.4026633160131886 0.45670944569009475 
0.702248813993866 0.3888463243396853 , 0.19705015471515572 0.3954456734779842 , 0.3927139518918044 0.45536283507418013 
0.6939805060544424 0.3928853692975961 , 0.2160781930631753 0.39344210870642143 , 0.3819542214832084 0.45332735488783216 
0.6844580309292382 0.39708830091972647 , 0.23750750702821444 0.39215675243409687 , 0.37004738264337345 0.4504097795380263 
0.67362817866839 0.4014289365629508 , 0.2618349518730281 0.3919458594098228 , 0.356549790059408 0.44628003691907603 
0.6614178424479503 0.40587590226949866 , 0.28962100096285426 0.39342128249576697 , 0.3409740771900215 0.44035764812658407 
0.6477231551500524 0.41039081321755616 , 0.3208980804048181 0.3975147744359816 , 0.32339168504595556 0.43174924523831193 
0.6323869286578382 0.41492785064515153 , 0.35320300937884425 0.404537156954771 , 0.3064229825641436 0.42018982529192717 
0.6151601038880528 0.41943839023009805 , 0.38320221586821523 0.41272833595807334 , 0.2936506008445581 0.4074881067036783 
0.5956548733012887 0.42387609185734754 , 0.4109453869335329 0.4207449604014918 , 0.2854126603660045 0.39503378063301037 
0.5732716410318923 0.42819770471055707 , 0.4377579155686243 0.42819662860726243 , 0.28098336400030954 0.38326049957403024 
0.5470907963278034 0.4323715811479758 , 0.4651680434409681 0.4350064919464996 , 0.2797540808320546 0.3722767597973744 
0.5160428978743477 0.4364251954961575 , 0.49462198925116024 0.4411037546812581 , 0.2813480334753182 0.3621258827144342 
0.48174753152603433 0.44051878955579193 , 0.5246815461912877 0.4462499505742771 , 0.285583842883504 0.35288609276178073 
0.44929553282628965 0.44439674435845006 , 0.5502800010236516 0.4505066948764081 , 0.2924373867508849 0.3447513936569916 
0.41868273920156557 0.44742667430523536 , 0.5713768358972028 0.45414374978491495 , 0.30195334550205777 0.33808440880169943 
0.38883671092015104 0.44893772573458673 , 0.5890627659859009 0.45728073792827595 , 0.3141134436947741 0.33343636922898706 
0.35925396610306015 0.44817505032177457 , 0.6041089674953376 0.45995725712891783 , 0.32864998700242837 0.3315225254411574 
0.33019480718377164 0.4444422190796577 , 0.6169947356930838 0.46217817866272926 , 0.34482337772397065 0.33303443514946285 
0.3025837961563595 0.43749885790214604 , 0.6280111675275244 0.46393232216014124 , 0.3614179569169423 0.3382236528295625 
0.27744253160218646 0.42783363980244915 , 0.6373261040068313 0.4652031589117064 , 0.3772442849918084 0.34661803417769427 
0.25528776194151376 0.41636240436337263 , 0.64502415570335 0.4659763361583168 , 0.3917010029559624 0.3573160923701604 
0.2360903712543362 0.403938710975332 , 0.6511324888588653 0.4662440532563845 , 0.40479006048762467 0.3694720686601332 
0.2195467131679686 0.3911560083205662 , 0.6556363357651545 0.46600690881357426 , 0.41682987166770324 0.3824919157577093 
0.20528931635818884 0.3783736035539803 , 0.6584867741283709 0.465274730637922 , 0.42823683011426655 0.3960064986999474 
