0.9159986769316907 0.8361444536815145 , 0.9297180944503093 0.1871977580819385 , 0.4580774344116719 0.24026740466826257 
0.9284427990917093 0.8348881977073115 , 0.9110860629949005 0.18485136893584894 , 0.46426534370706213 0.2438700497885551 
0.9407743016162933 0.8332680463448262 , 0.8920060170512858 0.18279322293861613 , 0.4710138871260929 0.2475483471482732 
0.9529807410877111 0.8312867819768559 , 0.8724402886214497 0.18103872900964849 , 0.47837317608451113 0.2512841054452111 
0.9650497123708373 0.8289480071681962 , 0.852341118775724 0.17960757349584783 , 0.48640337464711075 0.2550540357676715 
0.9769689535988211 0.8262561057219528 , 0.8316475910422265 0.17852602880480847 , 0.4951776611526245 0.25882748190495414 
0.9887264446178067 0.8232161808686255 , 0.8102814275998547 0.1778305708391977 , 0.5047863335760108 0.2625628647238923 
1.0003104962125196 0.8198339705056072 , 0.7881411548693324 0.17757373973707088 , 0.5153425547118202 0.26620190618903733 
1.0117098283360122 0.8161157393667782 , 0.7650940083662751 0.17783401994474204 , 0.5269903690913851 0.26965985712019525 
1.0229136371482384 0.8120681476050365 , 0.7409650913450774 0.17873325352330674 , 0.5399154773003567 0.2728082153033722 
1.0339116535687138 0.807698094551378 , 0.7155249392239872 0.18046873347856993 , 0.5543576130009713 0.2754427884017675 
1.044694201828664 0.8030125359576252 , 0.6884849464460516 0.18337418531124997 , 0.5706150575189567 0.27722289516284027 
1.0552522788838983 0.7980182756997762 , 0.6595464618240242 0.18803152983490218 , 0.5889954650857498 0.277559810897037 
1.0655777018559087 0.7927217505479053 , 0.6286845050989633 0.19541103902467477 , 0.6095319988388004 0.2754768268591354 
1.0756634102056677 0.7871288994742257 , 0.5970461264036664 0.20661834117182915 , 0.6310846691843383 0.2698623757856606 
1.0855039421050512 0.7812453792355611 , 0.5673410656895935 0.22134715329812024 , 0.6509491979990277 0.261017083898034 
1.0950956187491532 0.7750772071277224 , 0.5410552939695328 0.23776728035108347 , 0.6676432930749866 0.25076512895290953 
