0.43682651080273227 0.9897007714920517 , 0.6929520000318008 0.039139557027269345 , 0.959072158166669 0.666295462714992 
0.4274039025435091 0.9856081754570447 , 0.7015024915300334 0.02841473035217476 , 0.9599442749276597 0.6811128854250936 
0.41823043644643404 0.9812932399909237 , 0.7100981156504653 0.01796849673898851 , 0.9605221169043028 0.695874054504401 
0.40931169860246647 0.9767660010430883 , 0.7187300274520938 0.007789912000388935 , 0.9608089429466419 0.7105798781908359 
0.4006527980649988 0.9720365843849827 , 0.7273903392364973 -0.0021313410011641037 , 0.9608075316997061 0.7252305478504946 
0.3922583669785249 0.9671151851280608 , 0.736071999914379 -0.01180498723736483 , 0.9605203021082983 0.7398255933436172 
0.38413256208626206 0.9620120467447209 , 0.7447686915772047 -0.021240194434110345 , 0.9599494153377354 0.7543639389237027 
0.37627906762601343 0.9567374398246041 , 0.7534747405839823 -0.030445607246336125 , 0.9590968607912064 0.7688439586560452 
0.3687010996018555 0.9513016407771999 , 0.7621850409177392 -0.03942938018868766 , 0.9579645284816075 0.7832635306458009 
0.36140141140041315 0.9457149106710419 , 0.7708949879368088 -0.048199209021053256 , 0.9565542696639803 0.7976200895843245 
0.3543823007044068 0.9399874743798577 , 0.7796004209539362 -0.0567623604257584 , 0.9548679473428591 0.8119106772802138 
0.3476456176426695 0.9341295001868222 , 0.7882975733316231 -0.06512569990808993 , 0.9529074780269096 0.826131990955581 
0.34119277410478666 0.9281510799795827 , 0.7969830289938866 -0.07329571791614432 , 0.9506748659025288 0.8402804291708748 
0.3350247541397283 0.9220622101510216 , 0.8056536844302353 -0.0812785542186314 , 0.9481722304312384 0.8543521353019229 
0.32914212535115495 0.9158727733038301 , 0.81430671541345 -0.08908002060655341 , 0.9454018282365971 0.8683430385370364 
0.32354505119730126 0.9095925208409649 , 0.8229395477739572 -0.0967056220011649 , 0.9423660700299437 0.8822488923945131 
0.31823330410029 0.9032310565089754 , 0.831549831674507 -0.10416057605955745 , 0.939067533226405 0.896065310784895 
0.31320627926822475 0.8967978209470804 , 0.8401354189130821 -0.11144983137294029 , 0.9355089708198951 0.9097878016601729 
0.308463009133268 0.8903020772817648 , 0.8486943428523842 -0.11857808435287001 , 0.9316933170155497 0.9234117983054182 
0.3040021783099596 0.8837528977945908 , 0.8572248006332732 -0.12554979489851145 , 0.9276236900579691 0.9369326883382336 
0.2998221389800976 0.8771591516798677 , 0.8657251373791213 -0.13236920093433482 , 0.9233033926419831 0.9503458404887801 
0.29592092661342934 0.8705294938988165 , 0.8741938321398142 -0.13904033190306686 , 0.9187359102479585 0.9636466292385633 
0.29229627593703705 0.8638723551278719 , 0.8826294853593976 -0.14556702129363783 , 0.9139249077047675 0.9768304574000788 
0.2889456370705013 0.8571959327907657 , 0.8910308076812153 -0.15195291827858956 , 0.9088742242494855 0.9898927767221367 
