0.26730321947970626 0.3410376511968516 , 0.718729115209851 0.9364817641678682 , 0.8222533145307539 0.08818049953648177 
0.27562791267472786 0.33691719404272913 , 0.7110641301681948 0.9289606959477679 , 0.8215936063773885 0.09982202491070458 
0.28430763142283977 0.33283400496946647 , 0.7033109144678232 0.9211558438254949 , 0.8206671033296482 0.11171006610624028 
0.2933583063499297 0.32879419032454676 , 0.6954705976754763 0.9130545611005864 , 0.8194567451949053 0.12385116347606846 
0.3027974683836921 0.32480465173946277 , 0.6875446167036328 0.9046430709905781 , 0.8179435641329863 0.1362521921711608 
0.31264448693514624 0.3208732365156196 , 0.6795347837190927 0.8959063232670217 , 0.8161063785660723 0.14892035511856028 
0.3229208559835735 0.31700892597187513 , 0.6714433701686927 0.8868278268339705 , 0.8139214230680449 0.16186316209535592 
0.3336505401035095 0.31322207404397834 , 0.6632732113560326 0.877389453187165 , 0.8113618977607691 0.17508838767005833 
0.34486039601044377 0.309524713342809 , 0.6550278374175686 0.8675712043937838 , 0.8083974157922987 0.1886039971646089 
0.3565806898529965 0.30593095315204805 , 0.6467116384807978 0.8573509375344144 , 0.8049933208865168 0.2024180242147393 
0.3688457365430143 0.30245750479664907 , 0.6383300744597429 0.8467040353037169 , 0.801109838217554 0.21653837480083585 
0.38169469516343907 0.2991243866046814 , 0.6298899436755261 0.8356030094621336 , 0.796701010381346 0.23097251883438674 
0.395172563971661 0.2959558869236617 , 0.6213997297634564 0.8240170197567314 , 0.7917133554851938 0.24572700822080862 
0.40933142900126823 0.2929819054467578 , 0.6128700538706904 0.8119112853181772 , 0.7860841663483525 0.26080672413626665 
0.4242320288848712 0.2902398609295682 , 0.6043142700766663 0.7992463576763431 , 0.7797393502587737 0.2762136962952904 
0.43994569676390355 0.28777746530678594 , 0.5957492580176218 0.7859772132895879 , 0.7725906944387858 0.29194523630482794 
0.4565567051141035 0.2856568511866372 , 0.5871964905985968 0.77205210702183 , 0.7645324535076108 0.3079909566927346 
0.47416491171485126 0.2839608526487669 , 0.578683490778738 0.7574111032760541 , 0.7554372467267217 0.3243279589763808 
0.49288823422089945 0.2828027523413792 , 0.5702458466824218 0.7419841632885423 , 0.7451515683169898 0.34091299927128027 
0.5128634913587736 0.2823415860166281 , 0.5619300398551228 0.7256886063490243 , 0.7334921180064147 0.3576697225355494 
0.5342416447325785 0.28280599223851355 , 0.5537974748360507 0.7084256637951258 , 0.7202465296516818 0.37446825886756246 
0.557167577484871 0.28452939095753144 , 0.5459303055424326 0.6900756819881588 , 0.7051877661930074 0.39109484195551153 
0.581722850607591 0.2879928036367227 , 0.5384399711485015 0.6704912699862435 , 0.6881228274642184 0.4072158412782356 
0.6077977064699192 0.29384403517124363 , 0.5314798292280951 0.6494873149800311 , 0.6690081135222965 0.4223685647499271 
0.634892940081174 0.3027987616103041 , 0.5252640262322508 0.626826421230766 , 0.6481286829068861 0.43607473206013175 
0.6620294251702892 0.31532340580159157 , 0.5200963586080648 0.6021984339193837 , 0.626159865441957 0.44817807518022673 
0.6880607805686745 0.3313078610286956 , 0.5164172575772984 0.5751946124560653 , 0.6038076110743381 0.45919744141644114 
0.7121637079786157 0.3501660032334881 , 0.5148836442248999 0.5452913964795427 , 0.5812382970167954 0.4702425151881711 
0.7339524615038263 0.37120187314125075 , 0.5164587014684138 0.5119813314777324 , 0.5578744862480709 0.4825167102822188 
0.7532986026993521 0.3937972631774679 , 0.5219832981331313 0.4759265755172499 , 0.5330037483878276 0.4959760762064842 
0.7701862563428706 0.41739784058035184 , 0.5297710188587658 0.441287984200083 , 0.5083283740186745 0.5070140901207671 
0.784701592868248 0.4414836980198749 , 0.5377101690234583 0.4101737199112447 , 0.48587388732860454 0.5140424969700824 
0.7970542812355057 0.4656220393949987 , 0.5454870275397375 0.3821092988737026 , 0.4657443404450675 0.5179685766325007 
0.8075279227818181 0.4895151796754622 , 0.5531427900610315 0.35650342514749833 , 0.4476149363774612 0.5196813100782415 
0.816412126267106 0.5129920949075732 , 0.5606932483498696 0.33293431527470974 , 0.4311802746033352 0.519773504718919 
0.8239631841173312 0.5359711278571727 , 0.5681206552830073 0.31109346110925457 , 0.4162018098199723 0.5186353259347748 
0.8303928067875856 0.5584241529274971 , 0.5753970116676513 0.2907428370032954 , 0.4024958307650737 0.5165329249704096 
0.8358710021269504 0.5803519558961575 , 0.5824961652555828 0.27169292769710285 , 0.38991848183777744 0.5136550313079419 
0.8405333919138336 0.6017696363890324 , 0.5893975667209057 0.2537902292098333 , 0.3783546905855713 0.5101400493023366 
0.8444886541492161 0.6226985807570307 , 0.5960864313841386 0.23690899800377446 , 0.3677105636869558 0.5060923361403972 
0.8478247309302182 0.6431622485156978 , 0.6025527514234557 0.22094528102389016 , 0.35790816686663673 0.5015923853616143 
0.8506136368541397 0.6631840523467092 , 0.6087901385674822 0.2058124138597953 , 0.3488818737986886 0.4967034486946978 
0.8529150777879159 0.6827863553138133 , 0.6147948190354828 0.19143756694646194 , 0.3405757523969118 0.4914759926409271 
0.8547791521836233 0.7019900529973514 , 0.6205648469455359 0.17775907276116112 , 0.3329416500911512 0.48595078914268985 
0.8562483717865471 0.7208144553269719 , 0.626099516472169 0.16472434412556985 , 0.3259377609615943 0.48016111544866064 
0.8573591843806827 0.7392773165195691 , 0.6313989320369812 0.15228824274468858 , 0.3195275328026465 0.47413435563694467 
0.858143132785492 0.7573949330936542 , 0.6364636971325355 0.1404117921886531 , 0.31367881930228286 0.46789318961889503 
0.8586277468696721 0.7751822681877979 , 0.6412946897608804 0.12906115562648218 , 0.30836321258975785 0.46145649108692227 
0.8588372380012731 0.7926530808713835 , 0.6458929002184838 0.11820681819431711 , 0.30355551100055356 0.45484001583550177 
0.8587930458537193 0.8098200500675425 , 0.6502593134115104 0.1078229285420552 , 0.2992332899550807 0.44805693629160465 
0.8585142736946165 0.8266948885141985 , 0.6543948228084748 0.09788676506652014 , 0.29537655271721913 0.4411182613204838 
0.858018038526796 0.8432884452266323 , 0.6583001667452913 0.08837830053944024 , 0.29196744394822305 0.43403316913513 
0.8573197555157167 0.8596107964644499 , 0.6619758803894221 0.0792798449839309 , 0.28899001331517166 0.4268092734528217 
0.8564333711719707 0.8756713259370438 , 0.6654222585124598 0.07057575127596394 , 0.2864300195358798 0.4194528376881949 
