0.2452633967883765 0.9432111724673016 , 0.2335193957157271 0.8481549300405985 , 0.2845826221809674 0.14325759704823893 
0.23986253344833972 0.9422079476901095 , 0.24090687345811304 0.8581299867244743 , 0.28259600777861826 0.1342857651415552 
0.23451638372425504 0.9372857397400778 , 0.24825815847320368 0.871690277828646 , 0.2805908724876123 0.12564768198741522 
0.22996633229866625 0.9284557278646844 , 0.25482929050535463 0.8888362174425912 , 0.27856979188105013 0.11733175424886333 
0.2272729632126105 0.916533369105161 , 0.2595576322068532 0.9087630656648662 , 0.27653481926560736 0.10932726478611177 
0.227348353256167 0.9037976295153984 , 0.2615295633881349 0.9292013431547537 , 0.27448749804076916 0.10162472688598692 
0.23009462304403988 0.8928892281688623 , 0.26084172913514075 0.9475183843781761 , 0.2724290625058904 0.09421608700910054 
0.23471918673349176 0.885151154131722 , 0.2582855122016298 0.9623780566783302 , 0.27036071574994947 0.08709448874608682 
0.24046052641543858 0.8808974407192173 , 0.2546211149339894 0.9734724567899925 , 0.268283773335643 0.0802538020469292 
0.24675778624084937 0.8800913492536958 , 0.25040796583361863 0.9808441121854994 , 0.266199662610603 0.07368823811694374 
0.25318614445115223 0.8826537509936708 , 0.24606941527868897 0.9845778236293788 , 0.2641098549552298 0.06739212493308921 
0.25937292477672746 0.8885571145832765 , 0.2419767091455463 0.9847067721151194 , 0.2620157807627972 0.06135981285774298 
0.2649236277077975 0.8978356354071041 , 0.23852303694490307 0.981202389181955 , 0.2599187500323704 0.05558567496707972 
0.2693473323559427 0.9105323264377975 , 0.23619819210194196 0.9740271920794299 , 0.2578198902271863 0.05006418103891147 
0.27198814110367364 0.9265082991689741 , 0.23565716175774654 0.9633253637160009 , 0.25572011182365084 0.04479003667116378 
0.27208077331264335 0.94493805992983 , 0.23766452263049165 0.9499272581896947 , 0.253620118741936 0.039758381436614046 
0.2692710046914142 0.9636684436872818 , 0.24257391907989478 0.9359902499855899 , 0.251520490913762 0.034965005883267064 
0.26428826741013 0.9800343658003835 , 0.2496553079312965 0.9241828923329339 , 0.24942183934364445 0.03040644142282131 
0.25835340359878994 0.9926636693684152 , 0.2576870843328782 0.9158802542128252 , 0.24732492675340287 0.02607977597489834 
0.25238409171180953 1.0013564974608866 , 0.2657506640211272 0.9112848510921636 , 0.24523065895213428 0.021982351003088534 
0.24695434099758837 1.0063057616205489 , 0.2732710719646481 0.9102063869342694 , 0.24314000172283454 0.01811155100132056 
0.2424597089601961 1.007738033995859 , 0.2798518136901105 0.9124209515718784 , 0.2410538920347644 0.014464713988401424 
0.23924041418006542 1.0058191173712803 , 0.28515183103557024 0.9177654566556777 , 0.23897316946943534 0.01103912552918088 
0.23766133875440357 1.0006548276342826 , 0.2888055423276837 0.9261368068764639 , 0.23689853360298374 0.007832065045392236 
0.23817057794759203 0.992347787761607 , 0.29036430783749256 0.9374350248362746 , 0.23483052889998637 0.004840886958257097 
0.24132266276999362 0.9811588766786692 , 0.28927319112600747 0.9514016954925592 , 0.23276956078906985 0.002063127384910406 
0.24764112637774266 0.9679017219083055 , 0.2850083368439695 0.9672253517471803 , 0.2307159514633588 -0.0005033740993470215 
0.25702902828671925 0.9544840742419927 , 0.27766634228665593 0.9829999960694927 , 0.22867004411169572 -0.0028603707553466625 
0.2681457962882033 0.9433524932922777 , 0.2685872886895518 0.9962804143635287 , 0.22663232970731584 -0.0050092080996676485 
