0.5236729675249193 0.6649813114254203 , 0.737136959603654 0.6009024921813862 , 0.562612778158815 0.8748062897453173 
0.5261357965317118 0.646563684937721 , 0.727887569866463 0.5987042507465251 , 0.5693993388892136 0.8954221576678777 
0.5304681728251042 0.6289949708099422 , 0.716617731666417 0.5975848118908065 , 0.5763368007958672 0.9141103106513752 
0.5368705300899586 0.6121030282164323 , 0.7031388751436667 0.5974638685474774 , 0.5834133000537631 0.9311231965882142 
0.5456509863516371 0.5958418346821511 , 0.6871633290622443 0.5982093986071109 , 0.590608389873507 0.9466388600628618 
0.5572411414934636 0.580332728789491 , 0.6682857400417529 0.5995694508972652 , 0.5978958237521719 0.9607879136653675 
0.5721436446063326 0.5660011582134844 , 0.6460346172597805 0.6010183659705979 , 0.6052444434212753 0.9736705691680415 
0.5905186398523169 0.553840312942004 , 0.6202855037642805 0.6014807166114562 , 0.6126185616707911 0.9853690637986636 
0.6108916776677551 0.5453313296353354 , 0.5925514052533506 0.5994004194485071 , 0.6199796223662829 0.9959583442682813 
0.6300727965244606 0.5408214058671277 , 0.5660582893025574 0.5943548312909029 , 0.6272916194603706 1.005513856194093 
0.646353994840033 0.5391671032397788 , 0.5425408507798404 0.5874123584801474 , 0.6345278596675152 1.0141106316321975 
0.6596688907750369 0.5393015551441749 , 0.5220818153685313 0.5795713159606685 , 0.6416719991438204 1.0218172222472803 
0.6703923290353868 0.5405925468208165 , 0.5043152134681165 0.5714051036961711 , 0.6487151627838852 1.028692442835136 
0.6789024844447421 0.5426844484826978 , 0.4888672607524778 0.5632205205497737 , 0.6556529600901686 1.0347851243196522 
0.685501284379078 0.5453683017636265 , 0.4754380285952681 0.5551866723459978 , 0.6624833923130423 1.0401351192424992 
0.6904185425640882 0.548513414452678 , 0.4637986317960157 0.5474020900722294 , 0.6692055309272845 1.0447745888272162 
0.693828439400143 0.5520327266923192 , 0.45377556341112213 0.539928160890981 , 0.6758187024761233 1.0487292057688236 
0.6958639096154159 0.5558645941216335 , 0.4452368166878167 0.5328063280912237 , 0.6823219789841558 1.0520191711392664 
0.696627215666576 0.5599626404674632 , 0.4380816436515623 0.5260674114150294 , 0.6887138459692501 1.0546600414696308 
0.6961973993769502 0.5642897300803181 , 0.43223333554966287 0.5197369704048285 , 0.6949919703607753 1.0566633928669769 
0.6946354962386322 0.5688141199307489 , 0.4276341874212213 0.5138386182539005 , 0.7011530216275349 1.058037355167474 
0.6919881919305764 0.5735067830633434 , 0.4242419953641515 0.5083962631195402 , 0.7071925179926604 1.05878704716924 
0.6882903880090226 0.5783393421113874 , 0.42202763641549285 0.5034358110887923 , 0.7131046808628727 1.0589149401519438 
0.6835669865192264 0.5832822694903478 , 0.42097343100836065 0.49898665050088886 , 0.7188822877598011 1.0584211733608868 
0.6778340963805835 0.5883031140604088 , 0.4210720897926635 0.4950831367644151 , 0.7245165191141413 1.0573038425272996 
0.6710997938433312 0.5933645531424824 , 0.42232611288358485 0.4917662594070123 , 0.7299967985604722 1.0555592808026288 
0.6633645248485509 0.5984220650672376 , 0.4247475496829552 0.4890856778996461 , 0.7353106307558821 1.05318235038524 
0.6546212147747368 0.6034209763909737 , 0.4283580445853091 0.4871023549166042 , 0.7404434459273422 1.0501667620445458 
0.6448551554292126 0.60829255395709 , 0.4331890830099897 0.4858921015933364 , 0.7453784668481859 1.0465054378016974 
0.6340437898603609 0.6129486688576923 , 0.43928229341349423 0.48555049667374833 , 0.750096622013533 1.0421909278206831 
0.6221566643074463 0.61727432859874 , 0.4466895028057637 0.4861998807363119 , 0.7545765381741781 1.037215884017072 
0.6091561904386006 0.6211170173650354 , 0.45547186001972284 0.4879994989691692 , 0.7587946548290647 1.0315735770179193 
0.5950007727258674 0.6242712862416684 , 0.46569642291873925 0.49116039123440447 , 0.7627255096427815 1.0252584158760512 
0.5796540837450198 0.6264565667012801 , 0.4774263807888232 0.49596714036385375 , 0.7663422407535451 1.01826638628699 
0.5631097228654808 0.6272868213155806 , 0.4906956543959517 0.5028080149856822 , 0.7696173280259556 1.0105952570508612 
0.5454533179883719 0.6262372574539512 , 0.5054458574533386 0.5122085259325466 , 0.7725235298456776 1.0022443099656262 
0.5270085801312511 0.6226441723397417 , 0.5213792980996619 0.5248326980014908 , 0.7750348270564752 0.9932132230108915 
0.5086185597099012 0.615874482028688 , 0.5376772526533401 0.5413159985210986 , 0.7771268929241468 0.9834996128023374 
0.4918768868683482 0.6059189251363523 , 0.5527697079469969 0.5616763301329506 , 0.7787761104720431 0.9730948380828212 
0.4785059356626935 0.59404609883912 , 0.5649609215395155 0.5846652880099514 , 0.7799558480851791 0.9619787065030526 
0.46911210576288664 0.5820906400307542 , 0.5736804761317567 0.6084836545336065 , 0.7806301233927448 0.9501157987877632 
0.4632660245461941 0.5712729942387398 , 0.579409621100844 0.6319618004497743 , 0.7807470596403501 0.9374552986636098 
0.460274924309201 0.562112447004376 , 0.5829147492189968 0.6546448804301671 , 0.7802330317591903 0.9239327659175808 
0.45954144587592044 0.5547556304078366 , 0.5848950848285024 0.6764619841387008 , 0.7789861745829652 0.9094724788055865 
0.4606198349110008 0.5491963784811198 , 0.5859350167854092 0.697502923621135 , 0.776867853590978 0.893990791249869 
0.4631899449685665 0.5453756158792672 , 0.5865416203034074 0.7179122247039953 , 0.773691140015414 0.8774022527688613 
0.4670246794008954 0.5432223028629077 , 0.5871920947580644 0.737836036248247 , 0.7692059311284279 0.859631754240969 
0.4719661794405621 0.5426700772127561 , 0.5883743590592461 0.7573815372144765 , 0.7630821667875797 0.8406384789248911 
0.47791119042179486 0.543664849714477 , 0.5906133951719481 0.7765643883669505 , 0.7548981196936447 0.8204608552706961 
0.4848038397852023 0.5461701327346445 , 0.5944643125800644 0.7952278165630227 , 0.744154552922121 0.7992921440544565 
0.4926345920364059 0.5501738111286655 , 0.6004291321665836 0.8129388524860757 , 0.7303589810843981 0.7775774297373826 
0.5014449991595054 0.5556994157490865 , 0.6087527146313335 0.8289379559113694 , 0.7132249914965487 0.7560527216916678 
0.511338548438294 0.5628254716561858 , 0.6191762298805611 0.8423049108794464 , 0.6929079269685325 0.7355597108164917 
0.5224987389935831 0.5717181146840041 , 0.6309350363750448 0.852355765049401 , 0.6699889299187597 0.7166162136187186 
