0.11002743730885955 0.7857100010306817 , 0.30347352827532126 0.4950324041817509 , 0.9286098975344143 0.3809895057269278 
0.10945339103940577 0.7962037852829489 , 0.30592522371190783 0.49149003867136704 , 0.9267322483672814 0.37403808698504437 
0.10935181714325208 0.8060715100571185 , 0.3082447811311994 0.48847557217063664 , 0.9245142648441436 0.3671848287116051 
0.10969210690109424 0.8153405120536065 , 0.31046297943941265 0.4859583267432795 , 0.9219557767780882 0.3604330721424744 
0.11044860787046365 0.8240336011985446 , 0.3126059194730542 0.48391190014643076 , 0.9190563357750772 0.3537864095943849 
0.11159965617324973 0.8321698076395555 , 0.31469599031203394 0.48231339889521024 , 0.9158152166333113 0.3472487044045946 
0.11312685138304522 0.8397649561296394 , 0.3167525926424755 0.48114284280484526 , 0.9122314190930743 0.34082411200487567 
0.1150145050242349 0.8468321109442541 , 0.3187926881450893 0.48038269751337426 , 0.9083036699492708 0.33451710248173194 
0.11724921587816872 0.8533819220415436 , 0.32083122165360417 0.48001750396156084 , 0.9040304255868221 0.32833248493625583 
0.11981953970809352 0.859422894547125 , 0.3228814483640637 0.4800335824580325 , 0.8994098750464378 0.32227543393420277 
0.12271573060281034 0.8649615975676298 , 0.3249551887388503 0.48041879504738144 , 0.8944399437769343 0.316351518324349 
0.12592953765666504 0.8700028239831503 , 0.3270630271798497 0.48116235425909387 , 0.8891182982820802 0.310566732697116 
0.12945404522808066 0.8745497096870325 , 0.3292144659637567 0.4822546694996469 , 0.8834423519267576 0.30492753175268084 
0.13328354822713964 0.878603818360668 , 0.33141804266059505 0.48368722473311465 , 0.8774092722308602 0.29944086784557755 
0.13741345620971193 0.8821651960357721 , 0.3336814168572881 0.4854524829352071 , 0.8710159900515949 0.294114231968381 
0.141840221787688 0.8852323982268339 , 0.3360114301934444 0.48754381428508836 , 0.8642592111374625 0.28895569842743796 
0.14656129019572503 0.8878024911796772 , 0.33841414229106204 0.4899554463144227 , 0.8571354306318079 0.28397397344526015 
0.15157506792009678 0.8898710276754974 , 0.34089484398664616 0.49268243537100714 , 0.849640951211852 0.2791784478928556 
0.1568809091942013 0.8914319967665413 , 0.3434580482528684 0.4957206598671188 , 0.8417719056715253 0.27457925430570007 
0.16247911997619086 0.8924777457184105 , 0.3461074582489771 0.4990668369581956 , 0.833524284893427 0.27018732826275405 
0.16837097981473764 0.8929988712090186 , 0.3488459109980344 0.5027185656293616 , 0.824893972305823 0.26601447410098006 
0.17455878284534052 0.8929840753848285 , 0.3516752941914555 0.5066744007658671 , 0.815876786081799 0.26207343478866457 
0.18104590011538588 0.8924199805721414 , 0.35459643249956607 0.5109339647888869 , 0.8064685305036431 0.25837796557833187 
0.18783686660285243 0.8912908941090866 , 0.3576089384396899 0.5154981060386522 , 0.7966650580760527 0.25494291079162135 
