0.26378497898794806 0.9762056635773246 , 0.6240684536104893 0.6684110377429402 , 0.10824000418480795 0.2999658524926937 
0.2728532145701076 0.9595426739780758 , 0.6238874948451553 0.6761856007354755 , 0.09935272736798251 0.3088542790994072 
0.28222226463566763 0.9423862762289554 , 0.6231580777306277 0.6841124455640939 , 0.09071309441694998 0.31808383201990925 
0.2919271735101691 0.9247085992967088 , 0.62183587250852 0.6922130732489713 , 0.08233039076455623 0.3276608812672786 
0.30201126677145046 0.9064804259696042 , 0.6198660422514716 0.7005095846155178 , 0.07421612776032331 0.3375925432278366 
0.3125289521614546 0.8876719614922286 , 0.617180147110032 0.7090241490942905 , 0.06638433751175875 0.34788644322643963 
0.32354965834330224 0.8682543638361859 , 0.6136918967473162 0.7177778175461857 , 0.058851881692626964 0.35855037243058707 
0.33516338151293484 0.8482026685951903 , 0.6092913107677437 0.7267880849274436 , 0.051638744502566836 0.36959180029032485 
0.3474884086027038 0.8275013035531623 , 0.6038367728473103 0.736064050832946 , 0.04476825533323124 0.3810171994268505 
0.36068165798493446 0.806154475742708 , 0.5971446289358633 0.7455969332446183 , 0.03826714986244758 0.39283114482563253 
0.37495106555456525 0.7842057542855325 , 0.588977042224339 0.7553416237760585 , 0.03216532900434105 0.4050351757513678 
0.3905655973382531 0.7617745409813754 , 0.5790327168426345 0.7651815347127338 , 0.026495122602357774 0.4176264781188497 
0.40784691706460907 0.7391202751935833 , 0.5669566769762415 0.7748656924771632 , 0.021289842742394705 0.43059658614221236 
0.42710029887573453 0.7167365043985212 , 0.5524116331061057 0.7839155150323269 , 0.016581504801405064 0.4439305343821107 
0.4484168023455274 0.695417319565073 , 0.535278677060182 0.7915580783256961 , 0.012397957377535955 0.45760715592218965 
0.47137914419845856 0.6761080364900185 , 0.5159538864161864 0.7968732979478537 , 0.008760406168600257 0.47160121937508664 
0.4950331066148295 0.6594377653691937 , 0.49537735734314053 0.7992575437338488 , 0.00568297282527519 0.4858872447099163 
0.5183628272601879 0.6454026722037726 , 0.47455551544549107 0.7987365677909571 , 0.0031750940775662363 0.5004433138182292 
0.5407164605799464 0.633576951233964 , 0.45413157764149237 0.7957525231965756 , 0.001245398561806506 0.5152530793824194 
0.5618203623754384 0.6234536308413016 , 0.43436786343142036 0.7908230083938506 , -9.478902361357796e-05 0.5303059145778068 
0.5816252293937242 0.6146064773548389 , 0.41529706251279425 0.7843799368274279 , -0.0008288551232732192 0.5455961396306922 
0.6001834000127242 0.6067168320104369 , 0.396842908680876 0.7767437308900873 , -0.0009328719103550344 0.5611219909124348 
0.6175838003586426 0.5995550259188946 , 0.3788833040724887 0.7681429895926128 , -0.00037366764788615905 0.5768845383014515 
0.6339226992637763 0.5929561401864961 , 0.361277351241438 0.7587399249983907 , 0.0008933862780308697 0.5928864886280721 
0.649291953320286 0.5868005959272509 , 0.34387430106831046 0.7486513038689244 , 0.00292718239464873 0.6091306540167838 
0.66377503836517 0.5810004208973387 , 0.3265138271826311 0.7379644384295909 , 0.005804571235444063 0.6256176944860294 
0.6774463583268256 0.5754898955168744 , 0.3090218512983335 0.7267501919166732 , 0.00962522715808613 0.6423424663794115 
0.6903718337123053 0.570219228280392 , 0.2912037289024802 0.7150755193876607 , 0.014517874168459831 0.6592878061449065 
0.7026099056569978 0.5651502610403696 , 0.27283590249894524 0.7030186067762701 , 0.020647628627302236 0.6764136859963193 
0.7142125905431056 0.5602535326581669 , 0.2536580417022062 0.6906908014577275 , 0.028222804537933435 0.6936382196970646 
0.7252264344623218 0.5555062650703508 , 0.23337142828911372 0.6782710927932432 , 0.0374955740318097 0.7108051959493651 
0.7356933011723212 0.5508909911946384 , 0.21165875415006097 0.6660584766952685 , 0.04874138146086309 0.7276330859230522 
0.7456509493001945 0.5463946393965217 , 0.188257153548814 0.6545351768712396 , 0.06218533393423678 0.7436527375451978 
0.7551333503376882 0.542007933074479 , 0.16312085075768007 0.6443872823726078 , 0.07783923568787691 0.7581873383658723 
0.7641707144495523 0.5377249540960038 , 0.13662348974155325 0.6363599199564786 , 0.0952992325921397 0.7704976797604767 
0.772789302500366 0.5335426811197975 , 0.10955476216911933 0.6309160789260616 , 0.11374937211375986 0.7801237937671 
0.7810112943248149 0.5294603666507455 , 0.08277138546518509 0.6280136088419803 , 0.13231075699324527 0.7871085783202333 
0.7888549788404479 0.5254788231175597 , 0.056856290750744526 0.627251643411311 , 0.1503821671920528 0.7918520872840884 
0.796335243599878 0.5215998092070089 , 0.032070598949342735 0.6281422397784775 , 0.16768759423402452 0.7948405048274727 
0.803464160746391 0.5178256114007851 , 0.008465581235915075 0.630262079229422 , 0.1841636948009391 0.7964948631827519 
0.8102515195294544 0.5141587980895213 , -0.01400940751683467 0.6332878436845303 , 0.19985132477062548 0.7971359120389075 
0.8167052549219227 0.5106020890160533 , -0.035443582036116396 0.6369838352735033 , 0.21483176389743894 0.7969966295234024 
