0.3243555601966218 0.0950803819809225 , 0.233488117692094 0.8778581298401886 , 0.34585258953647646 0.6308400155666929 
0.3201944749580804 0.08123931901610465 , 0.23545832127078759 0.8914010051884728 , 0.34804347119632434 0.6311382031832267 
0.31603395144095703 0.06785859846031154 , 0.23785798820345663 0.9038399647895854 , 0.3498043277807787 0.6320799641379071 
0.31187835264710834 0.05491448560737852 , 0.24064469034602123 0.9152324724773746 , 0.3511732244320628 0.6336315693030509 
0.307731169323199 0.04238524233994799 , 0.24378396976657365 0.9256232646191809 , 0.3521811283354197 0.6357700204286751 
0.30359518463697605 0.03025089916974137 , 0.24724742588401047 0.9350465788246223 , 0.35285365690420584 0.6384810493934403 
0.2994726058984069 0.018493058884480065 , 0.2510113511392109 0.9435277057810858 , 0.3532123103875745 0.6417577627222381 
0.2953651705964577 0.007094726530540392 , 0.2550557313846167 0.9510840433072871 , 0.3532753654441179 0.6455997575499764 
0.29127423229374066 -0.003959838398475579 , 0.2593634934887852 0.9577257649176489 , 0.3530585416426665 0.6500126008686307 
0.28720083063927954 -0.01468525088848898 , 0.263919921964057 0.9634561695587047 , 0.35257551482185584 0.6550076087175882 
0.28314574880018845 -0.025095113164565988 , 0.2687121898943413 0.9682717454347504 , 0.3518383287306626 0.6606018951176197 
0.27910956088987654 -0.03520211353148881 , 0.2737289629650931 0.9721619527143018 , 0.35085774357022276 0.6668186882049911 
0.2750926714225112 -0.04501811316648621 , 0.27896004192119356 0.975108702527656 , 0.34964355408148756 0.6736879380266344 
0.27109534840736077 -0.054554222424742595 , 0.28439600929554965 0.9770854783173776 , 0.3482049097222819 0.6812472714951693 
0.267117751381129 -0.06382086795570399 , 0.290027840016899 0.9780560045304114 , 0.34655067602716433 0.6895433908130968 
0.263159955439425 -0.07282785169927358 , 0.2958464194783403 0.9779723084654844 , 0.34468989250742704 0.6986340706215933 
0.2592219721550626 -0.08158440262259473 , 0.30184187973039006 0.9767719303480723 , 0.34263241553973967 0.7085909996623265 
0.25530376815193906 -0.09009922185558594 , 0.30800259919013634 0.9743738917166257 , 0.3403899000831169 0.7195038575267644 
0.25140528203573265 -0.09838052166668841 , 0.31431357935034765 0.9706727944457244 , 0.3379774060391121 0.7314862546087681 
0.24752644037064925 -0.10643605845695732 , 0.3207536339115272 0.9655300298271191 , 0.3354161931430159 0.7446845560176424 
0.2436671734493259 -0.11427315958086472 , 0.32729020621936 0.9587604485055071 , 0.33273888775650645 0.7592912384631618 
0.23982743176162827 -0.12189874320453317 , 0.33386915955297475 0.9501119929907461 , 0.32999967611058934 0.7755652776015913 
0.23600720438385592 -0.12931932931969306 , 0.3403931552750704 0.9392355976681847 , 0.327295907766266 0.7938622590393126 
0.2322065410619316 -0.13654103781966953 , 0.3466723633920155 0.9256493590810388 , 0.32481736297124525 0.8146702061264349 
0.2284255805186229 -0.14356956471979246 , 0.35230723899919414 0.9087522866994338 , 0.32296344790737536 0.8385958054081629 
0.22466458725901176 -0.15041011721421285 , 0.35645193896747396 0.8882297129590343 , 0.3225797411987067 0.8659589316429828 
0.22092398903180224 -0.15706727532841164 , 0.3578892574007706 0.865845220094058 , 0.3248830209926195 0.8950005826221579 
0.21720435896655507 -0.1635448144679915 , 0.356784294034524 0.8456037838357756 , 0.3297076144241133 0.92171955802002 
0.21350629509681876 -0.1698457615915391 , 0.35439189408151167 0.8288508250026152 , 0.3357980782468619 0.944773463976728 
0.20983033465637393 -0.17597266034925774 , 0.35147903348299986 0.8151623769609723 , 0.34238689928581856 0.9645888107760896 
0.20617693667880205 -0.18192777247017317 , 0.34839644575853 0.803937518792193 , 0.34912288498786026 0.9817687810657844 
0.20254648829730143 -0.187713192447096 , 0.3453082361019022 0.7947084313072289 , 0.3558415430259887 0.9967832885276713 
0.19893931567380332 -0.1933309126437581 , 0.3422972571121197 0.787137786185586 , 0.36245969463926925 1.0099716538459762 
0.1953556945377584 -0.19878286189392755 , 0.33940874322077347 0.7809817522092802 , 0.36893182966666044 1.0215796370724515 
0.19179585928591092 -0.204070929271105 , 0.3366693654158499 0.7760607939072138 , 0.37523104272343144 1.0317886627516952 
0.18826001061298908 -0.20919697907669124 , 0.3340962024664259 0.7722401531849264 , 0.3813400543457773 1.040735353279569 
0.1847483218757303 -0.21416286036607718 , 0.33170128083812184 0.7694171000412282 , 0.3872466647113401 1.048524287712653 
0.18126094441595392 -0.2189704129416082 , 0.32949403064751226 0.7675125153475656 , 0.3929412923617261 1.0552364249818467 
0.17779801204026063 -0.22362147098885124 , 0.32748270431172205 0.7664652293476895 , 0.3984155510732096 1.0609347690289659 
0.17435964481838898 -0.22811786510183912 , 0.3256752572047518 0.7662281458190393 , 0.40366136540205144 1.065668246670604 
0.1709459523308436 -0.23246142318387553 , 0.32407994431545273 0.7667655560643234 , 0.4086703707788959 1.0694743945073564 
0.1675570364712232 -0.23665397054770154 , 0.3227057710404304 0.7680512727384676 , 0.41343345991353864 1.0723812251970382 
0.1641929938892111 -0.24069732943243471 , 0.32156287961357843 0.7700673514536369 , 0.4179403939224027 1.0744085053666022 
0.1608539181454056 -0.2445933180824598 , 0.32066292508339234 0.7728032548774985 , 0.4221794241963943 1.0755685905927657 
0.1575399016380898 -0.2483437494823807 , 0.3200194827438498 0.7762553712084432 , 0.4261368830432526 1.0758669056617418 
