0.961018036882688 0.4940690054444684 , 0.9914285485299661 0.17984741980501284 , 0.1304052412141794 0.013466545950607589 
0.9702329888609182 0.48669866654239685 , 0.9791353148347902 0.17611612354154313 , 0.13348352293112503 0.02456818111614889 
0.979379288584699 0.4783831665317421 , 0.9666857871694857 0.17325451233119452 , 0.1367867508726488 0.03574529233715221 
0.9883912077831442 0.4690976591456743 , 0.9541380015785602 0.17128979057693197 , 0.14032261726512923 0.046995521477482545 
0.9971964695979922 0.45881962482446503 , 0.9415560701752005 0.17024696865550315 , 0.14409928685364093 0.058316377720120646 
1.005715526535104 0.447529951467504 , 0.929010875883151 0.17014778713039452 , 0.14812542420857858 0.0697052326021903 
1.0138609112922854 0.43521433306367224 , 0.9165806950472822 0.17100932266709362 , 0.152410220287266 0.081159315469323 
1.0215367483619866 0.4218650363560361 , 0.9043516611552548 0.17284222552719264 , 0.15696341710959233 0.09267570931686012 
1.0286385511656346 0.4074830721241626 , 0.8924179464033795 0.1756485522539351 , 0.16179532905781968 0.10425134682199112 
1.0350534715821604 0.39208077635708805 , 0.8808814960976943 0.17941918873350235 , 0.16691685894697902 0.11588300610949846 
1.0406612095713876 0.37568474959494746 , 0.8698511103651333 0.18413091619923277 , 0.1723395066903129 0.12756730540590863 
1.0453358171422524 0.35833901308217037 , 0.8594406412870835 0.18974326291556326 , 0.17807536819749772 0.13930069520235527 
1.0489486221247573 0.3401081167635803 , 0.8497660822771856 0.19619540856756787 , 0.18413712222489076 0.15107944586894073 
1.0513724254898298 0.32107978819876626 , 0.8409413977306688 0.20340355510937683 , 0.19053800340633514 0.16289962789194584 
1.0524869650420587 0.3013665760197436 , 0.8330731008089666 0.21125931402353035 , 0.19729176077580848 0.17475708115681496 
1.0521853797741034 0.2811058741859624 , 0.8262538440459587 0.2196297278458173 , 0.20441260280677165 0.1866473691683092 
1.0503810848477355 0.2604577857858816 , 0.8205556095695933 0.22835947138377358 , 0.21191513220950503 0.19856571403043374 
1.047014164301847 0.23960055167945754 , 0.8160233862673388 0.23727551089636428 , 0.21981427605764808 0.2105069086242671 
1.0420562366672619 0.21872371977679667 , 0.812670371335512 0.24619404762404032 , 0.22812521862405993 0.22246520379925194 
1.0355128647178438 0.19801975817841402 , 0.810475617027369 0.2549290426659583 , 0.23686334488162103 0.23443417035571665 
1.0274229918479827 0.1776752361406958 , 0.8093846333065885 0.26330119736528934 , 0.24604420147226266 0.2464065376941038 
1.0178554860551259 0.15786283513570182 , 0.8093128614975227 0.2711461234126319 , 0.2556834790741854 0.25837401265175525 
1.0069034512045474 0.13873524263584203 , 0.8101513593324935 0.2783206458037985 , 0.26579701608979317 0.2703270827604484 
0.994677324936415 0.12042151128089096 , 0.8117736823041127 0.2847066521348981 , 0.27640081938630623 0.2822548077842999 
0.9812978343343379 0.10302592346682442 , 0.8140428979292081 0.29021244556308357 , 0.2875110943632879 0.294144602170181 
0.9668896720885372 0.0866289676565675 , 0.816817880104967 0.294771994097997 , 0.29914427443332986 0.30598200944552456 
0.9515764175804493 0.07128980248437139 , 0.8199583699160309 0.2983427005710231 , 0.31131703913035386 0.3177504681446946 
0.935476891293104 0.057049553031236086 , 0.8233286251511456 0.30090235026991474 , 0.32404631018258456 0.3294310678989382 
0.9187028791656277 0.04393488493127338 , 0.8267997319218277 0.30244579223275153 , 0.33734921553937885 0.3410022940360642 
0.9013580193120058 0.031961459236013595 , 0.8302507952099292 0.3029817525912525 , 0.3512430121048993 0.35243975937282307 
0.8835375908360505 0.02113702667555256 , 0.833569277265803 0.3025300218178943 , 0.3657449585249806 0.3637159227066423 
0.8653289520123039 0.011464044185651787 , 0.836650744971384 0.30111913236869503 , 0.38087212964314626 0.37479979464574237 
0.8468124129955388 0.002941781381316148 , 0.8393982495341399 0.2987845571323364 , 0.39664116409715555 0.38565663268643663 
0.8280623750542649 -0.004432065368976014 , 0.8417215157216444 0.29556740784398494 , 0.41306793585092483 0.3962476287250803 
0.8091486117612589 -0.01066020913130876 , 0.8435360758542072 0.2915135868841468 , 0.4301671390113682 0.4065295934472512 
0.7901376022363864 -0.015745008177602028 , 0.8447624517533759 0.28667333594022193 , 0.44795177263707187 0.4164546434374694 
0.7710938514587689 -0.019688050281511014 , 0.845325467400688 0.2811011225190779 , 0.4664325077673773 0.42596989896252246 
0.7520811493190203 -0.02249003673265055 , 0.8451537654597586 0.27485580347230876 , 0.4856169118480553 0.43501720446043113 
0.7331637311126636 -0.024150918714959658 , 0.8441795998817839 0.2680009977509323 , 0.5055084956323865 0.44353289216411673 
