0.21590422464550119 0.3201726640006013 , 0.5109167998400792 0.5603058863632951 , 0.5266537865426988 0.5397278909911829 
0.21550168766793654 0.3297101497285204 , 0.5042299326595422 0.560280633110707 , 0.5337431907008005 0.530215658515852 
0.21615370969313535 0.3399988065772299 , 0.4993381212402556 0.5574912918382816 , 0.5379829800948882 0.5227163429395678 
0.21793241773088057 0.3510383766677209 , 0.496590147139763 0.5518463986308763 , 0.5389522461576356 0.5173216660564822 
0.2209280420396905 0.36283163423285797 , 0.4960959513483228 0.5434299978858629 , 0.5364508176402659 0.5139448092363585 
0.22525466446214518 0.37538226009741227 , 0.4978140587534112 0.5324596108765556 , 0.5304060878127228 0.5123645703811116 
0.23105622467710485 0.38869153145237917 , 0.501428923917834 0.5194158092683377 , 0.5209896624333403 0.5120991006343625 
0.23851280329596888 0.40275457186410596 , 0.5060259687525268 0.5052735124177272 , 0.5089360389797835 0.5121783570732462 
0.2478489492575547 0.41755765870313094 , 0.5099540760529122 0.4914489790363915 , 0.4956717857178123 0.511199803615557 
0.259350094874063 0.43307580899924125 , 0.5114988337471101 0.47913309463497766 , 0.482625882407106 0.5079975377208604 
0.27339485111121875 0.4492623831205716 , 0.509541761465297 0.46888660460976356 , 0.47053819845176353 0.5020574536247442 
0.2905069356350244 0.4660140312002834 , 0.5034460717828442 0.46086407067272667 , 0.4595218036104107 0.4933283394820693 
0.31142176383397546 0.4830765816940281 , 0.49274689500771107 0.45507553320100047 , 0.4493061521865927 0.48205432646005075 
0.337114131602152 0.4998115402038186 , 0.47699432191302915 0.45149802097463193 , 0.4393663575130981 0.4688968801766288 
0.36852522838193547 0.5147118127850961 , 0.45582053625025976 0.4501399952033934 , 0.429129046396084 0.4553546333665899 
0.40533783827365444 0.5249723188751291 , 0.42953455908614185 0.4512580113509314 , 0.4186024136684829 0.44397611112901897 
0.44395650102260303 0.5278562480017113 , 0.4009896459461522 0.4553019787670578 , 0.408528664059524 0.4370482145863104 
0.47935447525430447 0.5241639376006916 , 0.3750763493701462 0.4608641200800382 , 0.39904398640382854 0.43517838367434974 
0.5099841800045829 0.516519441256521 , 0.35383293664027776 0.4658820154355776 , 0.3896576943834186 0.4378049846629809 
0.5361754283713839 0.5066967575297785 , 0.337489272404101 0.46949603975797105 , 0.3798101102527943 0.44401364406733007 
0.5585547875742477 0.49571605360820664 , 0.32592784231710153 0.47159790361023607 , 0.36899218113692994 0.4528924841366369 
0.5777048008608333 0.4841786041345336 , 0.3189740852065557 0.47245896181979735 , 0.3567959249608902 0.46356887540074865 
0.5941130883764514 0.472443397505238 , 0.3162924459054057 0.472654806934782 , 0.3430692767464221 0.47510823691505955 
0.608170136002151 0.46072251473487946 , 0.3171014981619957 0.4730707829076292 , 0.3282031768641326 0.4864131437125709 
0.6201774371362541 0.4491405790235491 , 0.31996841890687633 0.47472063829734434 , 0.3133289549851489 0.4963452240341861 
0.630362074371756 0.4377746381471239 , 0.3231576264429818 0.47829703427318676 , 0.29995511021354154 0.5041347689347688 
0.6388961414736279 0.426678853425071 , 0.3252808150586752 0.48393415886415364 , 0.28929785449597617 0.5095934290658548 
0.6459154563298417 0.41589640979803993 , 0.32549141884793026 0.4913812251446628 , 0.28206793585050727 0.5129288064123767 
0.6515327778682218 0.40546338115353764 , 0.3233248740278702 0.5002129523355712 , 0.2786171591321872 0.5145301078659706 
0.6558448612875971 0.3954093429705268 , 0.31856989099245037 0.5098965606699691 , 0.2790600587482317 0.5149005377145834 
0.6589349446843656 0.3857577063352078 , 0.31131292458907284 0.5197552981288458 , 0.2832269417548407 0.5146934368910259 
0.660872698263438 0.37652713890574896 , 0.30216423151190286 0.528930483170174 , 0.2904378812529383 0.5147488192791565 
0.6617137064383166 0.36773429107182903 , 0.29245069301012133 0.5365226493592435 , 0.2993104115798411 0.5159495009240069 
0.6615004801085262 0.35939690519054646 , 0.28388250664840287 0.5419636812907422 , 0.3080918242713499 0.5188458548737909 
0.6602656901718068 0.35153563443057817 , 0.27784974744933216 0.5452056589167826 , 0.31535937340714004 0.5234651480077187 
0.6580360119362862 0.3441738650608159 , 0.27516233159788195 0.5465414871670438 , 0.3202764674941108 0.5294910891272199 
0.6548346191696595 0.33733647019571356 , 0.2762076855271559 0.5464008789322056 , 0.3224325063314637 0.5364690922271604 
0.6506817474180229 0.33104877770347935 , 0.28110130627052987 0.5452874504826303 , 0.3216917573397264 0.5438702131689699 
0.6455937445282306 0.32533660130348235 , 0.28966073361951133 0.5438076246363737 , 0.31822033288053714 0.5510622154152236 
0.6395814195630426 0.3202277245540333 , 0.3011902330433899 0.5426922210683125 , 0.3127031584218466 0.5572864957327338 
0.6326487753683893 0.31575467071643326 , 0.3142800581256941 0.5426572347709162 , 0.3065459775341957 0.5617945358677302 
0.624793281442101 0.3119576512550413 , 0.3271278736884447 0.5440745906005404 , 0.3015536558977334 0.5641741994994979 
0.6160078019144201 0.3088860355709013 , 0.33827629965617684 0.5468306219462615 , 0.2991907094576822 0.5644897838379167 
0.6062825966263423 0.30659803430839777 , 0.34690029786599513 0.5505208661900296 , 0.3002919165359416 0.563087540856652 
0.5956058209862494 0.3051600549650267 , 0.35263293561241854 0.5546467361864045 , 0.3052360544296112 0.5603996502036482 
0.5839622299209992 0.3046474163310993 , 0.35539321042300503 0.5586708771347765 , 0.3141193706842749 0.5568881478892037 
0.5713307253344521 0.3051476744697742 , 0.35540133641384264 0.5619914909028447 , 0.3267427492799845 0.5530672759824605 
0.557682013381639 0.3067674607930985 , 0.3533944946505192 0.5639296396865215 , 0.342398302996121 0.5495093408754594 
0.5429783650912393 0.3096430110662402 , 0.3508449772701788 0.5638585622052045 , 0.3596514686668611 0.5467048680836348 
0.5271775390216918 0.31395281112646045 , 0.3496449478433753 0.56148110159111 , 0.37665232416321215 0.5447725286375091 
0.5102404755991538 0.3199299823271637 , 0.35132186156341133 0.5569059376746961 , 0.39191247386571415 0.5433705213532198 
0.49213973362830554 0.3278761930793036 , 0.3567280795143764 0.5504215113059259 , 0.4046069978855973 0.5419087369698501 
0.4728683510634644 0.33818516268367455 , 0.3662398018460799 0.5422936545280415 , 0.41436665811873497 0.5397276241433635 
0.45245746888599125 0.35138823604978997 , 0.3799435911291269 0.5326883574222167 , 0.42107375101316113 0.5361298478830729 
0.43103228062418764 0.3682363654748867 , 0.39758268615161985 0.5216377507690783 , 0.4248598442524718 0.5303323251111147 
0.4089993085415604 0.38980522644015914 , 0.4181640721797716 0.5089814446298883 , 0.4263114303069473 0.5214197702850323 
0.3875855812338236 0.4173897182869999 , 0.4392917651418732 0.49438014332265395 , 0.4265974646525826 0.5084365797454259 
0.36960901846382493 0.45127406571257966 , 0.45717724554873723 0.4780773022219592 , 0.4266885470157172 0.49085507342054086 
0.35830705560504783 0.48842631720217144 , 0.46894079779633074 0.4617930788430311 , 0.42622695762690077 0.46998704530987717 
0.35390185793712803 0.5238040583307222 , 0.4742281984331264 0.44690681283738265 , 0.4253447546580249 0.44949557018697495 
0.3541795296497644 0.5552218830501934 , 0.47370273133230434 0.4336594892363055 , 0.42559255004621055 0.431325069068581 
0.35734928137826677 0.5827334834193656 , 0.46811097305484844 0.42181597178272073 , 0.4280145565951641 0.41565698615299357 
0.362361998776445 0.606842874854837 , 0.4582807964509077 0.41100481243281556 , 0.4328320158009266 0.4023587540674274 
0.36859027541044304 0.6280225126650001 , 0.44546383454743754 0.40083332434841806 , 0.4394207010703987 0.39135060434166186 
0.3756308196219492 0.6466571721596864 , 0.43161573026599137 0.3910260489375222 , 0.4462282611403387 0.38252322025787144 
0.3832121363620783 0.6630585916162816 , 0.4189137601306229 0.38156637009810623 , 0.45134891453557807 0.3755814796406924 
0.39114910731619584 0.677478897201481 , 0.40885876144198396 0.37262780596432016 , 0.4534669422700995 0.37009973818927905 
0.39931415273655047 0.6901186423614462 , 0.402145418970916 0.36441573188416504 , 0.45201523932081283 0.36567206710946915 
0.4076163009840573 0.7011349696243759 , 0.3989982093068074 0.3571171081106495 , 0.44686030073741456 0.3619543636200549 
0.4159868609826233 0.7106506620695475 , 0.3993722689130899 0.35091998765298243 , 0.43811568113256616 0.35863579163255044 
0.4243705048772376 0.7187628796526317 , 0.40289509188126527 0.34603268362105355 , 0.4262092142697765 0.35541087808139515 
0.4327203907635978 0.725550728568245 , 0.4085819113694 0.3426464246882612 , 0.41217250889528156 0.35200928809857435 
0.4409961621366035 0.7310809509063699 , 0.414661171212866 0.34079685850183616 , 0.39781747767880987 0.3483286319468744 
0.44916340641996455 0.735410851842664 , 0.41917856691237304 0.34025656042016816 , 0.38513283769594175 0.3445390290922484 
0.45719280784214456 0.7385886169244119 , 0.4208588465737247 0.34065743425347694 , 0.3754231566124101 0.3409603901771917 
0.46505832834152777 0.7406528926472039 , 0.41916238327706107 0.34165055088326013 , 0.36925409940969056 0.3379029978246165 
0.47273510279789066 0.7416330824591 , 0.41396159413328076 0.3429384065348639 , 0.366778114097108 0.33563495236111673 
0.4801977578101427 0.741550484852671 , 0.4053754343328411 0.34424645487033406 , 0.3679016188852956 0.3344095016320755 
0.4874194820135416 0.7404199024787513 , 0.39385461786219844 0.34530696385899234 , 0.37220071115253933 0.33447957501733694 
0.49437197880306033 0.7382512515018472 , 0.38047368678688437 0.3459137228480124 , 0.37862914543833465 0.3360414670052211 
0.5010261367336034 0.7350505176538633 , 0.3670641379607663 0.3460753120023748 , 0.38538453633390957 0.3390806116988427 
0.5073525518929184 0.7308194340127051 , 0.3555623336569585 0.3460884804790084 , 0.3905599254784024 0.34329852686336726 
0.5133207712660743 0.7255541958426882 , 0.3471973457587291 0.3463666717669406 , 0.39295669400347577 0.34828557374545205 
0.5188972814160215 0.719244375020547 , 0.3424864018118109 0.3472799491113348 , 0.39209112780044675 0.35368211722319903 
0.5240431171005155 0.7118726401234581 , 0.3415562050078513 0.34914043599098193 , 0.38787548891991236 0.3591933652406409 
0.5287117172518897 0.7034151490556412 , 0.344293308147364 0.35223870854530437 , 0.38046978562902556 0.36455258375413535 
0.5328473490084823 0.693842178178835 , 0.35024851256986417 0.35685369741191364 , 0.3703789494499328 0.3695105657643324 
0.5363842290875098 0.6831182279219183 , 0.358351142107108 0.3631763489779415 , 0.3587394398336614 0.37391186445522123 
0.5392458147702778 0.671200470289098 , 0.36681754453024334 0.37113937656966345 , 0.3474114517277581 0.3778665944963196 
0.5413423511991413 0.6580350075234074 , 0.37382881952618285 0.380376582130869 , 0.3383036403029551 0.3817948517008047 
0.5425644117130437 0.6435524791981391 , 0.37829713924636177 0.3904429608897846 , 0.3326132600688738 0.3862110012671574 
0.5427719249409118 0.6276652483079084 , 0.37984665380167204 0.400979561486144 , 0.3308562322856955 0.39156163156102874 
0.5417788612320871 0.6102671940823966 , 0.37851081418325594 0.4117107420213456 , 0.3331851356129362 0.39822850525133896 
0.53933273969012 0.5912367758348985 , 0.37460429449171034 0.4223920148155121 , 0.3395377768464489 0.40657765070467056 
0.535086767437319 0.5704441843183881 , 0.3688262333825929 0.43279145887643733 , 0.3495618102083673 0.41697079816025584 
0.5285589183293603 0.5477630776481717 , 0.36252330244449954 0.44276813076037336 , 0.36239259025441933 0.42967523294653615 
0.5190615141047878 0.5230929921727248 , 0.35775772056860633 0.4524486972544237 , 0.37665557635488506 0.4446647519279327 
0.5055737978776613 0.49644434502815804 , 0.3567117142462065 0.4622478616349311 , 0.39118929890441145 0.46151423469199204 
0.48662065978387764 0.4683117876598999 , 0.36102517222750524 0.4725470498464519 , 0.4058289790168964 0.47934760384872943 
0.4608746223745038 0.44079518788153793 , 0.37175634209377134 0.4832578784586263 , 0.4208438465600041 0.4961533750149171 
0.42966295096430224 0.4179255528657811 , 0.389180192425287 0.49335265319665284 , 0.43463166763869 0.5089282352926474 
