0.42541031855987443 0.6232894388101966 , 0.42837868116426125 0.11534039935066642 , 0.6679828732724715 0.2807208861760543 
0.41906891359699133 0.6317252654086981 , 0.43329437359889283 0.10679500312564831 , 0.669408585800723 0.28083045580257093 
0.4130257697348041 0.639412433176827 , 0.4389940866300482 0.09917800554053482 , 0.669752016631755 0.2807602856195554 
0.4072757580945439 0.6463872265386036 , 0.4454513180842726 0.09249404037288612 , 0.6690447968177908 0.28046945742542756 
0.4018143892306041 0.6526797533049603 , 0.45264695306988856 0.08675723369581688 , 0.6673105306961147 0.27991373733614006 
0.3966377625330779 0.6583149579720426 , 0.4605682745518066 0.08199192552248011 , 0.6645658359117228 0.27904384084239453 
0.3917425025065309 0.6633134043377052 , 0.46920820017719284 0.07823395045028068 , 0.6608211703128836 0.2778033695489313 
0.3871256855686934 0.6676918897958093 , 0.47856462519337334 0.07553262105997202 , 0.6560815622345406 0.2761262134811359 
0.38278475829741393 0.6714639370829825 , 0.48863972386864196 0.07395364945933774 , 0.6503473908305515 0.27393313779459705 
0.3787174465150468 0.6746401988811314 , 0.49943897880741556 0.07358337595314764 , 0.643615447674145 0.2711271495026383 
0.37492165392609106 0.6772288047579054 , 0.5109695175192268 0.07453487082429786 , 0.6358807015512895 0.267587048754714 
0.3713953493080567 0.679235677519646 , 0.5232369186669596 0.07695675358388446 , 0.627139605021591 0.26315829323338685 
0.36813644308533133 0.6806648467287088 , 0.5362387251690652 0.08104590168577308 , 0.6173967047422108 0.2576399759224355 
0.3651426589332978 0.6815187906505372 , 0.5499507982109928 0.08706531516378949 , 0.6066784158523167 0.25076661852259063 
0.3624114169983091 0.6817988434502753 , 0.564297803510279 0.09536692979448941 , 0.5950626524880193 0.24218495109215266 
0.35993976892956847 0.6815057084625089 , 0.5790884177468176 0.10641068573767552 , 0.5827436863202212 0.23143433013673295 
0.35772447384930584 0.680640107127691 , 0.5938776310923948 0.12073613141196611 , 0.5701697680549067 0.21797448579726028 
0.3557623953177226 0.6792035215400566 , 0.607728626763048 0.13873472202035 , 0.5582808509158368 0.2014124807765108 
0.3540515037440631 0.677198744101548 , 0.6191055342748687 0.1599693700640642 , 0.5486148349776756 0.1821826101713052 
0.35259258787902753 0.6746294936053643 , 0.6266869930445522 0.18261151580389284 , 0.5424922920730276 0.1621097149276603 
0.3513908102127226 0.6714986108826377 , 0.6304879680454248 0.20463162588324676 , 0.5398930947384599 0.14322048757103292 
0.35045595072429453 0.6678060888026685 , 0.6313436016470345 0.22504303526508668 , 0.5399723206252783 0.12650160026916232 
0.3498018145913588 0.6635481270336795 , 0.63007054959655 0.24364898671895796 , 0.5418995088086986 0.11215361058427997 
0.3494456856158849 0.6587168989359715 , 0.6272490891783653 0.2605603662723737 , 0.5450770982023572 0.10007345912857218 
0.3494080909713189 0.6533005040006873 , 0.6232619399869332 0.2759674901157691 , 0.5491018420383552 0.0900827302204611 
0.3497128625267795 0.6472828569731169 , 0.618359951784707 0.2900626660356228 , 0.5536990586851208 0.08200520132817771 
0.35038745313579134 0.6406434206247134 , 0.6127090146667923 0.30301943510971036 , 0.5586754051940237 0.07568786860249375 
0.3514634983233378 0.633356735599042 , 0.6064191221030784 0.31499043159939744 , 0.5638892525701912 0.07100355713847799 
0.35297765266704334 0.6253917002200593 , 0.59956177783404 0.3261107841215849 , 0.5692324424955241 0.06784823999527331 
0.354972773000614 0.6167105306621268 , 0.5921802370717607 0.33650285414638437 , 0.5746188629242327 0.06613733952840645 
0.3574995763491413 0.6072672915782665 , 0.5842952153850768 0.34628113070945893 , 0.5799770812623893 0.0658023020491922 
0.3606189845258721 0.5970058226137038 , 0.5759074611452338 0.3555571503291696 , 0.5852454273255014 0.0667877513940442 
0.3644055056790771 0.5858567811366537 , 0.5669977824441991 0.36444472492272895 , 0.5903685848733312 0.06904921827753502 
0.3689522443250451 0.5737333459985302 , 0.5575245005073898 0.37306601450897686 , 0.5952951281641724 0.07255136382941069 
0.37437857061644936 0.5605248283675855 , 0.5474176480279277 0.38155928004594203 , 0.5999756543522302 0.07726661592339017 
0.3808423059661496 0.5460869311851367 , 0.536568283749803 0.39008962628729443 , 0.6043612832806546 0.08317416686448662 
0.38855985175682534 0.5302266255973083 , 0.5248096627318989 0.39886476719867947 , 0.608402358507883 0.09025933154093005 
0.3978404490149061 0.512678995584387 , 0.5118842243412067 0.40815837793556264 , 0.6120471996404945 0.09851335081696813 
0.4091432341747798 0.4930771700639454 , 0.4973879227784459 0.4183396595695793 , 0.6152407160433816 0.1079338947033931 
0.4231446210732783 0.47095578107903924 , 0.48070470585748276 0.42986803279972086 , 0.6179225460658462 0.11852691045815775 
0.44055146328000866 0.4461047270968375 , 0.4611964136415344 0.4429345429702754 , 0.6200239960750642 0.13031145426980492 
0.4602303402752332 0.4203657624586168 , 0.4400793187827784 0.45565357649128074 , 0.6214622139385957 0.1433313853870203 
