0.8363755848709598 0.8539890384825567 , 0.36105740483759907 0.1833954978453024 , 0.4564958377392787 0.8136825434088453 
0.8301142305522538 0.8421030603586125 , 0.3641280319557418 0.1982444953111644 , 0.459686564939842 0.8107195240669275 
0.823112955859844 0.8300368195280028 , 0.3673279123580675 0.21346615895459012 , 0.4634879592299261 0.8075641012541115 
0.8153253529711725 0.8177942375598861 , 0.37066872724304345 0.22908282175224756 , 0.4679347472336217 0.8041900204245708 
0.8066961966830004 0.8053802647605538 , 0.3741642216295213 0.24511963544441756 , 0.4730684091353159 0.8005671795317331 
0.7971592056668912 0.7928015160961671 , 0.377830711542757 0.2616051128901306 , 0.4789389102381893 0.7966604507504067 
0.78663399246767 0.780067250905984 , 0.3816877565311336 0.27857181254261626 , 0.48560707844903395 0.7924280162881042 
0.7750218300884872 0.767190930291719 , 0.3857590660038093 0.2960572136625271 , 0.49314793135554097 0.7878189357824584 
0.7621996602912136 0.75419277974938 , 0.3900737428294109 0.31410485214207523 , 0.5016554243272131 0.7827694478452493 
0.7480114547300852 0.7411041739879792 , 0.3946680240030759 0.33276581998942967 , 0.5112493487146764 0.7771970857592957 
0.7322555991280065 0.7279754827259057 , 0.3995877712764221 0.35210078539741085 , 0.5220854570434089 0.770990811613388 
0.7146665886282514 0.7148908363289184 , 0.40489212184296314 0.37218278237357355 , 0.5343701169766231 0.7639934610342126 
0.6948903170685011 0.7019974395671614 , 0.410658978914424 0.3931011868253159 , 0.5483795314649125 0.7559684533442271 
0.6724618090477144 0.6895663127210849 , 0.4169934829283407 0.41496762793438663 , 0.5644735354717825 0.7465331390812329 
0.6468492018230132 0.678114920330822 , 0.4240413380204104 0.4379252974371469 , 0.5830382876044139 0.7350268619687355 
0.6178805495885726 0.6685646979188081 , 0.432009677701663 0.4621647133430627 , 0.6040386001576018 0.7203376684748336 
0.587241609334335 0.6617573416628901 , 0.4411972200713815 0.4879518690089226 , 0.6254899980421209 0.7013578690648916 
0.5582171874544694 0.6564735439252404 , 0.45202969052227393 0.5156745299442255 , 0.6436819494710941 0.6789190058672385 
0.5315147207046841 0.6504444555879947 , 0.465100737513906 0.545908242385402 , 0.6573133692292473 0.6547143817633077 
0.5061936133612002 0.6419264007263232 , 0.48116698642026207 0.5794971104109192 , 0.6665682276663751 0.6296435685994619 
0.4818032770100291 0.6296608205524449 , 0.500489129165803 0.6171466145028939 , 0.6716364212720053 0.6042596446813655 
0.46103035950945925 0.6159812475729194 , 0.5202596005667486 0.6557938463875936 , 0.6726388673716296 0.5792919857761911 
0.4450431762559462 0.6041728287009006 , 0.5388088429414386 0.6913034408322832 , 0.6700768082504526 0.5555908102035203 
0.43266704427075975 0.5940903161979086 , 0.5565160145202684 0.7233884412088215 , 0.6647457686568091 0.533588322329974 
0.42304961677629077 0.5851621061593536 , 0.5735673401769789 0.7526062399163338 , 0.6573118704945676 0.5132987336610167 
0.41570256774317127 0.5769660810787267 , 0.5900256706029807 0.7795221313727123 , 0.6482005891016853 0.4945788672852651 
0.4103389246690009 0.5692050271372271 , 0.6059336387954363 0.8045864481041592 , 0.6376562639834003 0.4772756044953178 
0.40678546382010705 0.5616541715497926 , 0.6213336871779482 0.8281394436363572 , 0.6258096764497821 0.4612734645505544 
0.40493966598733816 0.5541263062543613 , 0.6362680838826685 0.8504368300837449 , 0.6127210775778307 0.44650394339859795 
0.4047478156611366 0.5464487557881867 , 0.6507769378523294 0.8716729027304757 , 0.5984040739343713 0.43294542121804175 
0.40619337972964986 0.5384456409931864 , 0.6648971025360689 0.8919977353989564 , 0.5828383451821185 0.4206237033445614 
0.4092903529433982 0.5299208457986656 , 0.678661894464301 0.9115293135562421 , 0.5659765800401381 0.40961692038179653 
0.4140779723096644 0.5206378072160632 , 0.6921012567278024 0.9303620241698899 , 0.5477495984103705 0.40006724835075114 
0.4206120472323966 0.510291901053658 , 0.7052421162242462 0.9485726527497711 , 0.5280746639911946 0.3922025259332752 
0.42894215862471835 0.4984709533315845 , 0.7181087994486591 0.9662246996746409 , 0.5068778693744599 0.3863714267304789 
0.4390458124221473 0.4846050788883295 , 0.7307234371758171 0.983371569824956 , 0.484159577849873 0.3830904310234188 
0.45064517746823485 0.46794646364276954 , 0.743106311230653 1.0000590141121113 , 0.4601773387489496 0.3830616019818234 
0.4627890942613283 0.44778455232079345 , 0.7552760775048742 1.0163270714004526 , 0.4358636556816348 0.38695545601545805 
0.4734868233230338 0.4243214264739135 , 0.7672497377709793 1.0322115894442176 , 0.41319226635382433 0.3945340638185729 
0.4808318156635549 0.39934749861386115 , 0.7790422671056518 1.0477450933709185 , 0.3940547446786307 0.4039744877519245 
0.48452460791354435 0.37474579773277467 , 0.7906662797809403 1.062956799469173 , 0.3787379397533528 0.41336448253475633 
0.48519045981687 0.3514314683915233 , 0.8021322411069045 1.0778724365159145 , 0.366606126524063 0.42176317482926623 
0.4835183617896131 0.329683130615227 , 0.8134489696981633 1.0925144205418957 , 0.3569614959600611 0.42886952857958127 
0.48003840818323734 0.3095257797431375 , 0.8246240883414249 1.106902258816781 , 0.3492663309231752 0.43463904117678553 
0.4751307561012308 0.29090293910527193 , 0.8356643453250665 1.1210529922800803 , 0.3431337260215401 0.43911114835135184 
0.46906826050372386 0.27374034880242704 , 0.8465758304226034 1.134981594669346 , 0.33828473652151014 0.4423451362649311 
0.4620510067370584 0.2579680188105692 , 0.8573641200126553 1.148701308793985 , 0.33451370069812375 0.44439775213215005 
0.4542297252262539 0.24352720049194276 , 0.8680343766620648 1.1622239230408558 , 0.3316647255595187 0.44531595620390574 
0.44572117376514325 0.23037201704509522 , 0.8785914194630234 1.1755599972789366 , 0.3296162342196707 0.44513506541267256 
0.436618348879736 0.21846933821297954 , 0.8890397752692537 1.1887190476847211 , 0.32827070329884767 0.44387869383900375 
0.42699745372903564 0.20779824448731965 , 0.8993837171502327 1.2017096987052702 , 0.32754765656856905 0.44155913654411455 
0.41692284118464545 0.19834959639033742 , 0.9096272940489228 1.2145398088100614 , 0.3273786922142691 0.4381776745363057 
0.4064507078814159 0.1901259172793467 , 0.9197743542000296 1.2272165752853172 , 0.3277037653663919 0.4337245871720406 
0.3956320579328115 0.18314169341387201 , 0.929828563978827 1.2397466221882472 , 0.32846820553619893 0.42817876413458533 
0.384515319059286 0.17742417426507326 , 0.9397934232883212 1.2521360746880952 , 0.32962008510023016 0.4215068307835361 
0.3731489436658315 0.17301477495454728 , 0.949672278226047 1.264390622332613 , 0.33110760555595875 0.4136616824495443 
0.3615843528692829 0.16997122489437025 , 0.9594683315231384 1.2765155732480125 , 0.33287614305541596 0.4045802815943219 
0.3498796979056215 0.16837066388953428 , 0.9691846510683594 1.2885159008692424 , 0.3348644784738564 0.394180514977928 
0.33810517125306894 0.16831394293799065 , 0.97882417668481 1.3003962844736934 , 0.3369994795099583 0.38235685232502054 
0.32635111178442294 0.16993138396595067 , 0.9883897251895397 1.3121611445268844 , 0.3391879904738746 0.3689745512438695 
0.3147411448851777 0.17338998962146127 , 0.9978839936071057 1.3238146736129206 , 0.3413036889555539 0.3538624165023226 
0.30345451589400313 0.17890089330480866 , 1.007309560186814 1.335360863471203 , 0.34316475136701996 0.33680532296069265 
0.2927652322039686 0.1867214387332074 , 1.0166688825253682 1.3468035283080622 , 0.34449471271850024 0.31754211269543475 
0.2831101156817923 0.19713130954362332 , 1.0259642915225218 1.3581463239023115 , 0.3448544202435229 0.2957894462907696 
0.27519208680775437 0.21031580243269907 , 1.035197979016541 1.369392760617939 , 0.3435387616235415 0.27135851668606625 
0.27004130287024253 0.2259897129672111 , 1.044371976180256 1.38054620536769 , 0.33951554839733855 0.24453116140180325 
0.2686372594479926 0.24269857231426004 , 1.0534881223877268 1.391609862662496 , 0.33180344561211744 0.21675864475994824 
0.27081972867068316 0.25798878460850105 , 1.0625480404360717 1.4025867280814288 , 0.3205610583410822 0.19049156704677445 
0.27526950927500593 0.27028401638052735 , 1.0715531554147888 1.4134795439942165 , 0.30710616275804237 0.16730351936196056 
0.2807500948805392 0.2793814235918577 , 1.0805047555209375 1.4242908053023822 , 0.29267397704636045 0.14739485084246462 
0.2865203938928045 0.2856361866381812 , 1.0894040486966512 1.435022801387612 , 0.2780043848583815 0.13040809171091128 
0.29218476957592215 0.2894746003235842 , 1.098252197222169 1.4456776607800872 , 0.263491860649746 0.11591481863303306 
0.29753141762499863 0.2912592710825134 , 1.1070503355595973 1.4562573865477884 , 0.24934707426324118 0.10355042210640274 
0.3024415943054598 0.2912744711872784 , 1.1157995785969832 1.4667638821292757 , 0.23568765454539406 0.09302872642015038 
0.3068438415041695 0.2897390785531057 , 1.1245010247673148 1.4771989698375152 , 0.22258396117635265 0.08412903134608361 
0.31069078815909723 0.2868218865861841 , 1.1331557564905594 1.4875644041163285 , 0.21008228279818034 0.07668078903419182 
0.31394690974208217 0.28265398124677615 , 1.141764839255401 1.4978618810815771 , 0.19821707845035388 0.07055121740835114 
0.316581686322915 0.2773378783071691 , 1.1503293200568379 1.5080930454145667 , 0.1870178210680842 0.06563615601496875 
0.31856547229534543 0.27095410761245237 , 1.158850225583625 1.5182594953462163 , 0.1765131295688666 0.06185347677803585 
0.3198667236843989 0.26356595198538296 , 1.1673285603718373 1.5283627862467781 , 0.16673354339160082 0.059138341504543335 
0.32044985470461623 0.2552228876366423 , 1.1757653050397656 1.538404433183564 , 0.15771366770345527 0.05743975891649804 
0.32027328981587266 0.24596312142023372 , 1.1841614146601993 1.5483859127036699 , 0.14949412297176506 0.05671804561280077 
0.3192874075050589 0.23581551371153003 , 1.1925178172905926 1.5583086640237267 , 0.14212360265218554 0.05694290200144765 
0.3174321100989782 0.2248011151027364 , 1.2008354126596508 1.5681740897535184 , 0.13566130468920812 0.058091874880449604 
0.3146337285333939 0.21293453044678223 , 1.2091150709948846 1.577983556237622 , 0.1301800279195586 0.06014899305229995 
0.3108008871409736 0.2002253666066718 , 1.2173576319663735 1.5877383935637874 , 0.12577030834049002 0.06310331956624506 
0.30581880193508587 0.18668015727279647 , 1.225563903715515 1.597439895254246 , 0.12254612179723613 0.06694702720966184 
0.29954125269065907 0.17230548032751422 , 1.2337346619331335 1.6070893176222807 , 0.12065291282404447 0.07167228178690928 
0.2917791691219825 0.1571137070949772 , 1.2418706489495064 1.6166878787361005 , 0.12027900937634821 0.07726549390562637 
0.28228458717449967 0.14113446818044742 , 1.249972572802846 1.6262367568785514 , 0.1216716674704914 0.0836958546777053 
0.2707295785812675 0.12443873154615674 , 1.2580411062723371 1.635737088315428 , 0.12515814259423236 0.09089125987511931 
0.256685511850907 0.10719110448587235 , 1.2660768859247775 1.64518996407958 , 0.1311664296721524 0.09868601117125182 
0.23963353378218857 0.08976316351618671 , 1.274080511407249 1.6545964253615393 , 0.14021478225839912 0.10670749085897818 
0.2191268311259798 0.07295029089791547 , 1.282052545722191 1.6639574571357245 , 0.15274945059966596 0.1141593317030642 
0.19538725700466839 0.058176481214053256 , 1.289993518415899 1.6732739806049477 , 0.1685480520272693 0.11961661791770321 
0.17012444963649886 0.04694491305562779 , 1.2979039350790287 1.6825468489069673 , 0.18590044273230924 0.1215753177741091 
0.14566891892404482 0.039485274774763116 , 1.3057842929899917 1.691776855562822 , 0.20247561553380028 0.11980494939911893 
0.1232853133835817 0.03495530170273539 , 1.313635092144487 1.7009647549746467 , 0.2170084219197681 0.11514702305932192 
0.10325632907909069 0.03244751458208442 , 1.3214568357043566 1.7101112798193057 , 0.22921566266438959 0.10850828533531391 
0.08547788022532365 0.03130925090916478 , 1.3292500254944308 1.7192171497202693 , 0.2392009217280823 0.10054067910726991 
0.06975386155132585 0.03110842408636478 , 1.3370151572156224 1.728283074239486 , 0.24715980868088852 0.09167558141085323 
