0.17041536831265147 0.1605122151939935 , 0.8399749257030872 0.1160337514795059 , 0.022756665772447948 0.2103657324142505 
0.17573188593712274 0.16341618103997652 , 0.8388967238602216 0.11502054346174605 , 0.018518349990842224 0.20847497458602735 
0.1790346744275653 0.1669439003112615 , 0.8374577971601834 0.1140394975059291 , 0.0166544882004379 0.2059283012705593 
0.1803563904105076 0.17098250904442733 , 0.8356555147567533 0.113092151365432 , 0.01713505462092575 0.20283703867789055 
0.1796668152783643 0.17543740336827696 , 0.8334873888801869 0.11218017956794334 , 0.019992755629635362 0.1992941161515296 
0.17686878453888122 0.18021905657835435 , 0.8309510955185917 0.11130532961448275 , 0.025327079730713666 0.1953873128949128 
0.1717872385061546 0.18522810360240052 , 0.8280444559862613 0.11046935231000114 , 0.03331526529577065 0.19121424317534821 
0.16415214068537481 0.1903319799615371 , 0.8247653669811655 0.10967392731525052 , 0.04422945212164623 0.18690579181096223 
0.15358603690800654 0.19531946359893787 , 0.8211116536297287 0.10892058736280241 , 0.0584492692504513 0.18267164812600958 
0.13965884936496528 0.1998045300610457 , 0.8170807963957176 0.10821065159665473 , 0.07640731402750364 0.17889651743004942 
0.12229111661156754 0.2030566259428168 , 0.812669442519346 0.10754519974266653 , 0.09818640065727302 0.17630987340226653 
0.10311351074839528 0.20405364439976634 , 0.8078725908694866 0.10692517710011089 , 0.12216085817030467 0.17593287758787263 
0.08574298733421493 0.2026371743212619 , 0.8026826295106481 0.10635178277825581 , 0.1447213429433236 0.17792274198823213 
0.07208320348009983 0.19971816845098894 , 0.7970891689053696 0.10582697879185253 , 0.16397458740271714 0.18136655184490838 
0.06217417885170899 0.19606276899685732 , 0.7910797349077339 0.10535364530253125 , 0.17989304602874376 0.18549528478836128 
0.05561628155544842 0.1921003380712068 , 0.7846403999495566 0.10493548735377062 , 0.1928902782831816 0.18987587366277245 
0.05203906219236154 0.18807108641537573 , 0.777756140780594 0.10457689795655042 , 0.20335175681523113 0.1942637147158237 
0.05117458810110682 0.18412461671198582 , 0.7704110092747186 0.10428282949791014 , 0.21156136241236115 0.1985042528778539 
0.052849484295263864 0.1803687975589051 , 0.7625881856857122 0.10405867507468067 , 0.21770928980721052 0.2024842264541641 
