0.7923902591884041 0.17490069147364562 , 0.5027028249576725 0.5276672421324955 , 0.6326523005256308 0.016946580148916923 
0.7886943325697368 0.17603438029485535 , 0.49928505471873974 0.5383240429200098 , 0.6397659973832309 0.005156090540192837 
0.7837478877173333 0.17638378147782893 , 0.4962182710984577 0.5483384003251767 , 0.6477792258559165 -0.00520766804794766 
0.777650186884624 0.1758764290070565 , 0.49348708370984745 0.5577378145191603 , 0.6566081140772361 -0.014099729771158817 
0.7704969803576865 0.17443194460401407 , 0.4910772604095534 0.566544542870699 , 0.6661711439044675 -0.021461973719655168 
0.7623855956176357 0.17195919353143294 , 0.488975294595393 0.5747767468482433 , 0.6763844944586787 -0.02722142662461832 
0.7534206906277335 0.16835357113544186 , 0.48716807141298596 0.5824494371272068 , 0.687156622630988 -0.0312884945075907 
0.7437213219432834 0.1634945022890369 , 0.4856426196534392 0.5895752839929088 , 0.6983814430749847 -0.033555272526887836 
0.7334301827298834 0.15724356302919623 , 0.48438594853299494 0.5961653357749225 , 0.7099292534088291 -0.0338943850490608 
0.7227261363968052 0.14944424441713763 , 0.48338497775485006 0.6022296675828251 , 0.7216342705200521 -0.032159398244904894 
0.7118413953996302 0.13992556209189919 , 0.4826265755428002 0.6077779628057884 , 0.7332774137292769 -0.0281890111426298 
0.7010844470231852 0.12851393473902478 , 0.4820977217944368 0.6128200086168991 , 0.7445632158540854 -0.021819429600866046 
0.6908678520869586 0.11506148327163956 , 0.48178580999724846 0.6173660633294946 , 0.7550917225875002 -0.012913032846076302 
0.6817333444697092 0.0995034418799096 , 0.48167908843027407 0.6214270294539889 , 0.764332951771724 -0.0014159575788405404 
0.6743505961758508 0.08195668918092423 , 0.48176721284176893 0.6250143484980755 , 0.7716275756540876 0.012543476076058274 
0.6694426056669033 0.06284685633417335 , 0.48204183297677006 0.6281395402915467 , 0.776260946028034 0.02852811712933788 
0.6675960426279948 0.04298279734824653 , 0.482497067209597 0.6308133765583213 , 0.7776522748341155 0.04571833984849021 
0.6690187709740458 0.023443424074622764 , 0.4831296738739635 0.6330448349622357 , 0.7755969398236979 0.06302625471819953 
0.6734425841294444 0.00527142101619546 , 0.48393879300635917 0.6348401564606168 , 0.7703640075359036 0.07940293627824588 
0.6802702915265497 -0.010798605021400533 , 0.48492532868689386 0.6362023246254979 , 0.7625497644582636 0.09411079415096071 
0.6888141604583136 -0.024399472114212607 , 0.4860911999942288 0.6371310441094511 , 0.7528400242191648 0.10678294175981952 
0.6984544591866939 -0.03543867043754157 , 0.4874386646142816 0.6376230665717415 , 0.7418522608707318 0.1173301176208581 
0.7086929259335285 -0.04398061940246316 , 0.4889698021294322 0.6376726699060206 , 0.7300826566087466 0.1258224632515006 
0.7191479333206493 -0.05016202764667585 , 0.4906861604600507 0.6372721629592377 , 0.7179112908910074 0.13240437844249614 
0.7295308091785561 -0.05414366105322903 , 0.4925885400369892 0.6364123556108704 , 0.7056260354561621 0.13724581919741669 
0.7396213644380737 -0.05608639529012162 , 0.4946768891204226 0.6350829716823921 , 0.6934471311132111 0.1405179373627876 
0.7492480392477944 -0.05614076547008089 , 0.49695028959329507 0.6332729972514973 , 0.681547055830618 0.14238228197364167 
0.7582730879226399 -0.05444335140977782 , 0.499407017714414 0.6309709612306512 , 0.6700652790346536 0.14298690393418476 
0.7665818091407898 -0.05111640658019249 , 0.5020446672977982 0.6281651455360024 , 0.6591189082331196 0.14246577479924824 
0.7740746896766523 -0.04626892263301906 , 0.5048603242120244 0.6248437219192026 , 0.6488103707830308 0.14093971446887474 
0.7806615360883222 -0.03999826715766421 , 0.507850781904411 0.6209948125510779 , 0.6392330666789743 0.1385179683616445 
0.7862569072307111 -0.03239201698043801 , 0.5110127885917445 0.6166064717362169 , 0.630475688849252 0.13530005899927938 
0.7907763492578243 -0.023529858914781314 , 0.5143433182696526 0.6116665862842493 , 0.6226257171442307 0.13137778638559028 
0.7941330658631269 -0.013485567411288441 , 0.5178398599633203 0.6061626914931704 , 0.6157724588452603 0.12683738967317634 
0.79623474138358 -0.0023291609471303 , 0.52150072267157 0.6000816977852256 , 0.6100099206165575 0.12176197691696304 
0.796980288259562 0.00987057312510833 , 0.52532535713274 0.5934095190917176 , 0.6054397392794054 0.11623442153823246 
0.7962563309482311 0.02304287971528384 , 0.5293146996976733 0.5861305872685989 , 0.602174354025803 0.11034104677117564 
0.793933293323236 0.037110676687600166 , 0.5334715480067108 0.5782272259431082 , 0.6003405433417607 0.10417661112435003 
0.7898610826414358 0.05198424944334264 , 0.5378009824175354 0.5696788403696905 , 0.6000833196127362 0.09785142394202521 
0.7838646929386636 0.06755171683570231 , 0.5423108502035177 0.5604608541017121 , 0.6015698415295262 0.09150194281764393 
0.7757409044981386 0.08366419484014759 , 0.5470123287788959 0.5505432838847986 , 0.6049921513946729 0.08530703503011215 
0.7652593970974814 0.10011249443602613 , 0.5519205727902996 0.5398887846573514 , 0.6105654147839265 0.0795132346616808 
0.7521767152298116 0.11659141382216934 , 0.5570554111323056 0.5284499108428959 , 0.6185132583095903 0.074473189089993 
0.7362825584363756 0.13265042206115174 , 0.5624419557332179 0.5161652341338232 , 0.6290208705021141 0.0706988575600833 
0.7175153319482032 0.147646990530262 , 0.5681107407654056 0.5029538895300801 , 0.6421193119580988 0.06891363369471616 
0.6961824640873163 0.16077416893587465 , 0.5740965475440618 0.4887082969791625 , 0.6574663730403294 0.07003204784002114 
0.6731996232558124 0.17130815774688152 , 0.5804345491755707 0.4732856390245862 , 0.6741112122403243 0.0749207169835906 
0.6499958239826151 0.1790748878659652 , 0.5871528288606022 0.45650010998005197 , 0.6905967318284901 0.08393951590904114 
0.627926120510081 0.1846590920332489 , 0.5942627478938667 0.438117681801876 , 0.7055565162677596 0.09673773991993345 
0.6078138314737418 0.18906697525236316 , 0.6017502699935408 0.4178511735079761 , 0.7181812832044249 0.1125963649947191 
0.5900146150688413 0.19331370891152275 , 0.609568627727055 0.3953508482068939 , 0.728162141875811 0.13084995663664173 
0.5746900709469797 0.19826167536313632 , 0.6176295426431524 0.3701892687406233 , 0.7354257710815753 0.15106356965129877 
0.5620396698463167 0.20461487337178472 , 0.6257918595089214 0.3418501245827906 , 0.7399138553164692 0.1730495158004831 
0.5524781721796105 0.212909447624443 , 0.6338617244924567 0.3097674678578733 , 0.7414054879996401 0.1968375982727422 
0.5467753340872713 0.22335056678293044 , 0.6416824515116625 0.2735988313366995 , 0.7392875990727735 0.2225651156354286 
0.5459618911471334 0.2353743215149611 , 0.649464015610491 0.23428980193403498 , 0.7323194779140828 0.2498503903060625 
0.5505764841482456 0.24751365434984465 , 0.6574767620367429 0.1957125902861141 , 0.7196921384867189 0.27628826911909987 
0.5602065088918393 0.2586369089787991 , 0.6647752443602115 0.1612918998513422 , 0.7027636314196565 0.2995857049249173 
0.5742987813976439 0.26863994609946074 , 0.6708127212398818 0.13129438790948675 , 0.6826338820341816 0.31958017974611114 
0.59253924962124 0.2781440412605427 , 0.6756778597432874 0.10507216739461683 , 0.6595282753071798 0.3362983050998991 
0.6144035387084926 0.288376814164987 , 0.6796231697410365 0.08199313427074376 , 0.6337186762221781 0.3491445653193279 
0.6379068554561954 0.3007296495912959 , 0.6828969711138273 0.061544426742589635 , 0.6069415581016845 0.3572404374211732 
0.6598179196467914 0.3151260302804479 , 0.6856947147206808 0.043300550118565734 , 0.582232750304235 0.3610879333560451 
0.6786565302278015 0.33029940927545104 , 0.6881435057797404 0.026910736366720048 , 0.5609453486641653 0.3623043681128877 
0.6945247953333595 0.34535883108332305 , 0.6903169031851438 0.012099916383603295 , 0.5429036861532038 0.36205576628813246 
0.7078843127916054 0.35990242157211344 , 0.692256837538275 -0.0013419552880680422 , 0.5276042343418268 0.3609540474710134 
0.7191567628616939 0.3737738394717032 , 0.6939880409063679 -0.013575242710846737 , 0.5146005809036454 0.35931591699420234 
0.7286676575266022 0.38692207814298224 , 0.6955258063478899 -0.024723762875681638 , 0.5035519207972151 0.3573161984877582 
0.7366612572023228 0.3993398842235659 , 0.6968800183115134 -0.03488446232211709 , 0.49420410915787105 0.35505909185361 
0.7433219382867176 0.4110373770610103 , 0.6980572869868501 -0.04413424789262759 , 0.4863661593981395 0.3526113845866762 
0.7487908957702396 0.42203049545247884 , 0.6990621204514345 -0.05253478498939103 , 0.47989236845003297 0.3500188032919711 
0.7531778917969045 0.4323358177680173 , 0.6998975950524036 -0.0601358983827964 , 0.47466989782239893 0.347314594369838 
0.7565693608034854 0.44196821343612785 , 0.7005657545739382 -0.06697801481820496 , 0.47061026929428346 0.3445243151371361 
0.7590340341669295 0.45093978303131127 , 0.7010678572890151 -0.07309394111457299 , 0.46764349321576243 0.3416686718383207 
0.7606268975902795 0.45925938549297635 , 0.7014045346959249 -0.07851017332147667 , 0.4657139523855026 0.33876530158355933 
0.7613920181442764 0.4669324200276516 , 0.7015758974571725 -0.0832478681062313 , 0.46477746907025813 0.3358299618336387 
0.7613645920614768 0.4739606982399402 , 0.7015816091499325 -0.08732356532247669 , 0.4647991834602977 0.3328773808375956 
0.7605724446104188 0.4803423204201055 , 0.7014209403820548 -0.09074972273692605 , 0.4657519996792333 0.3299219160718797 
0.7590371367194715 0.4860715064027844 , 0.701092811423868 -0.09353510505215962 , 0.4676154365283675 0.3269781124044344 
0.7567747837380089 0.4911383471844939 , 0.7005958291423658 -0.09568505642736318 , 0.47037477179133225 0.3240612229979285 
0.7537966599360686 0.4955284481323111 , 0.6999283228780373 -0.09720167662395378 , 0.4740204018576011 0.32118774224670193 
0.750109642112206 0.49922243235124997 , 0.6990883835604705 -0.09808391439737646 , 0.4785473589990304 0.3183759958011858 
0.7457165336573409 0.5021952651199758 , 0.6980739106241374 -0.09832758700919172 , 0.48395494039022857 0.3156468356442752 
0.7406163051209985 0.5044153471856595 , 0.6968826720977617 -0.0979253312586451 , 0.4902464074529467 0.3130244978280449 
0.7348042888929902 0.505843304870818 , 0.6955123846180618 -0.09686648898771116 , 0.4974287111606549 0.31053769787195257 
