0.07779978796571274 0.2557925153988444 , 0.5702133153859614 0.7134402993040773 , 0.8275624183120674 0.08491811644949832 
0.07467087680425928 0.2659513906932594 , 0.5728995771273077 0.7063023773214009 , 0.8280050677321747 0.08189716313775963 
0.07186342662829974 0.2762166051176851 , 0.5755024246724281 0.6988226716453284 , 0.8282096703630139 0.07911165438940646 
0.06938181109067168 0.28658522687236354 , 0.5780155826236375 0.6909992728692498 , 0.8281781279494325 0.07656643141080655 
0.06723095765270658 0.29705413849545 , 0.5804326080071236 0.6828301035715842 , 0.8279119560039114 0.07426668908538563 
0.06541635269976472 0.3076199838560283 , 0.582746893799258 0.6743129293242663 , 0.8274122751647189 0.07221801797212524 
0.06394404548831542 0.3182791108072062 , 0.5849516776575423 0.6654453696022641 , 0.826679798517884 0.07042645074294956 
0.06282065005347524 0.32902750885465476 , 0.5870400572631703 0.6562249082984009 , 0.8257148143470961 0.06889851399936418 
0.06205334400705679 0.33986074123045085 , 0.5890050140231099 0.6466489033466825 , 0.8245171636335751 0.06764128657528654 
0.061649862921481835 0.35077387082719635 , 0.5908394472938312 0.6367145946793894 , 0.8230862114484288 0.06666246564583408 
0.061618488722508274 0.3617613795568638 , 0.592536221790064 0.6264191093617487 , 0.8214208111511695 0.06597044223380727 
0.061968030204268006 0.37281708086998494 , 0.5940882314459154 0.6157594622282362 , 0.8195192600135585 0.06557438805419871 
0.0627077934383923 0.3839340254249427 , 0.5954884837201742 0.6047325496413354 , 0.8173792445051754 0.06548435608614171 
0.06384753948613632 0.3951044002595982 , 0.596730209203317 0.593335133048686 , 0.8149977729742885 0.06571139784413554 
0.06539742645879774 0.40631942231710516 , 0.5978070024153113 0.5815638077534686 , 0.8123710927896328 0.06626770108184596 
0.06736793264067178 0.4175692278452573 , 0.5987130009123767 0.5694149506406547 , 0.8094945881106934 0.06716675266650772 
0.06976975714077477 0.4288427600533785 , 0.5994431112917051 0.5568846383977297 , 0.806362653231262 0.06842353270131148 
0.0726136944466331 0.44012765849484625 , 0.59999329246425 0.5439685248788579 , 0.8029685347528588 0.07005474777871551 
0.07591047941277895 0.45141015495310216 , 0.6003609087718623 0.5306616624879157 , 0.7993041334791007 0.07207911371140188 
0.07967059975187361 0.4626749821220106 , 0.6005451683582216 0.5169582475366761 , 0.7953597535536467 0.074517701493733 
0.08390407415418193 0.4739053030197527 , 0.6005476660267252 0.5028512631110325 , 0.7911237814828349 0.07739436502163453 
0.08862019589941512 0.48508267072600086 , 0.6003730552912232 0.48833198453355786 , 0.7865822704731037 0.08073627589286098 
0.09382724438980512 0.49618702946708815 , 0.6000298826385996 0.47338930125718526 , 0.7817183946353373 0.0845746004281463 
0.0995321705208417 0.5071967689773595 , 0.5995316303265904 0.45800879369975855 , 0.7765117208163099 0.0889453684753016 
0.10574026620986766 0.5180888440250861 , 0.5988980362237534 0.44217148203370504 , 0.7709372192301209 0.09389060509362844 
0.11245483355176 0.5288389695303434 , 0.598156797342109 0.42585213272557987 , 0.7649638907698729 0.09945982889649631 
0.11967687457501675 0.5394218983444734 , 0.5973458309217752 0.40901696167306856 , 0.75855281616695 0.1057120711348776 
0.12740482780132273 0.5498117831431387 , 0.5965163880773674 0.39162050025773515 , 0.7516543057850519 0.11271864775154575 
0.13563438195363317 0.5599826158943518 , 0.5957375389462771 0.37360127764393825 , 0.7442036007638317 0.12056703761412953 
0.14435839939103134 0.5699087282539809 , 0.5951029746437982 0.35487580221051523 , 0.7361141476289125 0.1293664006879235 
0.15356698168811128 0.5795653246449223 , 0.5947419109657338 0.33533010333587543 , 0.727266629009897 0.13925550317162186 
0.16324770763495508 0.5889290074401317 , 0.5948375852658688 0.31480798453041003 , 0.7174902287629182 0.15041393918187781 
0.1733860720164496 0.5979782406261185 , 0.595660332393697 0.29309611192533574 , 0.7065291172535956 0.16307657860096525 
0.18396615742046954 0.6066936816793475 , 0.5976286629495147 0.26991318075665865 , 0.693980701293758 0.17754406871641334 
0.19497159298745342 0.6150582790593225 , 0.6014151529193116 0.24494984872268544 , 0.6791887757569772 0.1941428033704115 
0.20638691361280975 0.623056944261993 , 0.6080271288154587 0.21820068104317913 , 0.6611614792354737 0.21289330584724733 
0.21819950276555744 0.6306753545570845 , 0.6180792744062982 0.19129581153529968 , 0.6392967444918866 0.23217976506003526 
0.23040175742254507 0.6378971348646847 , 0.6295383745998763 0.1676553121530827 , 0.6156353896413208 0.24859848413465196 
0.24299085477646648 0.6447005711589078 , 0.6401922521824858 0.14794306476975116 , 0.5923924147047899 0.26150729522376037 
0.2559659704651807 0.6510577478600685 , 0.6495011188973757 0.13125888116474796 , 0.5701084323011857 0.2718343021276028 
0.2693258212698091 0.6569348946318412 , 0.6575136484591066 0.11680835334337342 , 0.5487360519348264 0.28040768317720466 
0.28306680250639993 0.6622928476384371 , 0.6643832538343211 0.10406240041562648 , 0.5281254653230213 0.2877956830983556 
0.29718135926298517 0.6670875796525695 , 0.670257639886961 0.09267222835619084 , 0.5081365225137962 0.29439112314365884 
0.3116564254457241 0.6712709351567339 , 0.6752603918618594 0.08239981701759647 , 0.48865870435615877 0.30048017897808876 
0.3264719149358019 0.6747917025526811 , 0.6794922136678841 0.07307633032730905 , 0.46961139306005617 0.30628289827242905 
0.341599345888957 0.6775971244573259 , 0.6830354019684567 0.06457784923371016 , 0.4509407738063286 0.3119759574613832 
0.357000751226782 0.6796348964987435 , 0.6859579946809224 0.05681083305112858 , 0.43261677575603785 0.31770520160254717 
0.3726280778403735 0.6808556277135634 , 0.6883170141489496 0.04970308315641122 , 0.4146304296744192 0.32359222028244455 
0.3884232904534338 0.681215631898957 , 0.6901608897557953 0.043197917683793344 , 0.39699134145451326 0.3297373815696689 
0.40431935542547004 0.6806798038040105 , 0.6915312506711452 0.0372502880152807 , 0.3797249155671271 0.33622083933312796 
0.4202421748159186 0.6792242372711125 , 0.6924642582985339 0.031824110242628795 , 0.3628690885492899 0.3431025836386779 
0.43611338202286615 0.6768382033451618 , 0.692991607438304 0.026890380731319774 , 0.3464705322025722 0.35042234707593767 
0.4518537339325906 0.6735251559962249 , 0.693141289890062 0.022425812084909194 , 0.3305804978410898 0.35819996307128515 
0.4673866956578386 0.6693025751061286 , 0.6929381876411886 0.018411823624931857 , 0.3152506383647151 0.36643653242135876 
0.482641763070243 0.6642006574360029 , 0.6924045435430484 0.014833779667447589 , 0.30052921505045105 0.37511649404896874 
0.4975571259863336 0.6582600663070991 , 0.691560343539985 0.0116804057075669 , 0.28645805213742376 0.38421045913775315 
0.5120814201994158 0.6515290895185334 , 0.6904236345738717 0.008943336072582308 , 0.2730704668904549 0.3936785055613034 
0.5261744983336892 0.6440605993997888 , 0.689010795189367 0.006616761775786401 , 0.2603902281406862 0.4034735699768439 
0.5398073118518139 0.6359091633290642 , 0.687336770888451 0.0046971572335193475 , 0.24843143892347755 0.41354461058983555 
0.5529611023577813 0.6271285501658754 , 0.6854152828997665 0.0031830710850221386 , 0.23719913640619467 0.4238393099015215 
0.5656261401483347 0.6177697586932186 , 0.6832590168309024 0.0020749707919274214 , 0.22669036468450537 0.4343062016672731 
0.5778002342278491 0.6078795903447775 , 0.6808797963392701 0.0013751337854966033 , 0.2168954910966233 0.444896207022145 
0.5894871927437288 0.5974997162007586 , 0.6782887462460939 0.001087580194956138 , 0.20779958267391974 0.45556363475670436 
0.6006953569195403 0.5866661492121621 , 0.6754964492579772 0.0012180439683393124 , 0.19938371548622494 0.46626673797191776 
0.6114362793783986 0.5754090201964838 , 0.6725131005491573 0.0017739807096567826 , 0.19162614173618664 0.4769679302462786 
0.6217235762888884 0.563752560972257 , 0.6693486648535817 0.0027646119524987506 , 0.1845032805212725 0.48763375822766336 
0.6315719535822574 0.5517152116002362 , 0.666013041433283 0.00420100697950886 , 0.17799052664820228 0.49823471257267404 
0.6409963890205315 0.5393097849712762 , 0.6625162433964182 0.006096204770206157 , 0.1720628892467929 0.5087449414109367 
0.6500114413392004 0.5265436372470902 , 0.6588685994640869 0.008465380302999584 , 0.1666954808604552 0.5191419136023294 
0.6586306521241788 0.513418805113537 , 0.6550809886380707 0.011326061342864464 , 0.16186388090149295 0.5294060646960178 
0.6668660029552147 0.4999320798432361 , 0.651165121623911 0.014698404115912804 , 0.1575443970846167 0.5395204471932704 
0.6747273875391078 0.4860749938375511 , 0.647133887809846 0.01860553901613867 , 0.1537142463147886 0.5494703982987296 
0.6822220542273069 0.4718336979765985 , 0.6430017938580211 0.02307400081227583 , 0.15035167357841445 0.559243232363545 
0.6893539666127094 0.4571887082179188 , 0.6387855307314326 0.028134261780900647 , 0.14743602431960043 0.5688279611535999 
0.6961230165629928 0.4421144980289572 , 0.6345047221692333 0.033821390691555174 , 0.14494778293151647 0.578215042431907 
0.7025240018229882 0.42657891030554407 , 0.6301829323161183 0.04017586512118158 , 0.142868587524636 0.5873961557256938 
0.7085452441194691 0.4105423601750068 , 0.6258490484389114 0.04724456772809287 , 0.14118122910536196 0.5963640032493198 
0.7141666652518058 0.3939568024427874 , 0.6215392147047915 0.05508199515427735 , 0.13986964170714522 0.6051121335553546 
0.7193570443475208 0.37676445356693644 , 0.6172995884858391 0.06375169213796772 , 0.1389188888303827 0.6136347854475153 
0.7240700272448082 0.3588963094302876 , 0.613190343694793 0.07332787177881768 , 0.1383151507241414 0.6219267499433141 
0.7282382149516885 0.3402706376015062 , 0.6092915901824769 0.0838970449183672 , 0.13804571652957723 0.629983248632546 
0.7317642783298575 0.32079196686238776 , 0.6057122583117464 0.0955591365344028 , 0.1380989850221388 0.6377998277556288 
0.7345075071714898 0.3003519341736389 , 0.602603537020247 0.10842672797707734 , 0.1384644774720058 0.6453722690017032 
0.7362636541258047 0.278835347330635 , 0.600179001954981 0.12261906287098141 , 0.139132865582957 0.6526965209508031 
0.7367363096410328 0.25613941198322016 , 0.5987431964930928 0.1382428589380788 , 0.14009601552961726 0.6597686602311206 
0.7355031103842636 0.23222351563390795 , 0.5987253680644959 0.1553425152956361 , 0.14134704321498323 0.6665849002228755 
0.7320014422999598 0.20722004303117875 , 0.6006937191069086 0.17378921003952746 , 0.1428803602568745 0.6731416780817134 
0.7256149062405207 0.18162365969153524 , 0.6052689598512939 0.19309141020850246 , 0.1446916555719282 0.679435861252382 
0.715985577525017 0.15643261544796266 , 0.6128122384351266 0.2122532259358334 , 0.14677770570359924 0.6854650897686236 
0.7034209523333483 0.1328756390388628 , 0.6230186580433874 0.23004714508068455 , 0.14913591128700698 0.6912281470328724 
0.6888170357845608 0.11176092228168898 , 0.6349948237473034 0.24566491868681414 , 0.1517636621318785 0.6967250901839166 
0.6731139729071255 0.09323426264075206 , 0.6478036807150597 0.2589596685697635 , 0.1546578680415575 0.7019569999419042 
0.6569715625509431 0.07705189741716212 , 0.6607891313168114 0.27017348531973046 , 0.15781482779598816 0.7069255484155271 
0.6407722816921709 0.06286480598012026 , 0.6735729173606854 0.27965350434022235 , 0.16123032261088635 0.7116326208320771 
0.6247181185613733 0.05034755117802142 , 0.6859576228064319 0.2877233147117431 , 0.16489978029593744 0.7160800652626552 
0.6089090657195654 0.039232195731097375 , 0.6978480248972357 0.294649185402695 , 0.1688184310469415 0.7202695500186274 
0.5933902621691716 0.02930702374990994 , 0.7092038284752809 0.3006414160891189 , 0.1729814310192902 0.724202491313391 
0.5781778829736446 0.020406326520210752 , 0.7200136857282073 0.30586458245141485 , 0.17738395296189075 0.7278800221807943 
0.5632730340653274 0.012399938019610122 , 0.7302812376445624 0.3104480089451478 , 0.18202124995385296 0.7313029841876619 
0.5486692132703268 0.0051846878178168476 , 0.7400176094304882 0.31449431231934744 , 0.1868886989629277 0.7344719310152555 
0.5343563435101941 -0.0013220973278514504 , 0.7492373482955463 0.31808589083304506 , 0.1919818298580023 0.7373871376472262 
