0.4371389963218383 0.9375402770328369 , 0.11146936670008523 0.1748049381763931 , 0.7171719576307609 0.8066617147575056 
0.4432210447729655 0.9455142174168472 , 0.10777940193676036 0.17306338734265278 , 0.7147798739429586 0.8004293252072356 
0.45004859421363125 0.9529338310277032 , 0.10423391556174545 0.17154096684653738 , 0.7114978108773078 0.794532132092495 
0.45760763665242615 0.959754650200898 , 0.1008331590330253 0.17023402107171642 , 0.7073395249672331 0.7890182586941211 
0.46588498466386924 0.9659285945930535 , 0.09757759061795632 0.1691393475541177 , 0.702317745370859 0.7839389878195644 
0.4748677068267307 0.9714029299549843 , 0.09446785635737559 0.16825418305408418 , 0.6964447574685783 0.779349816957667 
0.48454239966539053 0.9761190999796585 , 0.09150477109080095 0.1675761917473435 , 0.689733149896493 0.7753116382397335 
0.4948942194259738 0.9800113940544581 , 0.08868929870618052 0.16710345510731145 , 0.6821968025205303 0.771892080804966 
0.505905562033992 0.9830054167478423 , 0.08602253069707667 0.16683446285484868 , 0.6738522279216159 0.7691670503640446 
0.517554228098514 0.9850163360639904 , 0.08350566201859488 0.16676810408598608 , 0.6647204305355756 0.767222489816759 
0.529810834472244 0.9859469168136025 , 0.08113996314897204 0.16690365732457502 , 0.6548295230314685 0.766156355828558 
0.5426351256954037 0.9856854122007552 , 0.07892674722371533 0.16724077775406304 , 0.6442184477335654 0.7660807400119173 
0.5559706901075314 0.9841035278682593 , 0.0768673311835684 0.16777947923365868 , 0.6329422993615846 0.7671239228648176 
0.5697374009387801 0.9810549564865312 , 0.07496299019086501 0.16852010789427996 , 0.6210799295230394 0.7694318655859244 
0.5838207289468351 0.9763755259367802 , 0.07321490533006189 0.1694633031972557 , 0.6087446863757875 0.7731681008326996 
0.5980570750276203 0.9698869888865777 , 0.07162410614289792 0.17060994152894654 , 0.5960991394821662 0.7785099995512114 
0.6122148953591223 0.9614080848329168 , 0.07019141230158389 0.17196105720136332 , 0.5833740129919782 0.7856377879324554 
0.625973624913638 0.950778583901886 , 0.06891738314115045 0.1735177371608489 , 0.570889312597896 0.7947106089040008 
0.6389078333729777 0.9379031235945511 , 0.06780228985272707 0.17528099050543092 , 0.5590701974269795 0.8058228158667537 
0.6504933904326848 0.92281722888069 , 0.06684613133318042 0.17725160413583782 , 0.5484407988868191 0.8189380969502079 
0.6601600323684971 0.9057605244276525 , 0.06604871621433363 0.17943001178637488 , 0.5395715720698536 0.8338163937527082 
0.6674020853291593 0.8872130370225463 , 0.06540982232180269 0.18181621903046627 , 0.5329684130017223 0.849977673913723 
0.6719111639233675 0.8678421900905177 , 0.06492941611512748 0.18440982575934414 , 0.5289397406141892 0.8667549141168738 
0.6736503915699646 0.8483629662932132 , 0.06460788148953739 0.18721015642446248 , 0.5275220475931822 0.8834338072490598 
0.6728228068795898 0.8293906660067286 , 0.06444619894640038 0.19021646140046766 , 0.5285113148266941 0.8993998025595392 
0.6697713595350329 0.8113638183550084 , 0.06444604381609519 0.1934281287776025 , 0.5315629173015562 0.9142149828341247 
0.6648796852020192 0.7945446103220052 , 0.06460981017588775 0.1968448603740166 , 0.5362908252747773 0.9276174592707138 
0.6585095366797578 0.7790590247720098 , 0.06494058702208055 0.20046679613658183 , 0.542330196950846 0.939481109058144 
0.6509738826579139 0.7649425524017288 , 0.06544211288896636 0.20429459271368708 , 0.549364325105804 0.9497697848513198 
0.642531846400463 0.7521764595808946 , 0.066118726332625 0.20832946966611665 , 0.5571297479195962 0.9585010007197244 
0.6333936267081316 0.7407123230693475 , 0.0669753212842982 0.21257323617929466 , 0.5654113726602545 0.9657213707180935 
0.6237285810905667 0.7304872320959096 , 0.06801731084218601 0.2170283078546264 , 0.5740344287199317 0.9714913900161997 
0.6136733449372395 0.7214326770599371 , 0.06925060022885775 0.2216977199234769 , 0.5828563754865872 0.9758765329833217 
0.6033388513515011 0.7134794886150996 , 0.07068156840959047 0.22658514083560968 , 0.5917599008915929 0.9789423005160264 
0.5928160189824933 0.7065604093356682 , 0.07231705748331456 0.23169488861632312 , 0.6006472441868768 0.9807516320147444 
0.5821802228307642 0.7006112841008197 , 0.07416436897410295 0.23703195144861536 , 0.6094357288478174 0.9813636944173005 
0.5714947620679679 0.6955714618930623 , 0.07623126633717499 0.2426020134118285 , 0.6180542922475416 0.9808334546618449 
0.5608135391506496 0.6913837580537792 , 0.07852598324315317 0.24841148604726085 , 0.6264407982588818 0.9792116858656957 
0.55018313230967 0.6879941796837622 , 0.0810572374758899 0.2544675463290511 , 0.6345399508671247 0.9765452039539224 
0.5396444057809662 0.6853515302378697 , 0.08383425056219687 0.2607781816394781 , 0.6423016643095215 0.972877218089388 
0.5292337684619973 0.6834069584103212 , 0.08686677355125688 0.2673522424525011 , 0.6496797786394304 0.9682477291039134 
0.5189841644390134 0.6821134865173991 , 0.09016511969039882 0.2741995036065485 , 0.6566310365232724 0.9626939398427882 
0.5089258577749062 0.6814255360533198 , 0.0937402051205718 0.28133073529862146 , 0.6631142577572066 0.9562506586147945 
0.499087058013757 0.6812984577827069 , 0.09760359916257522 0.2887577852683476 , 0.6690896634763523 0.9489506869156812 
0.4894944208994521 0.6816880676011673 , 0.10176758631351446 0.296493674084072 , 0.674518313439718 0.9408251882814964 
0.48017344982927107 0.6825501856319514 , 0.10624524276064201 0.3045527060257046 , 0.6793616280627716 0.9319040383090798 
0.47114881677877635 0.6838401735287616 , 0.11105053109849619 0.312950598826833 , 0.6835809727754121 0.9222161576111412 
0.4624446162325832 0.6855124630226435 , 0.1161984180765354 0.32170463655606657 , 0.6871372863435661 0.9117898303880257 
0.45408456156807947 0.6875200669028306 , 0.12170502170942132 0.3308338512753847 , 0.6899907373751839 0.9006530117885204 
0.44609212999441095 0.6898140614760332 , 0.12758779609700988 0.34035924094020925 , 0.6921003945612639 0.8888336275504933 
0.43849065923085917 0.6923430267410932 , 0.13386576504183048 0.3503040334875687 , 0.6934238963799951 0.8763598697380739 
0.4313033963138635 0.695052426625144 , 0.14055981934301856 0.36069401046689153 , 0.6939171049958027 0.8632604928747003 
0.42455349591118957 0.6978839060954831 , 0.1476930979847757 0.3715579083080186 , 0.6935337267567195 0.8495651155632341 
0.4182639618542157 0.7007744739831331 , 0.15529148110146562 0.3829279220089188 , 0.6922248776970035 0.835304533974684 
0.4124575206315623 0.7036555287052083 , 0.1633842338287253 0.3948403456155373 , 0.6899385661923972 0.8205110556459903 
0.40715640830427974 0.7064516668229933 , 0.17200485695723589 0.4073363978661666 , 0.6866190553911692 0.8052188652775759 
0.4023820410167053 0.7090791883823033 , 0.18119222605595015 0.42046330221464706 , 0.6822060535800294 0.7894644393697855 
0.39815452106635707 0.7114441730009188 , 0.19099214117831514 0.4342757221338859 , 0.6766336584080127 0.7732870348319313 
0.3944919001213364 0.7134399376522133 , 0.2014594745318755 0.44883770185574706 , 0.6698289459994731 0.7567292904587756 
0.3914090689082098 0.7149435850145252 , 0.21266121193369789 0.46422534100992735 , 0.6617100398107773 0.7398380039422834 
0.3889160498447206 0.7158111808824523 , 0.22468086983151775 0.4805305588050201 , 0.6521834009764466 0.7226651902792635 
0.387015298505895 0.715870805897419 , 0.23762509939652246 0.4978665133621292 , 0.6411399227502674 0.7052696107071875 
0.3856972955475765 0.7149122079839239 , 0.25163389376416867 0.5163755889541036 , 0.6284491313409397 0.6877191330287082 
0.384933076372682 0.7126708513039534 , 0.2668969546150529 0.5362414128274108 , 0.61395028966495 0.6700946658353716 
0.3846610999438929 0.7088025510680757 , 0.2836809362746081 0.557707049762973 , 0.5974382844341839 0.6524973291356869 
0.3847636459436099 0.7028428025724529 , 0.30237605296446035 0.5811011895073144 , 0.5786406217446146 0.6350629378869683 
0.3850265823438004 0.6941480950793023 , 0.3235736332248264 0.6068641152749608 , 0.5571801050840581 0.6179947196124725 
0.38510333195630625 0.6818779695424269 , 0.3481545285105195 0.6354838022420317 , 0.5325224601858592 0.6016451581822772 
0.3848059578453564 0.6655799660034354 , 0.37700902122097785 0.6667025882788303 , 0.5039653415863508 0.58672437568447 
0.38598230063611044 0.6479067236893689 , 0.4088014168676026 0.6964460130544999 , 0.47099660314897196 0.5746541932228668 
0.39122365401971276 0.6313983468927874 , 0.4403112336026995 0.7203628334966911 , 0.4342454330302727 0.5672457495772573 
0.4002915861626793 0.614780544912349 , 0.4700279010281985 0.7387099863003206 , 0.39546083346180716 0.5655163987540661 
0.41033912361825886 0.5969753879146272 , 0.49765035495026316 0.7529171196279514 , 0.357790842084163 0.5691144224241571 
0.4180669991752704 0.5792169304149668 , 0.5233790322850497 0.7641558224597762 , 0.32433428919236496 0.5756341770919928 
0.42296820624942955 0.5627418726001048 , 0.5474967869454183 0.7732135202937114 , 0.2953153274578373 0.5830515370729197 
0.4256199572465307 0.5478733184134037 , 0.5702458122664195 0.7806070616854092 , 0.26991455113973495 0.590526549867923 
0.4265809326441703 0.5345653572151291 , 0.5918154293621731 0.7866851947521006 , 0.24738395864634172 0.5977563779995061 
0.42624755884642357 0.5226827329173613 , 0.6123521928256401 0.7916926921232487 , 0.22718056898062147 0.6046315049261258 
0.42489074788845793 0.5120850281119999 , 0.6319708919441617 0.7958079902198929 , 0.2089186808200656 0.6111139116348431 
0.4226982363896035 0.5026478804125892 , 0.6507629819020846 0.7991655585743513 , 0.1923191023609971 0.6171934909797953 
0.41980320292068496 0.4942660731049286 , 0.6688026036466059 0.8018696428110794 , 0.17717451408539436 0.6228712140507278 
0.4163022104926264 0.4868517775730639 , 0.686150839675663 0.8040030240327858 , 0.1633272704843958 0.6281521283608861 
0.4122664727320756 0.48033185733679346 , 0.7028587502875161 0.8056328001239343 , 0.15065509763309357 0.6330422725060081 
0.40774907683946715 0.4746453459664238 , 0.7189695734951279 0.806814323736031 , 0.13906167031809027 0.6375472602642811 
0.40278972866817975 0.46974135728881594 , 0.7345203465037102 0.8075939608210656 , 0.12847024548079541 0.6416716118568545 
0.3974179401621747 0.46557743105583815 , 0.7495431212761299 0.8080110713050528 , 0.11881925921438079 0.6454184276058451 
0.39165520783847446 0.46211825168089044 , 0.7640658905427524 0.8080994626001798 , 0.11005922227145852 0.6487892156856657 
0.3855165163130745 0.45933467159430424 , 0.7781133038098357 0.8078884770357052 , 0.10215050052977521 0.6517837813367265 
0.37901137419537745 0.457202981674441 , 0.7917072286127914 0.8074038194484233 , 0.09506171784451649 0.6544001288438717 
0.37214451271041854 0.455704385344713 , 0.8048671959949262 0.8066681966797038 , 0.08876861194734065 0.6566343479423192 
0.36491632888767384 0.4548246463124011 , 0.8176107581439962 0.8057018184763077 , 0.08325323362101533 0.6584804651780273 
0.3573231230286072 0.454553891931162 , 0.8299537784977584 0.8045227946064304 , 0.07850341912631983 0.6599302434291436 
0.349357157326647 0.4548865653282919 , 0.8419106692919114 0.8031474531032698 , 0.07451249403412705 0.6609729115351743 
0.34100654447520784 0.45582153076421467 , 0.8534945877298518 0.801590597745576 , 0.0712791884476259 0.6615948014569455 
0.3322549586564365 0.457362349575377 , 0.8647175992187087 0.7998657181250766 , 0.06880776277754029 0.6617788622662825 
0.3230811436651664 0.45951776044724785 , 0.8755908141177255 0.7979851622638617 , 0.06710836286979356 0.6615040072556265 
0.31345817099382195 0.4623024206475645 , 0.8861245029656272 0.7959602792947127 , 0.06619764669323634 0.6607442300244589 
0.3033523702603794 0.4657379990902871 , 0.8963281940441519 0.7938015379143688 , 0.06609975634815418 0.6594673929620801 
0.2927218088306837 0.4698547661122187 , 0.9062107562919112 0.7915186249667897 , 0.06684775553009059 0.6576335388877277 
0.28151412590371927 0.4746939138088621 , 0.9157804699331998 0.7891205274720683 , 0.06848572481576638 0.6551924886858057 
0.2696634098138189 0.48031099310254305 , 0.9250450866781608 0.7866156005838558 , 0.07107182416070577 0.6520803362803372 
