0.9525160098016152 0.3033903710066219 , 0.7604293058249847 0.3705718467398018 , 0.1718147629254071 0.21850260148194145 
0.9452503583920361 0.28922440441033914 , 0.7507810108883727 0.37753302222020774 , 0.18872870927159818 0.2257073925978183 
0.9363335520003491 0.2757175700608167 , 0.742342718278203 0.38374726564723327 , 0.2060838082734549 0.2329999835203152 
0.9258920065206954 0.2629481694955694 , 0.7349518792753718 0.38913030009451416 , 0.22391619275593985 0.24038634963828168 
0.9140283067257126 0.25098234555557386 , 0.7284648301357172 0.3936097881115665 , 0.24226694169057728 0.24787268556122485 
0.9008246239735398 0.23988065223697552 , 0.7227521684276499 0.39711889043202236 , 0.26118328615081726 0.25546527655936735 
0.8863454713016374 0.22970297873332413 , 0.7176944017960137 0.3995915379238292 , 0.2807202054543557 0.263170302571212 
0.8706397600063667 0.22051266075401157 , 0.7131777464586192 0.40095863101430085 , 0.3009425720870211 0.27099352746005284 
0.8537421930621322 0.21238040175577436 , 0.7090897989335266 0.401144625801977 , 0.32192808655634814 0.2789397916706139 
0.8356740365907014 0.2053885627830568 , 0.7053146649077103 0.4000640944981699 , 0.34377137705359523 0.2870121619471386 
0.8164432954055947 0.19963645079081807 , 0.7017269221098428 0.39761790180260553 , 0.36658986103656943 0.29521046663494166 
0.7960443115099936 0.19524747585578467 , 0.6981834233346342 0.3936886522320325 , 0.3905323437073791 0.30352869114054815 
0.7744568536158475 0.19237956270346798 , 0.694511244266019 0.38813509125447765 , 0.4157919806701405 0.31195016527041963 
0.7516450117963628 0.19124123107806348 , 0.6904887169724274 0.3807853463246449 , 0.4426263497832168 0.3204382418256569 
0.7275571246243522 0.19211781113043996 , 0.6858138123237514 0.3714298384559857 , 0.4713891416039034 0.32891716964193957 
0.7021312244891401 0.19541629230346516 , 0.6800491564065189 0.3598185153247847 , 0.5025796976563479 0.33723001160011534 
0.6753223815961926 0.2017441103459117 , 0.6725269939602404 0.3456823184070279 , 0.5369107029955739 0.3450383904754256 
0.6472120813608131 0.21203805622581193 , 0.6622219918765506 0.3288601686136675 , 0.5753260053146432 0.3515665943888857 
0.618393507009473 0.22766376727952115 , 0.6479316541590754 0.30980589620288373 , 0.6184349173834585 0.35499515574596024 
0.5908388422913954 0.2498017711830719 , 0.6303680064611238 0.29031946623374766 , 0.6635532297994877 0.35234358181154557 
0.5676438429637729 0.2770842565421015 , 0.6120148828528951 0.2715563587940406 , 0.7051013527353388 0.34382420389222307 
0.5500816261232712 0.30504207316260235 , 0.5928073622471 0.2551712212522086 , 0.7418710901816357 0.3322515248135542 
0.5368658828422646 0.330350003705396 , 0.5731041699271276 0.2427325760917507 , 0.7747900257826145 0.3193822394312184 
0.526415218003482 0.35224617685730036 , 0.5535158851310074 0.23421200611936377 , 0.8048289754175173 0.306006636251701 
0.5177012689182604 0.37092327978523637 , 0.5343747950014455 0.22906585119453135 , 0.8326840146323007 0.29247568824859743 
0.5101056840409725 0.3867240491685498 , 0.5158214624350661 0.2267876333427429 , 0.858832932075968 0.2789531367170725 
0.5032385127991341 0.3999461581519785 , 0.497911700674406 0.22700005972120677 , 0.8836098650784665 0.26551860135517996 
0.49683435059937264 0.4108142453626725 , 0.4806699392978301 0.22943933535787694 , 0.9072557886548038 0.25221123850781574 
0.4906966474315503 0.4194867519368257 , 0.46411356909704443 0.23392851448135904 , 0.9299498620234119 0.23904955281018045 
0.48466609908570024 0.42606647157704713 , 0.448265028251898 0.2403573309993863 , 0.9518289512144084 0.22604101665193177 
0.478600574815852 0.4306083461977114 , 0.4331594041008685 0.24866945506680177 , 0.9730000996352861 0.2131870179638521 
0.47235999489948705 0.4331236311442523 , 0.41885134536208596 0.2588556620754707 , 0.9935487382904336 0.20048552600864217 
0.4657920417095864 0.43358067922269145 , 0.4054237821419246 0.27095156061082976 , 1.0135442547004956 0.18793257939484398 
0.4587151049945057 0.43190291798497704 , 0.39300109605350775 0.2850387643923702 , 1.0330438775039932 0.17552313685101795 
0.4508939237888856 0.4279656563989347 , 0.3817706962279604 0.3012475940436222 , 1.0520954585351605 0.1632515687858083 
0.4420010903610648 0.42159791355804777 , 0.37201947038286265 0.31975496681530596 , 1.0707395178080792 0.1511119388550115 
0.43155605248811335 0.4126130936640729 , 0.3641932358532588 0.34075356634557197 , 1.0890107902106345 0.1390981592187204 
0.41885188659272965 0.4009561405314587 , 0.35896875322410754 0.3643046076050395 , 1.1069394387351694 0.127204071091867 
0.40302982160361034 0.3872243424506918 , 0.3571782025547422 0.3898169813459347 , 1.124552054393654 0.11542349543173872 
0.3839202640442295 0.37362927908685956 , 0.3589673058580458 0.41508521384514524 , 1.1418725086497312 0.10375032629636041 
0.3631328784996266 0.3630073419018903 , 0.36270464263370916 0.4372787059522848 , 1.1589225574186708 0.09217877137419012 
0.3424545133485419 0.35618344123086193 , 0.3665835884899662 0.4555777448925766 , 1.1757219767134985 0.08070363310492676 
0.32272145333846863 0.3527154861912781 , 0.36975011684434855 0.47042898560114865 , 1.1922885083691894 0.06932034743593848 
0.3042174222733195 0.35200793601482344 , 0.37190470889050486 0.4824320169306312 , 1.2086379473881823 0.05802486628291064 
