0.6187583486503686 0.9650905710542019 , 0.9151927757819622 0.06798217390398864 , 0.3987281414492949 0.27986080298606886 
0.6084755349350024 0.9724668334276599 , 0.9266000011365859 0.05770786588881332 , 0.39760372981003744 0.2827588486277862 
0.5981725609492843 0.9795653198289722 , 0.9377065004709169 0.04764593953627169 , 0.3968002044614246 0.28572228857901555 
0.587851960449531 0.9863909082837607 , 0.9485275322269948 0.03778864594223323 , 0.39629977320509996 0.28875399371826543 
0.5775161978170598 0.9929479611643869 , 0.9590768777398567 0.028128815702452747 , 0.3960861903247093 0.29185677107741975 
0.5671676923455623 0.999240377439376 , 0.9693670448016518 0.018659808747220487 , 0.39614452873441175 0.29503336175766287 
0.5568088384235637 1.0052716388318665 , 0.9794094361288685 0.009375467850806743 , 0.39646099132919366 0.29828644126158593 
0.5464420224562713 1.0110448507171799 , 0.9892144899239997 0.0002700759731389217 , 0.3970227535013549 0.30161862125394046 
0.536069637185403 1.0165627784791216 , 0.9987917980373129 -0.008661682635708885 , 0.3978178306589101 0.3050324521008466 
0.5256940939229192 1.0218278799465497 , 1.008150205988605 -0.01742475776145977 , 0.3988349659701018 0.30853042575916945 
0.5153178331044664 1.026842334445986 , 1.0172978981775063 -0.026023765236555453 , 0.40006353459965316 0.31211497873482863 
0.504943333482917 1.0316080689318017 , 1.0262424709071742 -0.03446301591433134 , 0.40149346149153464 0.3157884949267888 
0.4945731202157887 1.0361267815916213 , 1.034990995309077 -0.04274654188633659 , 0.4031151503567601 0.3195533082389745 
0.4842097720481321 1.0403999632698437 , 1.043550071842701 -0.0508781202117612 , 0.40491942199079267 0.32341170488617665 
0.4738559277513546 1.0444289170053491 , 1.0519258777222782 -0.05886129441036829 , 0.4068974604079931 0.3273659253492783 
0.4635142919458876 1.0482147759394538 , 1.0601242083704328 -0.0666993939497506 , 0.40904076556530555 0.3314181659545559 
0.4531876404096787 1.051758519815988 , 1.0681505137994003 -0.07439555193631214 , 0.4113411116725469 0.3355705800645833 
0.4428788249537436 1.055060990266139 , 1.076009930661893 -0.08195272119839364 , 0.4137905102659893 0.33982527887651387 
0.4325907779293177 1.0581229050456675 , 1.0837073105865975 -0.08937368893011732 , 0.41638117736571084 0.344184331828709 
0.4223265164176408 1.0609448713706335 , 1.091247245310775 -0.0966610900461779 , 0.4191055041532101 0.34864976661980346 
0.41208914614242553 1.063527398479302 , 1.098634089039226 -0.1038174193810874 , 0.4219560306999744 0.35322356884604433 
0.40188186513607876 1.0658709095319878 , 1.1058719783909443 -0.11084504285130134 , 0.42492542235460296 0.3579076812635725 
0.39170796718336315 1.067975752946838 , 1.1129648502390384 -0.1177462076851446 , 0.4280064484592246 0.36270400268256553 
0.38157084506008826 1.069842213257622 , 1.1199164577034846 -0.12452305181341301 , 0.43119196311805313 0.36761438650005 
0.3714739935793593 1.0714705215692146 , 1.1267303845181424 -0.13117761250282622 , 0.43447488778412424 0.37264063887787063 
0.36142101245369 1.0728608656773944 , 1.1334100579616966 -0.1377118343050212 , 0.43784819546623927 0.37778451657188583 
0.35141560897775626 1.0740133999116288 , 1.139958760515631 -0.14412757638537885 , 0.44130489638823867 0.38304772441800905 
0.3414616005335979 1.0749282547525278 , 1.1463796403900308 -0.15042661928855006 , 0.4448380249579972 0.3884319124802812 
0.33156291691758255 1.0756055462694691 , 1.1526757210392167 -0.15661067119098526 , 0.44844062792482664 0.3939386728657751 
