0.3505884062818414 0.7299857500525199 , 0.19431820726186377 0.23777118227674965 , 0.33239432261042523 0.5989999188513765 
0.34306073260038017 0.7326960840408359 , 0.18854336035415728 0.22864581134352713 , 0.345696843199593 0.605414955796283 
0.3354951881653187 0.7320801528147675 , 0.18308018107682145 0.22035411828564877 , 0.3587255669119903 0.6143225800802298 
0.3284438177430011 0.7280566166754515 , 0.17791440435267106 0.2128354560410565 , 0.3709427140584583 0.6258647784641379 
0.3225805333638066 0.7206373224092567 , 0.17303094312495837 0.20603952640632064 , 0.38168945966536544 0.6400800023650686 
0.3187173645777446 0.7100486869029358 , 0.16841514410348443 0.19992599708564163 , 0.3901684274729014 0.6567821671920686 
0.3177322460137769 0.6969218130228171 , 0.16405413306930308 0.19446390152356913 , 0.39551455707105043 0.6753711366342597 
0.32031176100125414 0.6824511089038883 , 0.15993812767781615 0.18963055683488966 , 0.39705104747506015 0.694675185441868 
0.3265603551566446 0.6682470909820368 , 0.1560613839871657 0.18540967827863084 , 0.3946791970103201 0.7131000819199783 
0.33585896351448546 0.6557904239740835 , 0.15242224798965562 0.18178874671083942 , 0.38901972464998935 0.7291776804957232 
0.3471886317458202 0.6459787549459798 , 0.14902210980479663 0.17875644595156745 , 0.3810901946035136 0.7420216502830989 
0.35954090787882476 0.6391321758770189 , 0.1458637834533718 0.17630111910892687 , 0.3718962448219339 0.7513235561947004 
0.372101084298998 0.6352272608637118 , 0.14295005850025874 0.1744104486037164 , 0.3622497933548737 0.7571191417132178 
0.38425234235589895 0.6340946149056801 , 0.14028281063828757 0.17307194905469403 , 0.3527657831599439 0.759590287220272 
0.3955206787082149 0.6355241554983682 , 0.1378626823186657 0.1722737832911354 , 0.34391757512724985 0.7589589123911425 
0.4055175001338155 0.6393074036691678 , 0.13568918167014254 0.17200558440027608 , 0.3360942543501724 0.7554438631112022 
0.41389340587267 0.64524642255938 , 0.13376103621685292 0.1722591427832009 , 0.32964649406460744 0.7492512858380651 
0.4203023412603742 0.6531442999213035 , 0.13207668478199538 0.17302892390535424 , 0.3249219101117608 0.7405836273539883 
0.42437375730672866 0.6627806995851354 , 0.1306348448304485 0.1743124248796473 , 0.32229233401695323 0.7296637267158634 
0.4256946035801097 0.6738678890283287 , 0.12943513231069753 0.17611037502938015 , 0.32217120026332313 0.7167785871229373 
0.4238141369841662 0.685976503444864 , 0.1284787264679391 0.17842674919041793 , 0.32500807270202503 0.7023535985453642 
0.41830868631861184 0.6984226674040485 , 0.12776904719944843 0.18126849990030366 , 0.3312232026360701 0.6870656838762941 
0.4089756293068661 0.7101494944106147 , 0.1273123169718036 0.1846448534453627 , 0.34101298987546064 0.6719625033246689 
0.39618117321541346 0.7197652191900824 , 0.1271177012236681 0.18856606886151592 , 0.3540020617150488 0.658425563129048 
0.38108751390739604 0.7259737311490136 , 0.12719662777670201 0.19304195262092247 , 0.36901679447003227 0.6477411674107102 
0.36529371324265003 0.7281628681244617 , 0.12756132239583612 0.19808104673084284 , 0.3844459005156442 0.6405129363253418 
