0.814847754047931 0.07075214182263112 , 0.3651961034000215 0.8800199874228931 , 0.6759960984392582 0.7901596884970399 
0.8164230679591276 0.0708276997743741 , 0.3590181758407376 0.8900265424499988 , 0.6805987120873456 0.7800775755181912 
0.8179088782031141 0.07118382249865417 , 0.35361798267333683 0.8996882879635489 , 0.6845130950107599 0.770059707280361 
0.8193054129054225 0.0718235021693601 , 0.34892871150997246 0.9089972841367818 , 0.6878058314718158 0.7601110314364222 
0.8206125999978157 0.07275028548988806 , 0.34489294498004763 0.9179490986510594 , 0.6905344109093475 0.7502324336016166 
0.8218300603784545 0.0739682722464129 , 0.34146096519743996 0.9265416561267212 , 0.6927489303113163 0.74042188936943 
0.8229570982476548 0.07548212217836979 , 0.33858940463669596 0.9347744598840735 , 0.69449345300286 0.7306752356801208 
0.8239926880875551 0.07729706980843765 , 0.33624016905289716 0.9426480597089888 , 0.6958070987467585 0.7209866882251377 
0.8249354577462976 0.07941894716453449 , 0.33437957304103355 0.9501636846307071 , 0.6967249250998796 0.7113491859473225 
0.825783667022927 0.08185421460191118 , 0.33297764190848406 0.9573229879435387 , 0.6972786469557997 0.7017546151971142 
0.8265351810351108 0.08461000020856983 , 0.3320075441000471 0.9641278695623801 , 0.6974972307520528 0.6921939479716142 
0.8271874374872097 0.08769414856713846 , 0.3314451266529909 0.9705803522822222 , 0.6974073917470102 0.6826573168932034 
0.8277374067339496 0.09111527996768763 , 0.331268532478179 0.9766824960051925 , 0.6970340166750821 0.6731340417696838 
0.8281815432412729 0.0948828615380157 , 0.3314578830780899 0.9824363389603659 , 0.6964005295678479 0.6636126172441824 
0.8285157266595622 0.09900729220402471 , 0.33199501397769704 0.9878438582709539 , 0.6955292152499514 0.6540806672675854 
0.8287351902140447 0.10350000394260511 , 0.3328632529406147 0.9929069444848214 , 0.6944415127325512 0.6445248693151375 
0.8288344334375649 0.10837358248184134 , 0.334047233185939 0.9976273862367787 , 0.6931582892637067 0.634930849023944 
0.8288071153566128 0.11364191149066126 , 0.335532735473122 1.0020068622865883 , 0.6917001050574758 0.6252830439653145 
0.8286459229970353 0.11932034545400794 , 0.3373065542044849 1.0060469389265687 , 0.6900874786856904 0.6155645333619874 
0.8283424083601918 0.12542591795004582 , 0.33935638369843435 1.00974907127713 , 0.6883411638285846 0.6057568285153883 
0.8278867846220309 0.1319775940735647 , 0.3416707215792008 1.0131146073541248 , 0.686482449685979 0.5958396163148745 
0.8272676689045392 0.13899657848522312 , 0.3442387868624015 1.0161447940430053 , 0.68453350012027 0.5857904452143355 
0.826471754061504 0.1465066942982326 , 0.3470504508292541 1.018840784280845 , 0.6825177509964526 0.5755843391634865 
0.8254833847180083 0.15453485316095916 , 0.3500961792064696 1.0212036448471942 , 0.6804603919627328 0.5651933197344107 
0.8242840020282082 0.163111644064705 , 0.3533669845283767 1.0232343642093902 , 0.6783889693306259 0.5545858094684689 
0.822851405157028 0.17227207848525145 , 0.35685438787356843 1.0249338598616382 , 0.6763341628566144 0.5437258793956743 
0.8211587517698468 0.1820565437221362 , 0.3605503894594537 1.0263029845377007 , 0.6743308146579103 0.532572289482727 
0.8191731786017954 0.1925120364783293 , 0.36444744786408106 1.0273425305543171 , 0.6724193294213344 0.5210772507099175 
0.8168538553229661 0.20369377699703003 , 0.368538467948045 1.028053231335462 , 0.6706476326161998 0.5091848094100719 
0.8141491698470499 0.21566734233272297 , 0.3728167978995242 1.0284357588373199 , 0.6690739881406368 0.49682871657252126 
0.8109925418548009 0.22851150415346508 , 0.37727623626441464 1.028490715070403 , 0.6677711777679953 0.48392959851869605 
0.8072959972826301 0.24232199608330357 , 0.38191105041492035 1.0282186150707138 , 0.6668329081896603 0.4703912065885469 
0.8029399582284851 0.2572163993095623 , 0.38671600875459244 1.0276198572649986 , 0.6663839889041333 0.4560955611680032 
0.7977564129354054 0.2733399644490384 , 0.3916864302150328 1.0266946747313104 , 0.6665971127367726 0.4408971785622153 
0.7915002116511175 0.29087052936169155 , 0.3968182565045673 1.0254430563971328 , 0.667721487731526 0.4246182319837397 
0.783799304988287 0.3100141623911935 , 0.40210815536562683 1.0238646186415812 , 0.670132495533297 0.4070530367097893 
0.7740733100834167 0.3309581441493933 , 0.4075536664391883 1.0219583904979916 , 0.6744129793646058 0.3880152830951791 
0.7614500543380663 0.35365898299420523 , 0.4131534008581746 1.0197224407421859 , 0.6814365006909698 0.3675503940061729 
0.7450041449638263 0.37716239573078547 , 0.41890727621752516 1.0171532173802922 , 0.6921285347058592 0.34661620463148635 
0.7251857214737424 0.3989346998440112 , 0.42481661379829944 1.0142444921133236 , 0.7060376206151688 0.32775262578522935 
0.7042779615136333 0.41718015858562346 , 0.43088364791460054 1.0109864026516122 , 0.7208783464589769 0.3127652565053284 
0.6838143054034831 0.4322429985295043 , 0.43711058638650846 1.0073655928856888 , 0.7351150640972192 0.30132322632737085 
0.664252382502538 0.444983212258879 , 0.4434990056799818 1.0033658810252422 , 0.7482885677046909 0.2925827244584428 
0.6456317909187401 0.4560863856691598 , 0.4500495756089993 0.9989687058519349 , 0.7603585893594713 0.28587672622146926 
0.6278776303841743 0.4660299316818573 , 0.45676189125518923 0.9941533212067124 , 0.7714004342478471 0.28074856485399424 
0.6108956425123445 0.47514780150193037 , 0.46363431358328694 0.9888968376700235 , 0.7815099997915792 0.2768871785706101 
0.594599006726972 0.48368242736721395 , 0.47066378280227084 0.9831741736458772 , 0.7907771663579678 0.2740752167294728 
0.5789145846385333 0.49181767543252003 , 0.47784558694813484 0.9769579478108216 , 0.7992797843005425 0.2721561944992224 
0.5637832058509339 0.4996991528008732 , 0.48517307175524815 0.9702183300434887 , 0.8070836782810287 0.2710143348982022 
0.5491584809207188 0.5074469477064933 , 0.49263727649818145 0.962922861799374 , 0.8142441984683103 0.27056200823669674 
0.5350055287739924 0.5151638697799086 , 0.5002264769466978 0.9550362556138652 , 0.8208079501665204 0.2707316923487903 
0.521300029670862 0.5229409522896846 , 0.5079256116463152 0.9465201856362376 , 0.8268143145700334 0.27147067981664186 
0.5080277082436896 0.5308612273944154 , 0.515715561633107 0.9373330868506943 , 0.8322966860104141 0.27273750349745435 
0.4951842641184255 0.5390023560912869 , 0.5235722466406829 0.9274299909401263 , 0.8372834451281022 0.2744994707111509 
0.4827757533897389 0.5474384387394231 , 0.5314654934910127 0.9167624435605886 , 0.8417987090064589 0.2767309354425524 
0.47081943198589793 0.5562411659456619 , 0.5393576262793863 0.9052785742127998 , 0.8458628976219262 0.27941207758410247 
