0.641188847139093 0.07354819825499304 , 0.7135881372003345 0.7734032728475311 , 0.11620884029320266 0.4445766101053955 
0.6490644825411495 0.07590761841930947 , 0.7025204778773942 0.7698681945148428 , 0.11940086421408647 0.4457522682737674 
0.656765885154683 0.07859903753390664 , 0.6912474986792719 0.766027936699296 , 0.12297244079867523 0.446901106974717 
0.6642886111550111 0.08162512426116675 , 0.6797660468596054 0.7618720471916948 , 0.12693116661801365 0.4480309097550582 
0.6716275038606835 0.08498893144125572 , 0.6680723923510575 0.7573892663165691 , 0.13128592842088915 0.44914988345009493 
0.6787766567964381 0.08869388039226582 , 0.6561621174846838 0.75256741543066 , 0.13604705035150835 0.45026678538499393 
0.685729369489072 0.09274374521451195 , 0.6440299785994383 0.7473932613142574 , 0.14122647654411988 0.4513910746791504 
0.6924780955866207 0.09714263629710872 , 0.6316697310292871 0.7418523491508852 , 0.14683799801672243 0.4525330957599259 
0.6990143828221754 0.10189498215016826 , 0.6190739059095107 0.7359287939820921 , 0.152897535900944 0.45370430507565945 
0.7053288042898346 0.10700550858568716 , 0.6062335229155909 0.7296050164129827 , 0.15942349742720469 0.45491755620925 
0.7114108804682929 0.11247921414628945 , 0.5931377168047174 0.7228614022176215 , 0.1664372273596198 0.4561874648440089 
0.7172489914275937 0.1183213405378223 , 0.5797732464746828 0.7156758561819521 , 0.17396358673035367 0.45753088448814555 
0.7228302787016051 0.12453733666850639 , 0.5661238415860719 0.7080232060584846 , 0.18203170434495314 0.4589675384809289 
0.7281405364247586 0.1311328147515758 , 0.5521693209827107 0.6998743894921216 , 0.19067596722516084 0.4605208769642225 
0.7331640915484148 0.13811349682241514 , 0.5378843847854151 0.6911953191529834 , 0.19993734829880022 0.4622192652325214 
0.7378836733170503 0.14548515001233064 , 0.523236930584064 0.6819452579190162 , 0.20986522073151587 0.4640976732765731 
0.7422802727690065 0.1532535091086788 , 0.5081856604926415 0.6720744254471379 , 0.2205198913709821 0.4662001466521032 
0.7463329939457167 0.16142418548633242 , 0.49267660699886406 0.6615203573696513 , 0.23197622368804927 0.46858353835193617 
0.7500188999458023 0.17000256271322634 , 0.47663797226614907 0.650202160383356 , 0.24432895242067873 0.4713233581113375 
0.7533128593248478 0.17899368152410494 , 0.4599722880833687 0.6380110594647502 , 0.2577006772244136 0.4745233402190646 
0.7561874024234436 0.1884021213169257 , 0.44254431651039794 0.6247940902187256 , 0.2722541056987885 0.47833186967226854 
0.7586126049179801 0.1982318934325731 , 0.424162597575508 0.6103245094033584 , 0.288210622139142 0.4829716783719883 
0.7605560322703708 0.20848637592371952 , 0.4045547258017826 0.5942458450349317 , 0.30587506656047664 0.4887958602492686 
0.7619828183629799 0.21916834398865234 , 0.38335967092752227 0.5759689713913944 , 0.3256433353421279 0.4963907658278731 
0.7628560586776018 0.2302801821033127 , 0.36032613275387 0.5545661685947673 , 0.3478036332011583 0.5066817305098399 
0.7631379822809651 0.24182432943207588 , 0.3366669464207678 0.5294940549197964 , 0.3711808959308972 0.5202096968560476 
0.7627925554790853 0.2538034674789109 , 0.31618599279998877 0.5034468187331675 , 0.392007276353556 0.5342777949958414 
0.7617871440810066 0.2662195999338238 , 0.29953374359005186 0.47865206797202464 , 0.40966493696157164 0.5466564133020714 
0.7600909286416878 0.27907417118566114 , 0.2857299270642859 0.45525894510621895 , 0.4251649689266564 0.5571949649160397 
0.7576732675448827 0.29236917918502764 , 0.2740256689878195 0.4330196591166918 , 0.43928688809992783 0.5661392429062003 
