0.2892604945069479 0.966258196158008 , 0.7685194984207372 0.5351661721604258 , 0.21978984222704478 0.3420188276640974 
0.2864202684529192 0.9475662247228377 , 0.7739624731388497 0.5461798539424801 , 0.21718709356296098 0.3496971173172134 
0.28373608097510783 0.9284574404216487 , 0.7789596521163259 0.557255601606944 , 0.21487410206329616 0.35773015395393865 
0.2812182102082189 0.9089107281595965 , 0.7835031736367876 0.5683926198781972 , 0.21284845130972344 0.3661398479447376 
0.2788765091626204 0.888902061894814 , 0.7875838101383406 0.5795884893233848 , 0.21110951585376897 0.3749526447643325 
0.2767199630548123 0.8684035694929506 , 0.7911911687911412 0.5908390094354486 , 0.20965870330877656 0.38420061705413194 
0.27475606634225713 0.8473821959270538 , 0.7943139260111589 0.6021380379562139 , 0.20849984280131392 0.3939229620992636 
0.2729899383607627 0.8257977664863352 , 0.7969401045146353 0.6134773366560557 , 0.20763979227933205 0.4041680928401403 
0.2714230450894672 0.8036001361720525 , 0.799057399881363 0.6248464369487302 , 0.2070893901838998 0.4149966228617486 
0.2700512976760302 0.7807249138773353 , 0.8006535609259962 0.6362325422042354 , 0.20686497655270364 0.42648573990096056 
0.26886210489066903 0.7570869000015312 , 0.8017168242163085 0.647620487162546 , 0.2069909060477524 0.43873580881845403 
0.2678295461049479 0.7325697367425759 , 0.8022363976952258 0.6589927781194277 , 0.20750389135455619 0.4518806811205277 
0.26690589957945693 0.7070090841366437 , 0.8022029816596381 0.6703297403189395 , 0.20846095391563488 0.46610437152694806 
0.2660054846913251 0.6801645266447086 , 0.8016093077284246 0.6816098015218018 , 0.20995504273498017 0.48166886781602086 
0.2649708007018679 0.6516727423892367 , 0.8004506684578814 0.6928099448640417 , 0.2121483659949807 0.4989605087292529 
0.2634948136202485 0.6209807797771022 , 0.7987254013875684 0.7039063760797694 , 0.21534962014691303 0.5185560401256597 
0.2609415252199489 0.5873650627758272 , 0.7964352723206912 0.7148754880793458 , 0.2201930376140898 0.5412026451273583 
0.25617808868585573 0.5509719558676719 , 0.793585608837288 0.7256953099528498 , 0.22780613763158616 0.5667759301620094 
0.24925800337814819 0.5160309987592145 , 0.7901845197728802 0.7363476656714004 , 0.23812731200370152 0.5910645315519162 
0.2420349736822699 0.48499057944431695 , 0.7862398567574659 0.746819502377581 , 0.24929500471499413 0.6116331141606332 
0.23522146479983477 0.4570692947254831 , 0.7817565044952358 0.7571012987227617 , 0.2605918658596593 0.6292726025342863 
0.22893865725068965 0.4313959173178483 , 0.7767356287032425 0.767185328106487 , 0.2718955492007977 0.6448619505581957 
0.22316734333225455 0.40739638466905587 , 0.7711744678087722 0.7770645939409228 , 0.2832280240137032 0.6589822173725524 
0.2178610479040334 0.3847002662430404 , 0.7650661427333281 0.7867321181655376 , 0.2946426445173684 0.672010811573953 
0.21297259235353172 0.3630586957267341 , 0.7583993607145734 0.796180378595893 , 0.30619788208662474 0.6842041216599039 
0.20845995368128864 0.3422967173438043 , 0.7511579617401901 0.8054007868393512 , 0.3179519197332511 0.6957456917993754 
0.20428690688688528 0.32228626934366816 , 0.7433202586967594 0.814383133672857 , 0.3299626695710851 0.7067737929660058 
0.20042239397508893 0.30293035396440804 , 0.7348581045340514 0.8231149339623521 , 0.34228933664558947 0.7173979080557709 
0.19683968515981082 0.28415336111080886 , 0.7257355875592136 0.8315805890897197 , 0.35499456243570543 0.7277092457820025 
0.1935156134823654 0.2658949076723831 , 0.7159072044115902 0.8397602500937281 , 0.36814701726077437 0.7377880382164198 
0.19042993919665263 0.24810576893355687 , 0.7053152773750704 0.8476281984005539 , 0.381824618583007 0.7477092286484202 
0.1875648370415726 0.2307451036481815 , 0.6938862468220497 0.8551504378646755 , 0.39611875129110774 0.757547654469674 
0.18490448488771455 0.21377850730668 , 0.6815252431851244 0.8622809577120346 , 0.411140107081891 0.7673837309638164 
0.18243473192147586 0.19717661235632508 , 0.6681079650223092 0.8689556618858042 , 0.42702713821094496 0.7773109217404017 
0.18014282773417137 0.1809140599796061 , 0.6534682865111456 0.875081993441451 , 0.44395872090941296 0.7874471425614739 
0.17801719701154967 0.16496873115955635 , 0.6373792496537344 0.8805201652785777 , 0.46217338848944584 0.7979542995443969 
0.17604724687371953 0.14932116410378082 , 0.619525358127772 0.8850471263429032 , 0.48199723015323837 0.8090749055358469 
0.17422319479222287 0.13395411167628807 , 0.5994739640023447 0.8882842967438643 , 0.5038726763601623 0.8212047875623786 
0.1725359040327116 0.11885221481228442 , 0.5767280223091892 0.8895619763277037 , 0.5283059088128291 0.8350290048425428 
0.17097671271383125 0.10400179809508005 , 0.5513679718865517 0.8878487110825515 , 0.555225150554347 0.8515926868048995 
0.16953726778865646 0.08939084685745652 , 0.5262713864772195 0.8830126665959823 , 0.581761180888854 0.8710396825290923 
0.1682095267910437 0.07500914889173306 , 0.5047712953677616 0.8772710284701367 , 0.6045890129959247 0.8911630186206613 
0.16698599828623178 0.06084808715103172 , 0.4867091417485263 0.8718953784812726 , 0.6238746951199718 0.9106997303502267 
0.16585984006220317 0.04690015885798041 , 0.47119772182066055 0.8671346904532254 , 0.6405122732718662 0.9294083466713252 
0.16482482528625642 0.03315863166952323 , 0.4575710037070881 0.8629636347083239 , 0.6551740061613854 0.9473209296046838 
0.1638752786418483 0.019617338359622073 , 0.44538676215696277 0.8593068962803443 , 0.6683077943559189 0.9645189613425647 
0.163006013791231 0.006270551216776334 , 0.4343469921684106 0.8560904724225472 , 0.6802168291950884 0.9810821723432075 
0.16221227841594055 -0.0068870990473943496 , 0.42424333335381553 0.8532515226750912 , 0.691114223384974 0.9970787723548341 
0.161489707012219 -0.019860678453368648 , 0.41492463929505463 0.8507385361143036 , 0.7011554888474565 1.012565338321596 
0.16083428037534786 -0.03265498905234399 , 0.40627766475106586 0.8485095126011113 , 0.7104578900283164 1.0275886724337637 
0.16024229062851808 -0.04527459811171833 , 0.3982151965273373 0.8465300495925283 , 0.7191123479988748 1.042187744501721 
0.1597103108239818 -0.05772386061302225 , 0.3906684884320585 0.8447717459157688 , 0.7271910358986899 1.0563953106797843 
0.159235168337414 -0.07000693718576936 , 0.38358226896539477 0.8432109519749247 , 0.7347523978519215 1.0702391811933754 
0.15881392143896034 -0.08212780883628032 , 0.37691134172357815 0.8418278085828302 , 0.7418445719921918 1.0837431962359807 
0.1584438385512294 -0.094090289364845 , 0.37061820504222326 0.8406055086074267 , 0.7485077915612777 1.096927976739949 
0.15812237980130442 -0.1058980360720114 , 0.3646713438684704 0.8395297265058134 , 0.7547761114849556 1.1098115055487285 
0.15784718054772193 -0.1175545591662093 , 0.35904397716719816 0.8385881737622112 , 0.7606786774398103 1.1224095813865285 
0.15761603662017698 -0.12906323016073248 , 0.3537131215838673 0.8377702490934692 , 0.7662406769506861 1.1347361770497937 
0.15742689105392105 -0.14042728946482488 , 0.3486588794744951 0.8370667605209104 , 0.7714840646263142 1.146803724926445 
0.15727782213567165 -0.15164985331688713 , 0.3438638892294076 0.8364697024401014 , 0.7764281237896511 1.1586233468593161 
0.15716703260569917 -0.16273392016864224 , 0.33931289505503665 0.8359720751883555 , 0.7810899074939945 1.170205040962817 
0.15709283988329426 -0.1736823766017035 , 0.33499240607771813 0.8355677377702595 , 0.785484589193718 1.1815578348139744 
0.15705366720127803 -0.18449800283861023 , 0.33089042319375594 0.8352512866985782 , 0.7896257447596964 1.1926899121225625 
0.15704803555050328 -0.19518347789653928 , 0.32699621797090167 0.8350179555895118 , 0.7935255816333254 1.2036087182895578 
0.15707455634807688 -0.20574138442187923 , 0.3233001520173479 0.8348635313928882 , 0.7971951267893056 1.2143210490115213 
0.15713192475381652 -0.21617421323652877 , 0.3197935281541306 0.834784284062932 , 0.8006443822467832 1.2248331251561269 
0.15721891356862092 -0.22648436762135862 , 0.31646846683115587 0.8347769071708406 , 0.8038824547549536 1.235150656433048 
0.15733436765627734 -0.23667416735821442 , 0.3133178027642118 0.8348384674881917 , 0.8069176647342413 1.245278895852553 
0.15747719883698463 -0.24674585254874998 , 0.31033499790720304 0.8349663619742296 , 0.8097576384105428 1.2552226865570506 
0.1576463812067151 -0.25670158722599884 , 0.3075140677244098 0.8351582809119864 , 0.8124093862236056 1.2649865022965425 
0.1578409468416201 -0.2665434627727233 , 0.30484951837074736 0.8354121761809469 , 0.8148793699423631 1.2745744825743066 
0.15805998185112083 -0.27627350115908883 , 0.3023362928792081 0.8357262338443681 , 0.8171735604244016 1.283990463297251 
0.15830262274721119 -0.2858936580110004 , 0.299969724833292 0.8360988503798019 , 0.8192974875742274 1.2932380036137285 
0.1585680531009151 -0.2954058255194319 , 0.2977454982966093 0.8365286120010614 , 0.8212562837572062 1.3023204095009004 
0.1588555004598503 -0.30481183520023564 , 0.2956596130025725 0.8370142766157392 , 0.8230547216923078 1.3112407545670264 
0.15916423350350992 -0.3141134605131912 , 0.2937083539893194 0.8375547580396548 , 0.8246972476619012 1.3200018984560664 
0.15949355941522808 -0.32331241934842136 , 0.29188826500995246 0.8381491121522532 , 0.82618801072955 1.3286065031786982 
0.1598428214518864 -0.33241037638774223 , 0.29019612516424315 0.8387965247280642 , 0.827530888538601 1.3370570476422081 
0.160211396694276 -0.34140894534801525 , 0.2886289282914789 0.8394963007212137 , 0.8287295101689757 1.3453558406093316 
0.16059869396268614 -0.35030969111311394 , 0.2871838647399515 0.8402478548144903 , 0.8297872764520929 1.3535050322811537 
0.16100415188376777 -0.3591141317607062 , 0.285858305190397 0.8410507030730547 , 0.8307073780805658 1.3615066246701815 
0.16142723709604032 -0.367823740489672 , 0.2846497862613642 0.8419044555666635 , 0.831492811797326 1.3693624809055385 
0.16186744258259272 -0.3764399474536243 , 0.28355599766622547 0.8428088098441547 , 0.8321463949059124 1.3770743335919995 
0.1623242861205882 -0.38496414150567715 , 0.28257477072609666 0.8437635451606377 , 0.8326707783080457 1.3846437923275694 
0.16279730883813362 -0.39339767185929697 , 0.28170406807166853 0.8447685173718955 , 0.8330684582449284 1.3920723504699313 
0.16328607386992924 -0.4017418496697927 , 0.28094197439095403 0.8458236544224299 , 0.8333417868938472 1.3993613912298926 
0.16379016510388217 -0.40999794954073177 , 0.2802866881000914 0.8469289523637008 , 0.8334929819507569 1.4065121931595608 
0.16430918601156114 -0.4181672109593212 , 0.2797365138313017 0.8480844718477639 , 0.8335241353118676 1.413525935094087 
0.16484275855599392 -0.4262508396645574 , 0.2792898556464382 0.8492903350489202 , 0.8334372209522983 1.420403700598167 
0.1653905221708732 -0.4342500089517303 , 0.27894521089673324 0.8505467229723693 , 0.833234102087124 1.4271464819618906 
0.16595213280574647 -0.44216586091665877 , 0.27870116465971456 0.8518538731143773 , 0.8329165376892694 1.4337551837848113 
0.16652726203222729 -0.44999950764284086 , 0.2785563846931215 0.8532120774432512 , 0.8324861884293817 1.4402306261821194 
0.16711559620668234 -0.4577520323345203 , 0.2785096168532509 0.8546216806745984 , 0.8319446220947972 1.4465735476424515 
