0.5246814456823968 0.0247368742196995 , 0.31952277978258237 0.30507226076111127 , 0.8926385255957501 0.5582205891300881 
0.5267742668287793 0.00944876505146018 , 0.3139656415651972 0.3221032659525591 , 0.8961028426667529 0.5564776931068796 
0.528635781859306 -0.005133244207370741 , 0.30899081147329993 0.3387033832420878 , 0.8992161577281234 0.5544595850761818 
0.5303195994025028 -0.019072340477699665 , 0.30454134675872024 0.3549234112324024 , 0.9019818048995062 0.5521786533561961 
0.5318663103631305 -0.03242114997541129 , 0.3005737875859286 0.370804240297949 , 0.9044026531116701 0.5496466337883611 
0.5333072865371603 -0.045223909455792244 , 0.2970542835446034 0.38637896104747826 , 0.9064811809789655 0.5468746725192128 
0.5346672134745757 -0.05751813345197593 , 0.29395599989455445 0.4016744731839624 , 0.908219537691599 0.5438733843789124 
0.5359658247767164 -0.06933589452152765 , 0.29125733295965167 0.4167127122363418 , 0.909619593324361 0.5406529063960847 
0.5372191180935303 -0.08070481216755547 , 0.2889406518470971 0.43151158981290666 , 0.9106829811201017 0.5372229464655477 
0.5384402259381396 -0.0916488232201359 , 0.2869913914360958 0.446085719922375 , 0.9114111336864937 0.5335928274086598 
0.5396400511883341 -0.10218878763964792 , 0.2853973852842732 0.460446984995181 , 0.9118053145881218 0.5297715267553658 
0.540827738755785 -0.11234296945935737 , 0.28414836582589864 0.47460498097403075 , 0.9118666464790454 0.5257677125962255 
0.5420110309914293 -0.12212742214205961 , 0.28323558339817084 0.48856737041703535 , 0.9115961366711289 0.5215897758359231 
0.5431965391402183 -0.13155630005158434 , 0.28265151107361475 0.5023401650170655 , 0.9109947008468962 0.5172458591454178 
0.5443899532100679 -0.1406421122511284 , 0.28238961236537846 0.5159279534941172 , 0.9100631854852829 0.5127438828679101 
0.5455962060002102 -0.1493959308461049 , 0.2824441555985247 0.5293340868675995 , 0.9088023894619943 0.5080915680894043 
0.5468196025471356 -0.15782756316285956 , 0.2828100633094237 0.5425608302332592 , 0.9072130852041699 0.5032964570404993 
0.5480639231525892 -0.16594569489334285 , 0.2834827881930854 0.5556094880508315 , 0.9052960397150546 0.49836593095341025 
0.5493325059911669 -0.17375800972574512 , 0.28445820933614924 0.5684805083790344 , 0.9030520357334131 0.49330722545760963 
0.5506283137549971 -0.18127128977100823 , 0.28573254405498405 0.5811735703228826 , 0.900481893250748 0.48812744355902454 
0.5519539876834855 -0.18849150017765 , 0.2873022718031385 0.5936876580771415 , 0.8975864915741052 0.4828335662114075 
0.5533118915165396 -0.19542386062575978 , 0.2891640674530871 0.6060211242823985 , 0.8943667920911025 0.47743246045426024 
0.5547041473118786 -0.20207290585010734 , 0.2913147418838761 0.6181717449014771 , 0.8908238618649745 0.47193088505952924 
0.5561326646205155 -0.20844253692198023 , 0.2937511882808093 0.6301367674335806 , 0.8869588981594044 0.46633549359929855 
0.5575991641773405 -0.21453606469030415 , 0.2964703329189179 0.6419129539820929 , 0.8827732539644708 0.4606528348191102 
0.5591051970064228 -0.22035624652319147 , 0.29946908948915063 0.6534966204573671 , 0.8782684645651557 0.4548893501767233 
0.5606521596422351 -0.22590531728522845 , 0.30274431625680176 0.6648836730114808 , 0.8734462751616923 0.44905136838464654 
0.562241306013405 -0.23118501532151123 , 0.3062927755313966 0.6760696426550258 , 0.8683086695159276 0.44314509677738434 
0.5638737564138758 -0.23619660408757936 , 0.31011109508747103 0.6870497188865071 , 0.8628578995593823 0.4371766093119711 
0.5655505038894908 -0.24094088995805282 , 0.314195731314652 0.6978187830647972 , 0.8570965158565863 0.4311518310041545 
0.5672724182900666 -0.24541823666064597 , 0.318542933999041 0.7083714421677196 , 0.8510273987716216 0.4250765186038252 
0.5690402481735646 -0.24962857671220334 , 0.3231487127501498 0.7187020634996891 , 0.8446537901370148 0.4189562373234131 
0.5708546206966737 -0.2535714201762728 , 0.3280088051910643 0.72880481083368 , 0.8379793251729912 0.4127963334534917 
0.5727160395824443 -0.2572458610149729 , 0.33311864712537737 0.738673682393599 , 0.8310080643529075 0.40660190273227276 
0.5746248812186204 -0.2606505812695062 , 0.33847334498287673 0.7483025509989708 , 0.8237445248592321 0.40037775438143425 
0.5765813889084767 -0.26378385327198395 , 0.34406765092613517 0.7576852066019059 , 0.8161937112261175 0.3941283707809769 
0.5785856652680734 -0.26664354006491137 , 0.3498959410702559 0.7668154013445256 , 0.8083611447224 0.3878578628312845 
0.5806376627388892 -0.2692270941826094 , 0.3559521973255081 0.7756868971520958 , 0.800252890996332 0.38156992114141236 
0.5827371721619145 -0.2715315549300469 , 0.36222999341423096 0.7842935157527776 , 0.7918755854845838 0.375267763288168 
0.5848838093377133 -0.2735535442781812 , 0.36872248563551924 0.7926291908800049 , 0.7832364560874966 0.368954077509075 
0.5870769994758922 -0.275289261480214 , 0.37542240894997553 0.8006880222701839 , 0.7743433426348615 0.36263096332092887 
0.5893159594160678 -0.27673447649949173 , 0.38232207892852105 0.8084643309202545 , 0.7652047127161403 0.35629986969013605 
0.5915996774798983 -0.27788452232654703 , 0.38941340005074493 0.8159527149216593 , 0.755829673530086 0.3499615315157865 
0.5939268907890086 -0.2787342862494933 , 0.3966878807474013 0.8231481050458044 , 0.7462279795243193 0.34361590531458774 
0.5962960598555014 -0.27927820012827986 , 0.40413665545776495 0.8300458191286935 , 0.7364100357474629 0.33726210511048516 
0.5987053402187563 -0.27951022970895606 , 0.41175051381687433 0.8366416141973587 , 0.7263868970250986 0.3308983396224961 
0.6011525508626738 -0.2794238629990442 , 0.4195199369037343 0.8429317352064943 , 0.7161702632943212 0.32452185190344857 
0.6036351390993646 -0.2790120977095871 , 0.42743514027528146 0.8489129592183593 , 0.7057724716860833 0.3181288626021266 
0.6061501415460969 -0.27826742775395497 , 0.4354861232907281 0.8545826338692983 , 0.6952064862239042 0.3117145179955554 
0.6086941407492245 -0.2771818287790041 , 0.4436627240073387 0.8599387090268127 , 0.6844858863041661 0.3052728438630902 
0.6112632169184397 -0.27574674269214766 , 0.4519546787138877 0.8649797606538138 , 0.6736248554284019 0.2987967061492327 
0.613852894123069 -0.27395306114045326 , 0.46035168497487594 0.8697050060599537 , 0.6626381719627843 0.29227777919139836 
0.6164580801645675 -0.27179110789800154 , 0.4688434668996599 0.8741143099284608 , 0.6515412039965018 0.28570652208043956 
0.6190729991703816 -0.2692506201294872 , 0.4774198412371687 0.8782081807518202 , 0.6403499106531789 0.27907216348856595 
0.6216911157474219 -0.2663207285269136 , 0.48607078283753713 0.8819877575788393 , 0.6290808524757703 0.27236269505897326 
0.6243050492807789 -0.26298993636961365 , 0.49478648802200687 0.8854547872546978 , 0.6177512137579434 0.26556487322581485 
0.6269064766558023 -0.25924609764569145 , 0.5035574344630045 0.8886115926088455 , 0.6063788399419223 0.25866422914774506 
