0.3097720164330914 0.3441949395809786 , 0.23158044707319547 0.9679153663516848 , 0.17407927723432692 0.5366322421568218 
0.3068374858747744 0.33592227810955017 , 0.22674537064871028 0.9727710366457384 , 0.18184888421712914 0.5400492333341967 
0.3031576857100587 0.3290513656788163 , 0.22188903695769058 0.9769079086068044 , 0.19038501807286454 0.5427832738038646 
0.29881926914034124 0.32360003675408927 , 0.2170255342386696 0.9803326450880253 , 0.19958693736160296 0.5448098662473708 
0.2939034610222283 0.31959404869806696 , 0.2121698107693036 0.983051371888248 , 0.20935846894908186 0.5460971275031705 
0.2884891066092349 0.3170676502406632 , 0.20733743473782598 0.9850701275663517 , 0.21960519939355289 0.5466047702824706 
0.28265559439300014 0.3160642592937346 , 0.2025443054585835 0.9863952028194941 , 0.2302318408890301 0.5462830859762567 
0.27648592635915265 0.31663730228371095 , 0.19780632607448806 0.9870333642469429 , 0.24113948830697304 0.5450718815588316 
0.2700702434740968 0.3188512331524993 , 0.19313905240420942 0.9869919546976135 , 0.2522224448623075 0.5428993602393726 
0.26351019966743544 0.3227826975664856 , 0.18855733681431444 0.9862788621333124 , 0.2633642042588638 0.5396809883896874 
0.2569247307554021 0.3285216997966943 , 0.18407498927921936 0.984902350108149 , 0.2744320207059922 0.535318498184642 
0.2504580103015059 0.33617239182554937 , 0.1797044798830169 0.9828707443178976 , 0.2852692505560909 0.5296994119460384 
0.24429074237818976 0.34585257526442625 , 0.1754567083305843 0.9801919696955045 , 0.29568429003183966 0.5226980031295546 
0.23865636856149391 0.3576898333088533 , 0.17134086798270462 0.9768729296761347 , 0.30543450419641516 0.5141797851044974 
0.2338639362234313 0.3718096447530758 , 0.16736443737219167 0.9729187125425445 , 0.31420336714499075 0.504014190793865 
0.23032793611969393 0.3883054929912278 , 0.1635333460336024 0.9683316003542202 , 0.32157045858731736 0.4921054547440374 
0.22859788786722324 0.40717145246914477 , 0.15985239116697325 0.9631098517397264 , 0.32698146170641723 0.4784612438806142 
0.22935549419124715 0.42816876361373857 , 0.15632603378487292 0.9572462574336192 , 0.3297502127644936 0.4633275270421276 
0.23329366416005767 0.4506256434018682 , 0.15295976309277326 0.9507265947880378 , 0.32917831348778276 0.4473903098995794 
0.2407763436670652 0.4733243496889106 , 0.14976218385916 0.9435284357455478 , 0.32489321321438847 0.43188976265502704 
0.25144649152209275 0.49481616450500765 , 0.14674760842048398 0.9356211886474806 , 0.3172376407980369 0.4183051949369972 
0.2643064206545126 0.5140808318583291 , 0.1439382419067318 0.9269680119801952 , 0.30718707817936924 0.4076937042509611 
0.2782433815527862 0.5308060976580984 , 0.14136500113405448 0.9175288870560135 , 0.2958233580537729 0.40040756337537337 
0.29238798637800195 0.5451562282922277 , 0.1390669869307511 0.9072633441008515 , 0.28397676743186057 0.3963229756964062 
0.30615763811583074 0.5574752810884012 , 0.1370903147963578 0.8961319866543282 , 0.27218378782842506 0.39513528034675593 
0.31917785764620815 0.5681239444675789 , 0.1354869414137416 0.8840967500104638 , 0.2607669416806639 0.3965218536114427 
0.33120213865565923 0.5774193709554324 , 0.13431385955461478 0.8711201179441783 , 0.24991574253033963 0.4002030591898747 
0.3420569537093825 0.585622271819633 , 0.13363285483569085 0.8571635144116823 , 0.2397419321955403 0.40595676185817015 
0.351607648477079 0.5929408566376674 , 0.13351093488632418 0.8421849794382523 , 0.23031315737721048 0.4136167120135657 
0.35973725689261904 0.5995391011214283 , 0.1340215271091387 0.8261360881980183 , 0.2216729567388559 0.42306735877003887 
0.3663323979765361 0.6055448781139652 , 0.13524658457106042 0.8089578704594889 , 0.21385275819301708 0.4342397995160314 
0.3712725495611404 0.6110565687074663 , 0.1372798463487913 0.790575182796092 , 0.2068793448306819 0.4471107965859273 
0.37442026406106954 0.616147793484237 , 0.14023169235712077 0.7708884597274105 , 0.20077978432242333 0.46170629487783793 
0.37561042789838933 0.620870087933324 , 0.14423636219216096 0.7497607576241553 , 0.19558495065006332 0.47811170253200613 
0.3746366464913676 0.6252530899476363 , 0.14946284751481922 0.7269959126402283 , 0.1913322467344268 0.49649354550162084 
0.37123236265844245 0.6293010834506239 , 0.15613151347628398 0.7022992462893473 , 0.18806786460588718 0.5171422183495145 
0.36504364778737597 0.6329831343347504 , 0.16453840674957376 0.6752048710223763 , 0.1858496862036639 0.5405545427323589 
0.35559144934125403 0.6362106463380411 , 0.1750779073082091 0.644968136169693 , 0.18476238409115048 0.5675637655817515 
