0.18487493517289866 0.13610224292465722 , 0.5453313400476892 0.3471487161410697 , 0.2812597152028713 0.057487025045693474 
0.1916984812346371 0.14208388735138366 , 0.5496093266987198 0.33686763943266207 , 0.2701581824901023 0.06178645732737463 
0.20131536244873657 0.14596640066567176 , 0.5529810647683143 0.32590776250803966 , 0.25716956320640827 0.06886382093770896 
0.21357384225497256 0.14718577583257533 , 0.5553859373485295 0.3142934137254735 , 0.24250621081995713 0.07925879455337156 
0.22790016189750117 0.1451429070408039 , 0.5567545273666552 0.3020478811770573 , 0.22681130115930281 0.0935471958935592 
0.24275971185778317 0.1397702089626255 , 0.557009023795443 0.2891926947759632 , 0.211697254770233 0.11177508037283167 
0.2558421836092419 0.1325139857610309 , 0.5560654058140327 0.2757472903939837 , 0.19955840100018452 0.13247670795640576 
0.2659161915943971 0.12559708154044114 , 0.5538357031910276 0.26173115837522726 , 0.19171409563803443 0.15340974419575196 
0.273191889904178 0.12038516379373107 , 0.5502260694247368 0.2471678035017428 , 0.18804803109454438 0.17318501681594645 
0.2783059447442011 0.1174193241863612 , 0.5451312573876517 0.2320881751111164 , 0.18802878829160644 0.19123048481394272 
0.2818504002653923 0.11688532822704974 , 0.5384280162369277 0.2165341655686049 , 0.19118757392113928 0.20731849031576566 
0.28430259155004645 0.11885659396946836 , 0.5299679738363285 0.20056388162354105 , 0.19719542503708434 0.2213175085184109 
0.2860532898041861 0.12338689678682742 , 0.5195698101719076 0.18426060204540307 , 0.2058428904473656 0.23309048527918982 
0.28744421184107977 0.13054259076640204 , 0.5070110259424425 0.1677481849101276 , 0.21701075263993708 0.24244720843489065 
0.2887985342924272 0.1404100925964716 , 0.49202150023778746 0.1512173804462016 , 0.23064595589324471 0.2491105110687471 
0.2904420562308551 0.15308795010606208 , 0.4742859298400246 0.1349695151446699 , 0.24673800435257964 0.2526805188606883 
0.29271378293113703 0.1686583944519554 , 0.45347307939538967 0.11948301662584272 , 0.26527912809693266 0.2525965730336222 
0.29597808077498133 0.18710681176193253 , 0.4293259747280207 0.10549265348659581 , 0.2861619349204574 0.24813851886289198 
0.3007244020234944 0.20803451616946586 , 0.40184397483735146 0.0940233253323683 , 0.3088976135626136 0.23868014260958617 
0.3078483831445513 0.22973370519012615 , 0.3715111213595417 0.08627481026197374 , 0.33210648591936637 0.22472946865932047 
0.31817865325605865 0.24874943356896545 , 0.33945877535182567 0.0833232210655618 , 0.3538285618155751 0.20866532947689315 
0.331237782092955 0.2627729294913149 , 0.3074614905381214 0.08562503349207395 , 0.3727667177923831 0.1923400211280315 
0.34594698737883267 0.2714665208924102 , 0.27733040238970313 0.09258614725906422 , 0.3881886006549237 0.17668531595994597 
0.36138783121233875 0.2752210647931513 , 0.2500824437888718 0.10299090845606798 , 0.399995715422249 0.16252601086220111 
0.3769175477253801 0.27453009370020753 , 0.2259648152625538 0.11571688467610551 , 0.4085836274355256 0.15049100573510732 
0.39210552300209356 0.26980881262603756 , 0.20486916840204897 0.12994927823293304 , 0.414491299019317 0.14097989325244978 
0.4066554608046787 0.2613480126777487 , 0.1865809755614658 0.14512087441182636 , 0.41822955405731504 0.1342690970218453 
0.4203365135228793 0.24930251246106605 , 0.1708714810445847 0.16082743251529633 , 0.42025799585599555 0.13060803913505803 
0.43291422835329363 0.23369162893489348 , 0.15752486554260048 0.17677167545708306 , 0.4210268965275654 0.13027467971944387 
0.4440608955220067 0.21442823684865725 , 0.14634460756832332 0.19273051747182143 , 0.42106048733312945 0.13357922979094172 
0.45322162916201375 0.19146875470306174 , 0.13715380822062895 0.20853600153078428 , 0.4210905530408168 0.1407332278775744 
0.45949381526459915 0.165359301740052 , 0.129793492834428 0.2240640580915584 , 0.4221786823244323 0.15131462427981 
0.46200296252814016 0.13826170651486994 , 0.1241193473124119 0.23922721964438776 , 0.4253436805829074 0.1632490579521627 
0.46102618148031627 0.11327753574505062 , 0.11999785319715818 0.2539667929330437 , 0.43044195574598504 0.1734936554333261 
0.4576980999434142 0.09197227523033479 , 0.11730596446070447 0.26824214609636854 , 0.43646192601934086 0.18052356278471707 
0.45296414551767794 0.07452978793822301 , 0.1159336402195458 0.28202178030836134 , 0.4425682046862358 0.18418641586483606 
0.447419023242728 0.06072262712532875 , 0.11578479281619394 0.2952783327251364 , 0.4482621743645377 0.18473702426095523 
0.44144174018623666 0.050302966729119575 , 0.11677627781273604 0.3079859630820606 , 0.45324797242448694 0.1824490543002402 
0.4353031030492016 0.043097378603902135 , 0.11883603443662676 0.3201188767093082 , 0.4573268529376313 0.17752172879821002 
0.42922920161683875 0.039020495631297676 , 0.12190109995573073 0.33165042115658994 , 0.4603356888508902 0.17006706732353274 
0.4234433990846946 0.03807272535041869 , 0.1259158130704363 0.3425525128786956 , 0.4621067782683288 0.1601127458823061 
0.41820374256672993 0.0403359889620824 , 0.13083032994948235 0.3527952836724316 , 0.46243191790724747 0.14760671147690635 
0.4138482911668499 0.04596060376888738 , 0.13659952057734864 0.3623469045962396 , 0.4610181786792612 0.1324304757462934 
0.41085557934839856 0.05510335815769936 , 0.14318232689890867 0.3711736043724235 , 0.4574280841761525 0.1144610215812975 
0.40988602027892457 0.06767427976240818 , 0.1505416990532886 0.3792399981479631 , 0.45103827109124656 0.0938237062010491 
0.411548677109444 0.0825722311577142 , 0.15864514910085342 0.3865100316551893 , 0.44127216421316234 0.0716557212985169 
0.4154139943069212 0.0969723179083141 , 0.16746533036576472 0.39294888841407316 , 0.42858666575077387 0.05081677778903318 
0.4198537170384774 0.10845697206787391 , 0.17697898135727533 0.3985246742832568 , 0.4146332920277071 0.03375633776028977 
0.42362037815616943 0.11659457947721333 , 0.18716459084886936 0.403207128738538 , 0.40068102141842105 0.0209362758956692 
0.4261408904684201 0.12176955859128478 , 0.19800092304312186 0.4069645554168447 , 0.3873241769119179 0.012003870103291079 
0.4271674975410078 0.1244335837713736 , 0.20946623588677765 0.40976113831573424 , 0.37483225699567435 0.006543262024312726 
0.4265693096184391 0.12493760979436146 , 0.2215374989674001 0.4115549369830835 , 0.3633591818376206 0.0042454373339756366 
0.42424452301139765 0.1235244163867507 , 0.2341892963657935 0.4122963022109512 , 0.3530321710462687 0.004917265513718712 
0.42008027618837007 0.12034627881975248 , 0.2473922767792779 0.41192651041403827 , 0.34399343745581196 0.00846519487762988 
0.41392689254645426 0.11547994974541141 , 0.2611110562660414 0.41037653254667145 , 0.3364280416109643 0.014881501819337777 
0.4055721436690454 0.10893802887137864 , 0.2753015057707876 0.40756594047754885 , 0.330592340983627 0.024234014762493164 
0.39470991096263386 0.10068961188564642 , 0.2899074431041164 0.40340198586176335 , 0.32684863635670974 0.0366463863640109 
0.38091804851956695 0.09073906728632285 , 0.30485698996878485 0.3977787840914062 , 0.3256909519351083 0.05222013273369158 
0.3637658692032555 0.07943104208124285 , 0.3200593826022137 0.39057609735719123 , 0.32764073861799087 0.07073084467298654 
0.34351630511454356 0.06827436060081644 , 0.3354038243529945 0.38165622902375984 , 0.33254586095592203 0.09080739448684433 
0.32224272321143227 0.060053822790588345 , 0.3507612140666939 0.3708571651258191 , 0.3384620531453339 0.10982699619501318 
0.3021780162982148 0.05617731252246448 , 0.3659814444091861 0.357983564391689 , 0.3433065297160592 0.1265771071972672 
0.28421516316474815 0.05646333148681338 , 0.38087473080639 0.342797788466125 , 0.3463760964523219 0.1414768641584823 
0.26858135252415777 0.0604124957709493 , 0.3951750540795524 0.3250127362472464 , 0.3477095838197499 0.15531275209322495 
0.255343002748338 0.06761349820537502 , 0.4084793564763789 0.3042983466604881 , 0.3476436311987432 0.16882613924555756 
0.24456896797228703 0.07777369597902063 , 0.42015135785103674 0.28033889569405657 , 0.34674566460013634 0.1826253924383435 
0.23637796696975943 0.09068012906331993 , 0.4292095579187822 0.25303313884051243 , 0.34587846553491847 0.19702471620758835 
0.23095585833320464 0.10615069623384299 , 0.43437249491752045 0.2229451036286787 , 0.34613763717273505 0.21164218424889905 
0.22856634673086368 0.12397947383372997 , 0.43462819871992153 0.1916811571567704 , 0.3482714449726749 0.2250773531209204 
0.22955322046007245 0.14387938624986482 , 0.42995971158622365 0.16123972012806878 , 0.351953058377164 0.23561887773348716 
0.23431332083367667 0.16543550439344065 , 0.4210690961274847 0.13298532433350588 , 0.35608357346229874 0.24231715538447424 
0.24323014085214503 0.18808853448242252 , 0.408746823382409 0.10764211771762719 , 0.35948902618890616 0.24500733191137108 
0.25660486255103404 0.21116653805118035 , 0.39373335652494323 0.08565563847196088 , 0.3611277713474829 0.24391580758827958 
0.2746412472899903 0.23391386850127058 , 0.3767867288333224 0.06731005032768347 , 0.3600380143001474 0.23951406528246677 
0.29738834535710434 0.2553319395655637 , 0.35866467478969744 0.05269715231269767 , 0.3554129702766583 0.23270889223315946 
0.3241617802429504 0.2737874398376454 , 0.3400279368817373 0.041723910758249855 , 0.34727627329877236 0.22522663351552558 
0.3526119684276831 0.2874958764935709 , 0.32137271981889354 0.034187389042030544 , 0.33748130217688344 0.21905471857581943 
0.38007967588188457 0.29621645163105864 , 0.3030411416856269 0.029854297297862896 , 0.3283451728559486 0.21466723518249933 
0.40532107189050587 0.3008617878030224 , 0.2852772671934861 0.028510550161253367 , 0.3208676513394681 0.21136564614714512 
0.4280562039089017 0.30238232721276503 , 0.26827776113687 0.029981322958889212 , 0.31513202537768836 0.20837433393976665 
0.4483404791698596 0.3014790924710919 , 0.2522251397377283 0.03413306893380766 , 0.3109003715158722 0.20512582270652135 
0.4663098410856951 0.2986403293074462 , 0.23731010510865497 0.04086766503505096 , 0.30784604422911 0.2012299897689237 
0.4821018824739257 0.2942102715095078 , 0.2237492945992131 0.050113002078482724 , 0.3056148133503213 0.19641471052343035 
0.49583523856786327 0.28843892280955213 , 0.21180227921231054 0.06181005224460088 , 0.30382847264328633 0.19048900905726784 
0.5076068000910852 0.2815141014335791 , 0.20178967224463176 0.07589338722969177 , 0.30206951808774324 0.18333049544815 
0.5174939872288609 0.27358219552861107 , 0.1941116504532014 0.09225875938440778 , 0.29986035274139794 0.174897029198402 
0.5255580300631636 0.2647623312494932 , 0.18926035095244992 0.11070702357630896 , 0.29664760940784674 0.16526862928561864 
0.5318468250693376 0.2551568548299767 , 0.18780553492036778 0.1308511012867629 , 0.29181363043375486 0.15473002799468127 
0.5363965870258823 0.24485979367891064 , 0.19030670967924038 0.151986516182139 , 0.28476269371833746 0.14389167425037125 
0.5392315701809107 0.23396400635720258 , 0.19709021935655627 0.17299291192741684 , 0.2751442008859931 0.13378106582680147 
0.5403613940671687 0.22256687848706436 , 0.207931562770875 0.19245313428640282 , 0.2631730335854165 0.1257179713379537 
0.5397766658476196 0.21077405069666072 , 0.22194379876699843 0.20910313191217217 , 0.24974552580884207 0.12086080150258799 
0.5374450661129953 0.19870151650183962 , 0.23791478985304657 0.22226767026431107 , 0.23610613445741832 0.11976879734527018 
0.5333096199757206 0.18647779423414407 , 0.25476752406537173 0.23186825026872052 , 0.2233888463823678 0.1223919396085563 
0.527288748610059 0.1742478989503067 , 0.2717566445810691 0.2381549598516779 , 0.21242059723233203 0.12833512530943628 
