0.5157447260049967 0.6448376944366846 , 0.9320829996611867 0.56487864515262 , 0.6465945291985691 0.524906783814922 
0.5087067038663723 0.6460905158476347 , 0.9286124538602364 0.555689856240877 , 0.6571030971381437 0.5328427513157149 
0.5037207652777477 0.6460455044967851 , 0.9235418753194755 0.5465130155650925 , 0.6671596142675292 0.5420646033423488 
0.500795609342618 0.6448822806517712 , 0.91675835786447 0.5374294060509359 , 0.6768682876576645 0.5523114367015193 
0.49995044518574155 0.6427551063098814 , 0.9081304017474862 0.5285553518603148 , 0.6863414079315249 0.5633126652340303 
0.5012153282801048 0.6398009708208312 , 0.897514057648242 0.5200537248259653 , 0.6956928689364057 0.57476842775743 
0.5046308650826531 0.6361441991938722 , 0.8847640638687287 0.5121464731443559 , 0.7050273259133707 0.5863324510659983 
0.5102485900938916 0.6318978919193207 , 0.8697517611519062 0.5051259939153827 , 0.7144219036189549 0.597599237569523 
0.5181334996908625 0.6271622771440151 , 0.8523903927936355 0.499361445575752 , 0.7238983623802545 0.6080994006844594 
0.5283706839125178 0.6220199728774067 , 0.8326654578998768 0.4952948088059257 , 0.7333861130523579 0.6173083417208941 
0.5410786536905183 0.616527942387247 , 0.810663007802614 0.49342228235166524 , 0.7426805933716202 0.6246728986653143 
0.5564330973215132 0.6107049246905791 , 0.7865834484897195 0.49426132166893516 , 0.7514057090535198 0.6296568770447122 
0.5747072413709409 0.6045100141537051 , 0.7607249299106539 0.4983131949569946 , 0.7589900835831578 0.6317999142935268 
0.5963392193443171 0.5977998798896168 , 0.7334208232079706 0.5060454926927459 , 0.7646622123124649 0.6307777508218637 
0.6220316172020208 0.5902327961111572 , 0.7049297335817002 0.5179419218345244 , 0.7674609040810316 0.6264484054585449 
0.6527341618113587 0.5810842813666819 , 0.6754342605345287 0.5346751352478736 , 0.7662538325188654 0.618863706789671 
0.6880228204678811 0.5696777478688922 , 0.6465989452641542 0.5567504575103921 , 0.7598004891327175 0.6081949180249421 
0.7234588962890971 0.5590683811183763 , 0.6237478369899906 0.5810900035028013 , 0.7472155215856651 0.5944647387830488 
0.7573289792124205 0.5519686829503618 , 0.6073578811918428 0.6050052107514873 , 0.7297353944604895 0.5776492297023773 
0.786677454371669 0.5477725559889637 , 0.5961948060785548 0.6274578627840476 , 0.7115499944145289 0.5593927046312152 
0.8106581582910126 0.5448225952815615 , 0.5890792544468979 0.6477931560417999 , 0.6946848421268422 0.542007372080865 
0.8302067537922029 0.5423538569634105 , 0.5849834151832689 0.6657502009988199 , 0.6792320858892809 0.526519065441996 
