0.2579265611082675 0.6763211400761621 , 0.24419734364103807 0.9519151034671982 , 0.17946498057484805 0.9520200600908147 
0.25506534186069924 0.6679317925146384 , 0.24416947030235248 0.9539488311967215 , 0.18235407316110192 0.9583756799228152 
0.2519338636146763 0.6614920588540476 , 0.2403844162699125 0.9552281941938047 , 0.18927060543956484 0.9635360505863229 
0.24858004522632693 0.6569192475456841 , 0.2330588312690259 0.9561081209119424 , 0.19995000882880082 0.9672289351765485 
0.24504118896122074 0.6541624246685126 , 0.22299663103416384 0.9569741797844279 , 0.21355106532876908 0.9691196991812345 
0.2413487495719383 0.6531937566800409 , 0.21208994058834785 0.9580858222452842 , 0.22815019516386753 0.96897672470885 
0.2375326088093202 0.6540034123568853 , 0.20279012562700888 0.9593163195470907 , 0.2412661508878246 0.966936571730199 
0.23362403639694776 0.6566002762108111 , 0.19669759894413774 0.9602568388812041 , 0.2512672499830682 0.96339918854216 
0.22965695433867836 0.6610171759138592 , 0.19440267562673544 0.9604986442127774 , 0.25752925535873994 0.9587404835075385 
0.22566884675899257 0.6673178232002229 , 0.19603341295991072 0.9597002203723495 , 0.25988662560525044 0.9532382600616027 
0.22170247577292537 0.6756052792487112 , 0.20156929174026783 0.9575392321138763 , 0.25831711781096056 0.9471117922715877 
0.2178090057887611 0.6860333254762649 , 0.21086752957397106 0.9536545545830407 , 0.2529123499614216 0.9405684235748695 
0.21405327065260318 0.6988224002691751 , 0.22341850537427738 0.9476200902386195 , 0.2441171092972732 0.9338138131263806 
0.2105228292369952 0.7142815864396082 , 0.23781252206800924 0.9390358287476166 , 0.23325353401914933 0.9269388884469504 
0.20734510380824972 0.7328390885966147 , 0.25158184704537495 0.9277892258778859 , 0.2226619344705291 0.9196279891596745 
0.20472327923510264 0.755090875074687 , 0.26241479012538843 0.9140801020772822 , 0.2144508159636627 0.911085326482206 
0.20301428282979173 0.7818805242836686 , 0.2689751810594083 0.898055714795635 , 0.20959942143495372 0.9003200645548716 
0.20290101907520797 0.8143415130510098 , 0.2703436307891499 0.8796752327954008 , 0.2083442354597959 0.8862395577877645 
0.20569106349031002 0.8531706567338104 , 0.2653107056241614 0.8591647585656499 , 0.21058711620968235 0.8679208883347147 
0.2127165410742521 0.8938012841853454 , 0.25285293673923265 0.8388618627236224 , 0.21601940751066903 0.8475931567252072 
0.22225707675326895 0.9278750551479226 , 0.23511379856448486 0.822378120102795 , 0.22421801000640001 0.8300031283834575 
0.23228289928410084 0.9549824575956389 , 0.21589963083453376 0.810031984216768 , 0.23340635520551922 0.8152418618217679 
0.2420347066625914 0.9767156800210303 , 0.19864819687160892 0.8008020393753617 , 0.2409059817899535 0.802738584237783 
0.25128303460470186 0.9943112082333768 , 0.18518742469091057 0.7937081354676749 , 0.24511842602854142 0.7922369599331232 
0.2599597173853907 1.0085736949065627 , 0.17602582611929585 0.7880933163211435 , 0.24560334181946733 0.7835892924064687 
0.2680417874794773 1.0200258126060848 , 0.171203593539328 0.7835404387890115 , 0.24234350430534857 0.7766900522390785 
0.27551609216333267 1.0290160263990649 , 0.17068097773509658 0.7797630797662667 , 0.23539181542572463 0.7714771974688432 
0.28236849049582863 1.0357823967849504 , 0.17439751624094946 0.776539102414506 , 0.22482287858737576 0.7679348044347185 
0.2885813182710152 1.040490341194968 , 0.18207981260395162 0.7736865946640259 , 0.21092775444918707 0.7660793677751809 
0.29413440366625176 1.043256131028314 , 0.19267896175796453 0.7711126566422798 , 0.1947755198999376 0.7658875159635811 
