0.743523781972404 0.06962973006747097 , 0.8924507465425797 0.9968298696191416 , 0.6627743536211762 0.6748898772570067 
0.7421426761193594 0.05990707482897417 , 0.8918948598714032 0.9975400625924274 , 0.6647113461453974 0.6839023395222176 
0.7407487745460357 0.05053392502236565 , 0.8909667296175021 0.9976523784176434 , 0.6670333779726222 0.6931631735036101 
0.739345344125182 0.041495627460199816 , 0.8896471434490967 0.9971495364335382 , 0.6697563945618814 0.7027043130498811 
0.737935355670172 0.032778773287016394 , 0.8879131748493342 0.9960098072365117 , 0.672900351616654 0.7125608964200911 
0.7365215219193644 0.0243710530597648 , 0.8857372654572644 0.9942061260101878 , 0.6764900947595313 0.7227722978736667 
0.7351063288291498 0.016261134859438038 , 0.8830859776938104 0.991704887502564 , 0.6805565756131997 0.7333834545816172 
0.7336920613753772 0.008438561504715128 , 0.8799182623002041 0.9884642861723053 , 0.6851385584605786 0.7444466292665989 
0.732280824750681 0.0008936638460467286 , 0.8761829923592719 0.984431989556887 , 0.690285065026207 0.7560238235406855 
0.7308745615858934 -0.0063825121465821465 , 0.8718153533893964 0.9795418080122009 , 0.6960589671608701 0.7681901810780005 
0.7294750655854675 -0.013398266157643397 , 0.8667313870505345 0.9737088137184402 , 0.702542429500158 0.7810389293828225 
0.7280839917115765 -0.020161293220035875 , 0.860819441030107 0.9668220079772885 , 0.7098454493944766 0.7946887621863666 
0.7267028627190599 -0.026678722735802587 , 0.8539262344364147 0.9587330713666892 , 0.7181197849806854 0.8092951283127326 
0.7253330713155112 -0.032957146381893315 , 0.8458332697577697 0.9492390563153184 , 0.7275825410628792 0.8250675670101941 
0.7239758762292455 -0.03900263314219006 , 0.8362161341585657 0.9380575883204206 , 0.7385568717483489 0.8422945217653887 
0.7226323883383556 -0.04482072737204362 , 0.8245796221434386 0.9248062072835056 , 0.7515368716543658 0.8613639970321573 
0.7213035379808004 -0.05041642152898904 , 0.8102207551680711 0.9090967018676743 , 0.7672245889872885 0.882669196604934 
0.7199900030865822 -0.055794090281915745 , 0.7927928552564132 0.8914013085335436 , 0.7859660237931646 0.9057422586919915 
0.718692072571632 -0.06095740036510792 , 0.7746989613748478 0.874978737084463 , 0.8053578481896801 0.9273281402242642 
0.7174095647816372 -0.0659093810768951 , 0.758514437253155 0.861716143363007 , 0.8228248801013678 0.9455427146575075 
0.7161419835186152 -0.07065267862816954 , 0.7444137974870406 0.8510625185569065 , 0.8381931011305043 0.9609396370148823 
0.7148886836798215 -0.07518971218868777 , 0.7320388499350291 0.8423194639700906 , 0.8518213485213095 0.9742197251622164 
0.7136489635884755 -0.07952274030865428 , 0.7210660821080082 0.8350061973781612 , 0.8640338364396765 0.9858660198741124 
0.7124221145642955 -0.08365389118528967 , 0.7112575322037852 0.828804979560051 , 0.8750692353680795 0.996198388568858 
0.7112074488471614 -0.08758517828127596 , 0.7024409496805705 0.8234992881427512 , 0.8851004836084283 1.005435367082144 
0.7100043159294832 -0.09131850932607698 , 0.694489371267869 0.8189357308012328 , 0.8942551949388079 1.0137322554684634 
0.7088121122428733 -0.09485569202652473 , 0.6873069852170548 0.8150017748943958 , 0.902629784676232 1.0212033940757481 
0.7076302868263523 -0.09819843802096927 , 0.6808198813514579 0.8116124236718368 , 0.9102987139583499 1.0279354912927516 
0.7064583444744978 -0.10134836584777919 , 0.6749699670320243 0.8087019414400395 , 0.917320570629638 1.0339959013513589 
0.7052958472707483 -0.10430700334045274 , 0.6697108814878118 0.8062185171231745 , 0.9237421533776 1.0394379631608974 
0.7041424150778137 -0.1070757896796237 , 0.6650051857461058 0.8041207029705731 , 0.9296012813122406 1.0443045636526698 
0.7029977253592268 -0.10965607723416328 , 0.6608223851136341 0.8023749656572094 , 0.9349287716632992 1.0486305885205731 
0.7018615125830656 -0.11204913326827338 , 0.6571375088644852 0.8009539584868325 , 0.9397498606886093 1.05244465172506 
0.7007335673795513 -0.11425614155924796 , 0.6539300723955052 0.7998352757103602 , 0.9440852423611036 1.055770342792507 
0.6996137355715005 -0.11627820395139506 , 0.6511833084662508 0.7990005384195984 , 0.9479518380984087 1.058627142475416 
0.6985019171606928 -0.11811634186004508 , 0.648883592396899 0.7984347145605935 , 0.9513633725785683 1.061031104243071 
0.6973980653282333 -0.11977149773256646 , 0.6470200105319887 0.7981256084696308 , 0.954330806275938 1.062995366206555 
0.6963021854893171 -0.12124453646908212 , 0.6455840372794 0.7980634762744048 , 0.956862659367443 1.0645305371382967 
0.6952143344300888 -0.12253624680304442 , 0.6445692967927455 0.7982407372276926 , 0.9589652509133256 1.0656449865189712 
0.6941346195450113 -0.12364734264030927 , 0.6439713928143256 0.7986517602984671 , 0.9606428697768231 1.0663450592854615 
0.6930631981862477 -0.1245784643544149 , 0.6437877955382144 0.7992927117899521 , 0.9618978884116979 1.066635229508082 
0.6920002771313024 -0.1253301800351271 , 0.644017778363352 0.8001614544143426 , 0.9627308266415057 1.0665182025644038 
0.6909461121710196 -0.12590298668675196 , 0.6446624006065942 0.8012574917948058 , 0.9631403693585462 1.0659949718355655 
0.6899010078166126 -0.12629731137208092 , 0.6457245350125487 0.8025819552404588 , 0.9631233393069988 1.0650648330752412 
0.6888653171213691 -0.1265135122969819 , 0.6472089415332356 0.804137632184593 , 0.9626746234815553 1.0637253570560081 
0.6878394416097902 -0.12655187982944624 , 0.6491223916365354 0.8059290381699924 , 0.9617870488898345 1.061972318603073 
0.6868238313039017 -0.12641263744519204 , 0.6514738506430713 0.8079625369802068 , 0.960451200189187 1.0597995774086042 
0.6858189848330872 -0.12609594258951776 , 0.654274729669341 0.8102465167644451 , 0.9586551676337317 1.0571989027686917 
