0.75510211784841 0.6664056796196167 , 0.8829363579491468 0.6021212094562275 , 0.9319443934904974 0.7182933296690922 
0.7690368519127391 0.6492248542087864 , 0.8774873779511507 0.6176609086871547 , 0.9234586394241644 0.7199344558489953 
0.7881474158558085 0.6320481961454036 , 0.8702349831980528 0.6371355818525936 , 0.9116004702341929 0.7176364407469392 
0.8131404595826756 0.6165622724769289 , 0.8608866805489764 0.6596568142790287 , 0.8959557291564022 0.710601131988979 
0.8429839769476175 0.6059224655901184 , 0.8508551158826211 0.6827481284403555 , 0.8761437764578156 0.6981496247144626 
0.8744256694917515 0.6024511125075678 , 0.8426626749212599 0.7033883805016138 , 0.8528945248750428 0.680980725735755 
0.9038342100925425 0.6059120447370062 , 0.8364360931718594 0.7187067315426265 , 0.8297125660236523 0.6622014424653038 
0.9288384020603325 0.6140862349309825 , 0.8312651312108247 0.727809863235704 , 0.809879336016897 0.6449241205782501 
0.9491825841295737 0.6249809717934574 , 0.82682547591991 0.7313338737925127 , 0.7939748092385706 0.6305053731589665 
0.9652936580828119 0.6375022574204154 , 0.8230954703124077 0.730063013237416 , 0.7815937408928346 0.6192549480871052 
0.9775582542008338 0.6510380344392155 , 0.8201107517152937 0.7246003744985067 , 0.7723138633719268 0.6111818098072145 
0.9862208039858088 0.6651662880878615 , 0.8178808799837975 0.7153811559712251 , 0.7658811853184478 0.6062727746858502 
0.9914185320175128 0.6795211973256253 , 0.8163421764339471 0.7027276001446405 , 0.7622221608365942 0.6045714212746709 
0.9932336558507115 0.6937324091917425 , 0.8153009772515527 0.6869004054814632 , 0.7614482361857899 0.606187404071731 
0.9917445537711808 0.7074044351920464 , 0.8143580916430772 0.6681697770182978 , 0.7638802238737963 0.6112460065345925 
0.9870662676088223 0.7201300568583872 , 0.8128597512674487 0.6470096933140046 , 0.7700568504117832 0.619680468572545 
0.979358301015657 0.7315302489318817 , 0.8101109636557462 0.6246610639514035 , 0.780513604616651 0.6306289058616515 
0.9687770352501466 0.7412850788367602 , 0.8062763076994861 0.6037900017565543 , 0.7949295263384215 0.6417451381516224 
0.9553977237984905 0.7490961114845535 , 0.8027790349887793 0.5870259705121734 , 0.8118061105007843 0.65069813674821 
0.9391935808023385 0.7545758977131223 , 0.8008688742011566 0.5751655343204491 , 0.8299204142845591 0.6570787867113654 
0.9201189620172755 0.7571258218398865 , 0.801118774136389 0.5680086486487084 , 0.8487451331343897 0.6616857482563419 
0.8983376102430424 0.7558518962164343 , 0.803740006733686 0.565209592722201 , 0.8679052523113259 0.6657587298063015 
0.8746706196504883 0.7496833041062837 , 0.8087903455561974 0.5665431706196986 , 0.8865219040813683 0.6705937440189544 
0.8509393354727084 0.7379994180521737 , 0.8162344189776192 0.5719872762393505 , 0.9028091148377265 0.6768335244534124 
